a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1171,ST-1173,37.517635,127.022453,37.52124,127.031899,OK,8.2,2.4,1136.0,,2026-05-09T07:48:04.076797+00:00
ST-1171,ST-1174,37.517635,127.022453,37.5233,127.038475,OK,10.1,4.7,1770.0,,2026-05-09T07:48:04.693985+00:00
ST-1171,ST-1180,37.517635,127.022453,37.514748,127.035133,OK,12.0,5.7,2097.0,,2026-05-09T07:48:05.352777+00:00
ST-1171,ST-1246,37.517635,127.022453,37.507809,127.034981,OK,18.6,15.0,2725.0,,2026-05-09T07:48:05.997417+00:00
ST-1171,ST-1365,37.517635,127.022453,37.51395,127.030151,OK,7.4,3.6,1536.0,,2026-05-09T07:48:06.645514+00:00
ST-1171,ST-1366,37.517635,127.022453,37.509586,127.040909,OK,19.2,7.6,3203.0,,2026-05-09T07:48:07.280991+00:00
ST-1171,ST-1568,37.517635,127.022453,37.50811,127.039452,OK,20.1,8.9,3361.0,,2026-05-09T07:48:08.232503+00:00
ST-1171,ST-1895,37.517635,127.022453,37.527454,127.040428,OK,13.4,8.0,2543.0,,2026-05-09T07:48:08.855833+00:00
ST-1171,ST-2673,37.517635,127.022453,37.524227,127.02285,OK,9.1,1.4,1204.0,,2026-05-09T07:48:09.455492+00:00
ST-1171,ST-2679,37.517635,127.022453,37.514462,127.0326,OK,11.6,2.9,1519.0,,2026-05-09T07:48:10.099717+00:00
ST-1171,ST-2882,37.517635,127.022453,37.509785,127.04277,OK,18.5,11.4,3964.0,,2026-05-09T07:48:11.113155+00:00
ST-1171,ST-3078,37.517635,127.022453,37.525723,127.025887,OK,7.9,2.7,1520.0,,2026-05-09T07:48:11.782772+00:00
ST-1171,ST-3096,37.517635,127.022453,37.52211,127.036461,OK,10.2,4.7,1844.0,,2026-05-09T07:48:12.392168+00:00
ST-1171,ST-3108,37.517635,127.022453,37.505703,127.029198,OK,16.2,7.7,2362.0,,2026-05-09T07:48:13.195306+00:00
ST-1171,ST-3348,37.517635,127.022453,37.51263,127.042831,OK,15.2,9.7,3454.0,,2026-05-09T07:48:13.996616+00:00
ST-1171,ST-3386,37.517635,127.022453,37.525307,127.033028,OK,14.3,2.5,1619.0,,2026-05-09T07:48:14.558701+00:00
ST-1171,ST-3389,37.517635,127.022453,37.526432,127.017204,OK,12.5,3.6,1846.0,,2026-05-09T07:48:15.273853+00:00
ST-1171,ST-3394,37.517635,127.022453,37.525948,127.020828,OK,11.1,3.6,1802.0,,2026-05-09T07:48:15.903978+00:00
ST-1171,ST-777,37.517635,127.022453,37.524071,127.02179,OK,8.4,1.4,1121.0,,2026-05-09T07:48:16.498020+00:00
ST-1171,ST-786,37.517635,127.022453,37.517773,127.043022,OK,14.3,6.7,2588.0,,2026-05-09T07:48:17.193007+00:00
ST-1171,ST-787,37.517635,127.022453,37.505581,127.024277,OK,10.1,6.3,1571.0,,2026-05-09T07:48:18.096322+00:00
ST-1171,ST-788,37.517635,127.022453,37.511372,127.021461,OK,8.3,5.0,1101.0,,2026-05-09T07:48:18.623209+00:00
ST-1171,ST-789,37.517635,127.022453,37.511627,127.035652,OK,18.5,2.9,1903.0,,2026-05-09T07:48:19.133772+00:00
ST-1171,ST-790,37.517635,127.022453,37.520641,127.034508,OK,12.0,2.4,1326.0,,2026-05-09T07:48:20.119373+00:00
ST-1171,ST-791,37.517635,127.022453,37.527123,127.028717,OK,8.1,2.9,1821.0,,2026-05-09T07:48:20.765358+00:00
ST-1171,ST-792,37.517635,127.022453,37.528381,127.039017,OK,11.9,8.0,2502.0,,2026-05-09T07:48:21.320338+00:00
ST-1171,ST-793,37.517635,127.022453,37.529301,127.035599,OK,12.9,9.0,2820.0,,2026-05-09T07:48:21.845396+00:00
ST-1171,ST-794,37.517635,127.022453,37.523613,127.040176,OK,11.3,5.5,2019.0,,2026-05-09T07:48:22.609786+00:00
ST-1171,ST-961,37.517635,127.022453,37.518639,127.0354,OK,12.6,3.9,1717.0,,2026-05-09T07:48:23.284224+00:00
ST-1171,ST-962,37.517635,127.022453,37.51759,127.035027,OK,14.7,5.7,2201.0,,2026-05-09T07:48:24.235529+00:00
ST-1171,ST-963,37.517635,127.022453,37.516811,127.040474,OK,10.0,6.3,2329.0,,2026-05-09T07:48:24.785699+00:00
ST-1172,ST-1174,37.519138,127.027519,37.5233,127.038475,OK,7.8,3.9,1367.0,,2026-05-09T07:48:25.389336+00:00
ST-1172,ST-1180,37.519138,127.027519,37.514748,127.035133,OK,9.0,3.7,1337.0,,2026-05-09T07:48:25.998112+00:00
ST-1172,ST-1246,37.519138,127.027519,37.507809,127.034981,OK,9.9,5.1,1500.0,,2026-05-09T07:48:26.590377+00:00
ST-1172,ST-1366,37.519138,127.027519,37.509586,127.040909,OK,13.7,9.4,2128.0,,2026-05-09T07:48:27.434633+00:00
ST-1172,ST-1568,37.519138,127.027519,37.50811,127.039452,OK,17.8,8.2,2958.0,,2026-05-09T07:48:28.082899+00:00
ST-1172,ST-1883,37.519138,127.027519,37.507999,127.04525,OK,17.4,13.6,4634.0,,2026-05-09T07:48:28.782377+00:00
ST-1172,ST-1895,37.519138,127.027519,37.527454,127.040428,OK,11.1,7.2,2140.0,,2026-05-09T07:48:29.433568+00:00
ST-1172,ST-2688,37.519138,127.027519,37.53075,127.041603,OK,14.2,7.2,2363.0,,2026-05-09T07:48:30.046933+00:00
ST-1172,ST-2690,37.519138,127.027519,37.524162,127.04895,OK,12.3,7.6,2706.0,,2026-05-09T07:48:30.572549+00:00
ST-1172,ST-2882,37.519138,127.027519,37.509785,127.04277,OK,12.6,10.1,2312.0,,2026-05-09T07:48:31.134192+00:00
ST-1172,ST-3066,37.519138,127.027519,37.519169,127.018974,OK,9.7,0.6,861.0,,2026-05-09T07:48:32.244633+00:00
ST-1172,ST-3078,37.519138,127.027519,37.525723,127.025887,OK,9.7,1.9,1242.0,,2026-05-09T07:48:32.894940+00:00
ST-1172,ST-3096,37.519138,127.027519,37.52211,127.036461,OK,7.0,3.1,1132.0,,2026-05-09T07:48:33.618424+00:00
ST-1172,ST-3108,37.519138,127.027519,37.505703,127.029198,OK,14.1,5.1,1808.0,,2026-05-09T07:48:34.475823+00:00
ST-1172,ST-3208,37.519138,127.027519,37.51281,127.026367,OK,8.1,1.6,1037.0,,2026-05-09T07:48:35.438833+00:00
ST-1172,ST-3243,37.519138,127.027519,37.523903,127.046608,OK,10.1,5.4,2057.0,,2026-05-09T07:48:36.068686+00:00
ST-1172,ST-3254,37.519138,127.027519,37.524647,127.049149,OK,13.1,7.6,2685.0,,2026-05-09T07:48:36.728854+00:00
ST-1172,ST-3348,37.519138,127.027519,37.51263,127.042831,OK,12.8,8.9,3051.0,,2026-05-09T07:48:37.233170+00:00
ST-1172,ST-3386,37.519138,127.027519,37.525307,127.033028,OK,11.8,1.9,1390.0,,2026-05-09T07:48:37.869297+00:00
ST-1172,ST-3389,37.519138,127.027519,37.526432,127.017204,OK,15.6,4.2,2429.0,,2026-05-09T07:48:38.636769+00:00
ST-1172,ST-3394,37.519138,127.027519,37.525948,127.020828,OK,14.1,4.2,2385.0,,2026-05-09T07:48:39.278898+00:00
ST-1172,ST-777,37.519138,127.027519,37.524071,127.02179,OK,11.4,1.9,1704.0,,2026-05-09T07:48:39.746938+00:00
ST-1172,ST-783,37.519138,127.027519,37.518902,127.049385,OK,13.7,6.9,2907.0,,2026-05-09T07:48:40.555560+00:00
ST-1172,ST-786,37.519138,127.027519,37.517773,127.043022,OK,11.3,4.7,1828.0,,2026-05-09T07:48:41.196895+00:00
ST-1172,ST-787,37.519138,127.027519,37.505581,127.024277,OK,12.5,6.2,2052.0,,2026-05-09T07:48:41.837435+00:00
ST-1172,ST-788,37.519138,127.027519,37.511372,127.021461,OK,11.9,5.0,1755.0,,2026-05-09T07:48:42.487732+00:00
ST-1172,ST-789,37.519138,127.027519,37.511627,127.035652,OK,10.8,2.5,1406.0,,2026-05-09T07:48:43.190852+00:00
ST-1172,ST-791,37.519138,127.027519,37.527123,127.028717,OK,6.4,1.9,1107.0,,2026-05-09T07:48:43.654895+00:00
ST-1172,ST-792,37.519138,127.027519,37.528381,127.039017,OK,9.6,7.2,2099.0,,2026-05-09T07:48:44.148863+00:00
ST-1172,ST-793,37.519138,127.027519,37.529301,127.035599,OK,10.6,8.3,2417.0,,2026-05-09T07:48:44.637019+00:00
ST-1172,ST-794,37.519138,127.027519,37.523613,127.040176,OK,8.9,4.8,1616.0,,2026-05-09T07:48:45.156124+00:00
ST-1172,ST-954,37.519138,127.027519,37.51807,127.047119,OK,11.5,5.5,2419.0,,2026-05-09T07:48:45.699974+00:00
ST-1172,ST-963,37.519138,127.027519,37.516811,127.040474,OK,7.0,4.3,1569.0,,2026-05-09T07:48:46.361684+00:00
ST-1173,ST-1180,37.52124,127.031899,37.514748,127.035133,OK,9.4,1.9,1023.0,,2026-05-09T07:48:47.129909+00:00
ST-1173,ST-1245,37.52124,127.031899,37.511696,127.049347,OK,20.9,6.6,3041.0,,2026-05-09T07:48:47.697964+00:00
ST-1173,ST-1246,37.52124,127.031899,37.507809,127.034981,OK,13.1,3.9,1819.0,,2026-05-09T07:48:48.271239+00:00
ST-1173,ST-1365,37.52124,127.031899,37.51395,127.030151,OK,10.2,1.6,1075.0,,2026-05-09T07:48:49.270117+00:00
ST-1173,ST-1366,37.52124,127.031899,37.509586,127.040909,OK,13.1,5.0,2123.0,,2026-05-09T07:48:49.910782+00:00
ST-1173,ST-1433,37.52124,127.031899,37.516785,127.051613,OK,14.6,5.7,2421.0,,2026-05-09T07:48:50.477005+00:00
ST-1173,ST-1568,37.52124,127.031899,37.50811,127.039452,OK,10.8,5.0,1920.0,,2026-05-09T07:48:51.152777+00:00
ST-1173,ST-1575,37.52124,127.031899,37.518711,127.05085,OK,14.0,10.4,4065.0,,2026-05-09T07:48:51.759821+00:00
