a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1040,ST-1053,37.549984,127.174706,37.551991,127.153313,OK,20.6,14.1,3739.0,,2026-05-09T08:36:58.220299+00:00
ST-1040,ST-1054,37.549984,127.174706,37.562565,127.177612,OK,16.9,13.9,3473.0,,2026-05-09T08:36:58.808218+00:00
ST-1040,ST-1054,37.549984,127.174706,37.562565,127.177612,OK,16.9,13.9,3473.0,,2026-05-09T08:36:59.195430+00:00
ST-1040,ST-1056,37.549984,127.174706,37.561298,127.167847,OK,13.2,6.8,1835.0,,2026-05-09T08:36:59.328586+00:00
ST-1040,ST-1056,37.549984,127.174706,37.561298,127.167847,OK,13.2,6.8,1835.0,,2026-05-09T08:36:59.646152+00:00
ST-1040,ST-1371,37.549984,127.174706,37.561203,127.180267,OK,12.5,6.8,2197.0,,2026-05-09T08:36:59.811317+00:00
ST-1040,ST-1371,37.549984,127.174706,37.561203,127.180267,OK,12.5,6.8,2197.0,,2026-05-09T08:37:00.119797+00:00
ST-1040,ST-1594,37.549984,127.174706,37.562546,127.164482,OK,18.4,8.9,2434.0,,2026-05-09T08:37:00.384427+00:00
ST-1040,ST-1594,37.549984,127.174706,37.562546,127.164482,OK,18.4,8.9,2434.0,,2026-05-09T08:37:00.600825+00:00
ST-1040,ST-1595,37.549984,127.174706,37.560028,127.169678,OK,9.9,6.4,1529.0,,2026-05-09T08:37:00.944561+00:00
ST-1040,ST-1595,37.549984,127.174706,37.560028,127.169678,OK,9.9,6.4,1529.0,,2026-05-09T08:37:01.076566+00:00
ST-1040,ST-1597,37.549984,127.174706,37.563354,127.179054,OK,17.8,12.0,3351.0,,2026-05-09T08:37:01.430031+00:00
ST-1040,ST-1597,37.549984,127.174706,37.563354,127.179054,OK,17.8,12.0,3351.0,,2026-05-09T08:37:01.504309+00:00
ST-1040,ST-1623,37.549984,127.174706,37.553482,127.165054,OK,8.4,5.3,1330.0,,2026-05-09T08:37:01.910731+00:00
ST-1040,ST-1623,37.549984,127.174706,37.553482,127.165054,OK,8.4,5.3,1330.0,,2026-05-09T08:37:02.026043+00:00
ST-1040,ST-1766,37.549984,127.174706,37.549034,127.156052,OK,19.6,11.9,3200.0,,2026-05-09T08:37:02.438997+00:00
ST-1040,ST-1766,37.549984,127.174706,37.549034,127.156052,OK,19.6,11.9,3200.0,,2026-05-09T08:37:02.540679+00:00
