a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1100,ST-1101,37.641739,127.024628,37.627335,127.026054,OK,14.6,6.2,2399.0,,2026-05-09T14:32:14.571564+00:00
ST-1100,ST-1103,37.641739,127.024628,37.63018,127.02491,OK,10.1,4.7,1541.0,,2026-05-09T14:32:15.023996+00:00
ST-1100,ST-1107,37.641739,127.024628,37.629917,127.040916,OK,13.3,7.7,2246.0,,2026-05-09T14:32:16.342955+00:00
ST-1100,ST-1110,37.641739,127.024628,37.636261,127.032173,OK,13.9,5.4,1576.0,,2026-05-09T14:32:16.879453+00:00
ST-1100,ST-1388,37.641739,127.024628,37.656158,127.013138,OK,12.1,4.9,2077.0,,2026-05-09T14:32:17.305786+00:00
ST-1100,ST-1389,37.641739,127.024628,37.649673,127.013451,OK,9.5,2.7,1349.0,,2026-05-09T14:32:18.570587+00:00
ST-1100,ST-1391,37.641739,127.024628,37.62653,127.018059,OK,13.1,8.7,2596.0,,2026-05-09T14:32:19.041358+00:00
ST-1100,ST-1423,37.641739,127.024628,37.630188,127.017738,OK,13.7,6.0,1962.0,,2026-05-09T14:32:20.772470+00:00
ST-1100,ST-2124,37.641739,127.024628,37.646862,127.008812,OK,12.6,7.5,1988.0,,2026-05-09T14:32:22.008200+00:00
ST-1100,ST-2126,37.641739,127.024628,37.635204,127.033966,OK,10.7,5.4,1380.0,,2026-05-09T14:32:22.430706+00:00
ST-1100,ST-2127,37.641739,127.024628,37.635391,127.034554,OK,11.2,5.4,1352.0,,2026-05-09T14:32:23.726654+00:00
ST-1100,ST-2129,37.641739,127.024628,37.632381,127.039307,OK,14.9,5.8,1817.0,,2026-05-09T14:32:25.004261+00:00
ST-1100,ST-2133,37.641739,127.024628,37.649597,127.013847,OK,8.5,2.7,1325.0,,2026-05-09T14:32:25.518177+00:00
ST-1100,ST-2136,37.641739,127.024628,37.647934,127.014572,OK,12.6,5.1,1661.0,,2026-05-09T14:32:26.238922+00:00
ST-1100,ST-2459,37.641739,127.024628,37.637135,127.03138,OK,10.7,2.6,940.0,,2026-05-09T14:32:26.609270+00:00
ST-1100,ST-3152,37.641739,127.024628,37.635361,127.037674,OK,13.2,5.4,1459.0,,2026-05-09T14:32:28.175833+00:00
ST-1100,ST-3184,37.641739,127.024628,37.624912,127.019791,OK,14.6,8.7,2637.0,,2026-05-09T14:32:28.632778+00:00
ST-1100,ST-645,37.641739,127.024628,37.640327,127.013359,OK,10.7,3.9,1068.0,,2026-05-09T14:32:29.920052+00:00
ST-1100,ST-647,37.641739,127.024628,37.62714,127.026695,OK,14.0,6.2,2374.0,,2026-05-09T14:32:30.652604+00:00
