a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1062,ST-1063,37.561531,126.810699,37.560207,126.824142,OK,6.5,2.0,1440.0,,2026-05-09T14:44:35.059814+00:00
ST-1062,ST-1064,37.561531,126.810699,37.558311,126.826523,OK,9.9,5.4,1993.0,,2026-05-09T14:44:35.507831+00:00
ST-1062,ST-1252,37.561531,126.810699,37.549694,126.819664,OK,9.6,5.3,1784.0,,2026-05-09T14:44:36.820024+00:00
ST-1062,ST-1253,37.561531,126.810699,37.562679,126.820473,OK,10.4,2.9,1240.0,,2026-05-09T14:44:37.344521+00:00
ST-1062,ST-1254,37.561531,126.810699,37.570499,126.820084,OK,14.4,8.3,1843.0,,2026-05-09T14:44:38.804774+00:00
ST-1062,ST-1338,37.561531,126.810699,37.568447,126.821648,OK,17.8,9.7,2059.0,,2026-05-09T14:44:39.235634+00:00
ST-1062,ST-1352,37.561531,126.810699,37.553509,126.825867,OK,11.6,6.5,2325.0,,2026-05-09T14:44:39.661901+00:00
ST-1062,ST-1402,37.561531,126.810699,37.560291,126.818756,OK,10.2,3.1,1053.0,,2026-05-09T14:44:40.040043+00:00
ST-1062,ST-1514,37.561531,126.810699,37.55011,126.823677,OK,12.7,6.4,2183.0,,2026-05-09T14:44:40.478681+00:00
ST-1062,ST-1515,37.561531,126.810699,37.572472,126.806168,OK,9.3,3.3,1707.0,,2026-05-09T14:44:41.871026+00:00
ST-1062,ST-1517,37.561531,126.810699,37.557468,126.82972,OK,14.2,5.4,2180.0,,2026-05-09T14:44:43.153708+00:00
ST-1062,ST-1518,37.561531,126.810699,37.551044,126.818497,OK,13.6,5.3,1946.0,,2026-05-09T14:44:43.645223+00:00
ST-1062,ST-1645,37.561531,126.810699,37.55645,126.815979,OK,11.8,1.3,920.0,,2026-05-09T14:44:44.984606+00:00
ST-1062,ST-1647,37.561531,126.810699,37.554729,126.816093,OK,13.9,3.1,1368.0,,2026-05-09T14:44:46.270687+00:00
ST-1062,ST-1676,37.561531,126.810699,37.55302,126.818367,OK,16.8,7.2,2407.0,,2026-05-09T14:44:46.779791+00:00
ST-1062,ST-1688,37.561531,126.810699,37.559471,126.832077,OK,11.6,5.7,2237.0,,2026-05-09T14:44:47.342789+00:00
ST-1062,ST-1689,37.561531,126.810699,37.560242,126.827164,OK,9.7,4.2,1686.0,,2026-05-09T14:44:48.144760+00:00
ST-1062,ST-1708,37.561531,126.810699,37.571381,126.828339,OK,19.2,12.8,3237.0,,2026-05-09T14:44:49.363430+00:00
ST-1062,ST-1709,37.561531,126.810699,37.560501,126.826653,OK,7.3,2.0,1429.0,,2026-05-09T14:44:50.719348+00:00
ST-1062,ST-1710,37.561531,126.810699,37.55545,126.826897,OK,11.7,6.5,2281.0,,2026-05-09T14:44:51.195112+00:00
ST-1062,ST-1715,37.561531,126.810699,37.56255,126.827438,OK,11.0,2.0,1637.0,,2026-05-09T14:44:52.521032+00:00
ST-1062,ST-1718,37.561531,126.810699,37.565201,126.827316,OK,13.9,10.3,2609.0,,2026-05-09T14:44:53.919182+00:00
ST-1062,ST-1727,37.561531,126.810699,37.56918,126.819443,OK,15.2,8.3,1763.0,,2026-05-09T14:44:54.334160+00:00
ST-1062,ST-2022,37.561531,126.810699,37.576317,126.816498,OK,16.7,11.0,2485.0,,2026-05-09T14:44:54.767929+00:00
ST-1062,ST-2031,37.561531,126.810699,37.566925,126.827438,OK,9.0,4.0,1957.0,,2026-05-09T14:44:55.212007+00:00
ST-1062,ST-2032,37.561531,126.810699,37.570942,126.828316,OK,19.8,12.8,3278.0,,2026-05-09T14:44:55.686419+00:00
ST-1062,ST-2034,37.561531,126.810699,37.555191,126.831467,OK,17.2,5.6,2592.0,,2026-05-09T14:44:56.542068+00:00
