a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1156,ST-1267,37.47509,126.959229,37.469406,126.944511,OK,21.6,2.6,2051.0,,2026-05-09T16:15:06.497739+00:00
ST-1156,ST-1337,37.47509,126.959229,37.481548,126.952003,OK,13.1,2.7,1528.0,,2026-05-09T16:15:06.758186+00:00
ST-1156,ST-1547,37.47509,126.959229,37.467094,126.949326,OK,19.4,1.2,1374.0,,2026-05-09T16:15:06.905833+00:00
ST-1156,ST-1548,37.47509,126.959229,37.482189,126.946159,OK,14.2,3.4,1881.0,,2026-05-09T16:15:07.206163+00:00
ST-1156,ST-1264,37.47509,126.959229,37.482189,126.942131,OK,16.4,3.4,2539.0,,2026-05-09T16:15:07.490770+00:00
ST-1156,ST-2371,37.47509,126.959229,37.486736,126.947517,OK,17.8,6.7,2592.0,,2026-05-09T16:15:08.134847+00:00
ST-1156,ST-1702,37.47509,126.959229,37.489628,126.94593,OK,21.7,10.0,3335.0,,2026-05-09T16:15:08.261987+00:00
ST-1156,ST-2380,37.47509,126.959229,37.483311,126.939026,OK,18.0,3.4,2734.0,,2026-05-09T16:15:08.667342+00:00
ST-1156,ST-1757,37.47509,126.959229,37.470467,126.938652,OK,23.1,5.2,2662.0,,2026-05-09T16:15:09.265159+00:00
ST-1156,ST-2393,37.47509,126.959229,37.476627,126.943642,OK,25.6,6.5,3292.0,,2026-05-09T16:15:09.332133+00:00
ST-1156,ST-2394,37.47509,126.959229,37.48122,126.951576,OK,15.4,2.7,1509.0,,2026-05-09T16:15:09.668167+00:00
ST-1156,ST-2948,37.47509,126.959229,37.476398,126.976837,OK,10.4,3.0,1928.0,,2026-05-09T16:15:10.056112+00:00
ST-1156,ST-2373,37.47509,126.959229,37.482754,126.941406,OK,16.5,3.4,2523.0,,2026-05-09T16:15:10.180147+00:00
ST-1156,ST-2995,37.47509,126.959229,37.479092,126.949417,OK,18.2,5.3,1766.0,,2026-05-09T16:15:10.708369+00:00
ST-1156,ST-712,37.47509,126.959229,37.476089,126.981331,OK,12.9,4.5,2470.0,,2026-05-09T16:15:11.102198+00:00
ST-1156,ST-3166,37.47509,126.959229,37.485065,126.95546,OK,16.3,3.9,1732.0,,2026-05-09T16:15:11.527784+00:00
ST-1156,ST-2842,37.47509,126.959229,37.481632,126.947189,OK,15.2,3.4,1857.0,,2026-05-09T16:15:11.750210+00:00
ST-1156,ST-717,37.47509,126.959229,37.481705,126.950829,OK,15.8,2.0,1669.0,,2026-05-09T16:15:12.149372+00:00
ST-1156,ST-715,37.47509,126.959229,37.481339,126.950645,OK,14.4,2.7,1493.0,,2026-05-09T16:15:12.176617+00:00
ST-1156,ST-714,37.47509,126.959229,37.483341,126.943199,OK,16.4,4.2,2247.0,,2026-05-09T16:15:12.488200+00:00
ST-1156,ST-725,37.47509,126.959229,37.486359,126.942925,OK,19.5,9.4,3117.0,,2026-05-09T16:15:12.541215+00:00
ST-1156,ST-720,37.47509,126.959229,37.4795,126.952652,OK,15.7,2.0,1677.0,,2026-05-09T16:15:12.676511+00:00
ST-1156,ST-965,37.47509,126.959229,37.480869,126.953316,OK,14.2,2.0,1549.0,,2026-05-09T16:15:12.918715+00:00
ST-1259,ST-1264,37.484768,126.932877,37.482189,126.942131,OK,5.8,1.9,1108.0,,2026-05-09T16:15:13.310818+00:00
ST-1259,ST-1265,37.484768,126.932877,37.481529,126.912033,OK,7.3,6.2,2076.0,,2026-05-09T16:15:13.552081+00:00
ST-1156,ST-884,37.47509,126.959229,37.484257,126.954697,OK,17.6,3.9,1815.0,,2026-05-09T16:15:13.932547+00:00
ST-1259,ST-1267,37.484768,126.932877,37.469406,126.944511,OK,15.5,10.3,4191.0,,2026-05-09T16:15:13.933518+00:00
ST-1259,ST-1268,37.484768,126.932877,37.48975,126.927467,OK,9.5,4.1,1289.0,,2026-05-09T16:15:14.017987+00:00
ST-1259,ST-1357,37.484768,126.932877,37.488991,126.916382,OK,11.2,3.9,1783.0,,2026-05-09T16:15:14.591978+00:00
