a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-102,ST-1191,37.53701,127.082245,37.537014,127.061096,OK,17.9,16.6,4027.0,,2026-05-09T16:18:21.998858+00:00
ST-102,ST-114,37.53701,127.082245,37.548405,127.069366,OK,11.4,10.2,2545.0,,2026-05-09T16:18:21.999617+00:00
ST-102,ST-113,37.53701,127.082245,37.530235,127.08683,OK,11.9,2.9,904.0,,2026-05-09T16:18:22.196271+00:00
ST-102,ST-1194,37.53701,127.082245,37.553417,127.073196,OK,17.2,11.8,3343.0,,2026-05-09T16:18:22.666461+00:00
ST-102,ST-1192,37.53701,127.082245,37.545952,127.078003,OK,13.6,6.6,2099.0,,2026-05-09T16:18:22.762981+00:00
ST-102,ST-1193,37.53701,127.082245,37.548222,127.067879,OK,12.1,10.2,2539.0,,2026-05-09T16:18:23.382196+00:00
ST-102,ST-1379,37.53701,127.082245,37.543427,127.096619,OK,16.1,6.7,1919.0,,2026-05-09T16:18:23.389328+00:00
ST-102,ST-1271,37.53701,127.082245,37.543842,127.0933,OK,13.1,7.2,1923.0,,2026-05-09T16:18:23.398660+00:00
ST-102,ST-1603,37.53701,127.082245,37.549789,127.075928,OK,14.2,7.4,2275.0,,2026-05-09T16:18:24.114930+00:00
ST-102,ST-1661,37.53701,127.082245,37.540081,127.069565,OK,8.9,4.8,1375.0,,2026-05-09T16:18:24.212712+00:00
ST-102,ST-1660,37.53701,127.082245,37.539295,127.070786,OK,8.0,4.8,1383.0,,2026-05-09T16:18:24.231440+00:00
ST-102,ST-1722,37.53701,127.082245,37.544987,127.089806,OK,13.3,6.0,1526.0,,2026-05-09T16:18:24.523507+00:00
ST-102,ST-1664,37.53701,127.082245,37.548489,127.093758,OK,19.5,8.1,2096.0,,2026-05-09T16:18:24.782300+00:00
ST-102,ST-2302,37.53701,127.082245,37.5368,127.090836,OK,10.7,3.4,917.0,,2026-05-09T16:18:25.174059+00:00
ST-102,ST-2310,37.53701,127.082245,37.54435,127.065407,OK,17.5,11.7,3233.0,,2026-05-09T16:18:25.817975+00:00
ST-102,ST-2312,37.53701,127.082245,37.551338,127.076714,OK,15.2,9.9,2634.0,,2026-05-09T16:18:26.253849+00:00
ST-102,ST-2308,37.53701,127.082245,37.539566,127.072441,OK,8.1,4.8,1383.0,,2026-05-09T16:18:26.282673+00:00
ST-102,ST-2318,37.53701,127.082245,37.54789,127.067451,OK,12.5,10.2,2588.0,,2026-05-09T16:18:26.718879+00:00
ST-102,ST-2320,37.53701,127.082245,37.54747,127.073967,OK,11.1,7.4,1973.0,,2026-05-09T16:18:27.151420+00:00
ST-102,ST-2321,37.53701,127.082245,37.547989,127.069504,OK,13.8,10.2,2567.0,,2026-05-09T16:18:27.384376+00:00
ST-102,ST-2407,37.53701,127.082245,37.542465,127.094231,OK,12.8,7.2,2009.0,,2026-05-09T16:18:27.768849+00:00
ST-102,ST-2408,37.53701,127.082245,37.552372,127.07354,OK,19.9,11.8,3331.0,,2026-05-09T16:18:28.122720+00:00
ST-102,ST-254,37.53701,127.082245,37.535824,127.094162,OK,9.0,1.7,1362.0,,2026-05-09T16:18:28.419843+00:00
ST-102,ST-2541,37.53701,127.082245,37.547649,127.074707,OK,11.1,7.4,2014.0,,2026-05-09T16:18:28.892002+00:00
ST-102,ST-1760,37.53701,127.082245,37.551373,127.07444,OK,17.6,9.2,2672.0,,2026-05-09T16:18:29.165831+00:00
ST-102,ST-2542,37.53701,127.082245,37.546513,127.075714,OK,11.3,7.4,1997.0,,2026-05-09T16:18:29.340909+00:00
ST-102,ST-2544,37.53701,127.082245,37.545006,127.083374,OK,12.0,3.7,1136.0,,2026-05-09T16:18:29.537779+00:00
ST-102,ST-255,37.53701,127.082245,37.535988,127.094627,OK,10.3,1.7,1367.0,,2026-05-09T16:18:29.919784+00:00
ST-102,ST-256,37.53701,127.082245,37.54073,127.102905,OK,17.2,6.7,2040.0,,2026-05-09T16:18:30.531865+00:00
ST-102,ST-2545,37.53701,127.082245,37.53521,127.069,OK,12.1,5.4,1640.0,,2026-05-09T16:18:30.554165+00:00
ST-102,ST-2546,37.53701,127.082245,37.52927,127.077866,OK,20.3,0.9,1167.0,,2026-05-09T16:18:30.728627+00:00
ST-102,ST-2830,37.53701,127.082245,37.548969,127.093529,OK,17.1,8.1,2043.0,,2026-05-09T16:18:31.153427+00:00
ST-102,ST-258,37.53701,127.082245,37.52977,127.07486,OK,19.8,9.2,2090.0,,2026-05-09T16:18:31.248232+00:00
ST-102,ST-259,37.53701,127.082245,37.551224,127.089706,OK,14.3,7.9,1894.0,,2026-05-09T16:18:31.287069+00:00
ST-102,ST-2891,37.53701,127.082245,37.528793,127.084633,OK,15.2,2.9,1018.0,,2026-05-09T16:18:31.661123+00:00
ST-102,ST-3012,37.53701,127.082245,37.539192,127.098015,OK,16.6,4.0,1480.0,,2026-05-09T16:18:31.680424+00:00
ST-102,ST-2865,37.53701,127.082245,37.532936,127.075806,OK,13.9,2.9,1367.0,,2026-05-09T16:18:31.819414+00:00
ST-102,ST-3340,37.53701,127.082245,37.551052,127.090439,OK,12.1,6.8,1809.0,,2026-05-09T16:18:32.296276+00:00
ST-102,ST-3339,37.53701,127.082245,37.542065,127.098068,OK,12.8,6.7,1743.0,,2026-05-09T16:18:32.486953+00:00
ST-102,ST-3309,37.53701,127.082245,37.536961,127.062737,OK,17.1,7.8,3094.0,,2026-05-09T16:18:32.487604+00:00
ST-102,ST-3390,37.53701,127.082245,37.529613,127.066261,OK,31.4,12.7,2886.0,,2026-05-09T16:18:32.890731+00:00
ST-102,ST-3367,37.53701,127.082245,37.541637,127.095085,OK,14.2,7.2,2128.0,,2026-05-09T16:18:33.011279+00:00
ST-102,ST-378,37.53701,127.082245,37.536579,127.092972,OK,11.8,3.4,1054.0,,2026-05-09T16:18:33.346227+00:00
ST-102,ST-381,37.53701,127.082245,37.537849,127.092171,OK,10.6,3.4,936.0,,2026-05-09T16:18:33.382310+00:00
ST-102,ST-377,37.53701,127.082245,37.539841,127.093887,OK,9.8,4.0,1145.0,,2026-05-09T16:18:33.867534+00:00
ST-102,ST-384,37.53701,127.082245,37.545231,127.084732,OK,13.2,3.4,1142.0,,2026-05-09T16:18:34.073336+00:00
ST-102,ST-382,37.53701,127.082245,37.550396,127.075859,OK,16.8,9.2,2684.0,,2026-05-09T16:18:34.082880+00:00
ST-102,ST-483,37.53701,127.082245,37.532688,127.067497,OK,17.6,7.2,2079.0,,2026-05-09T16:18:34.675890+00:00
ST-102,ST-385,37.53701,127.082245,37.551849,127.088982,OK,15.9,7.9,1968.0,,2026-05-09T16:18:34.917523+00:00
ST-102,ST-445,37.53701,127.082245,37.547829,127.072632,OK,11.3,9.2,2319.0,,2026-05-09T16:18:34.963377+00:00
ST-102,ST-97,37.53701,127.082245,37.54705,127.074333,OK,9.2,7.4,1939.0,,2026-05-09T16:18:35.016620+00:00
ST-102,ST-98,37.53701,127.082245,37.537308,127.070351,OK,10.9,4.8,1607.0,,2026-05-09T16:18:35.705175+00:00
ST-102,ST-973,37.53701,127.082245,37.542778,127.075371,OK,10.7,2.9,1147.0,,2026-05-09T16:18:35.729887+00:00
ST-102,ST-988,37.53701,127.082245,37.535221,127.068398,OK,12.5,5.4,1644.0,,2026-05-09T16:18:36.058085+00:00
ST-102,ST-980,37.53701,127.082245,37.528454,127.078033,OK,18.3,3.2,1930.0,,2026-05-09T16:18:36.155409+00:00
ST-102,ST-972,37.53701,127.082245,37.53989,127.073364,OK,10.1,4.8,1419.0,,2026-05-09T16:18:36.223855+00:00
ST-102,ST-99,37.53701,127.082245,37.53186,127.067192,OK,18.9,7.2,2170.0,,2026-05-09T16:18:36.390121+00:00
ST-113,ST-1192,37.530235,127.08683,37.545952,127.078003,OK,12.7,7.7,2398.0,,2026-05-09T16:18:36.491579+00:00
ST-113,ST-1660,37.530235,127.08683,37.539295,127.070786,OK,18.6,13.1,3497.0,,2026-05-09T16:18:36.816048+00:00
ST-113,ST-1379,37.530235,127.08683,37.543427,127.096619,OK,16.6,8.4,2543.0,,2026-05-09T16:18:37.014675+00:00
ST-113,ST-1661,37.530235,127.08683,37.540081,127.069565,OK,14.7,7.9,2366.0,,2026-05-09T16:18:37.046624+00:00
ST-113,ST-1722,37.530235,127.08683,37.544987,127.089806,OK,16.6,7.0,2180.0,,2026-05-09T16:18:37.253266+00:00
ST-113,ST-2305,37.530235,127.08683,37.535072,127.076111,OK,13.4,5.7,1252.0,,2026-05-09T16:18:37.739636+00:00
ST-113,ST-2308,37.530235,127.08683,37.539566,127.072441,OK,17.8,8.6,2052.0,,2026-05-09T16:18:37.765227+00:00
ST-113,ST-2309,37.530235,127.08683,37.537807,127.089767,OK,9.3,3.7,1308.0,,2026-05-09T16:18:37.922714+00:00
ST-113,ST-254,37.530235,127.08683,37.535824,127.094162,OK,12.1,4.8,1232.0,,2026-05-09T16:18:38.375290+00:00
ST-113,ST-2407,37.530235,127.08683,37.542465,127.094231,OK,13.3,8.2,2609.0,,2026-05-09T16:18:38.378852+00:00
ST-113,ST-2314,37.530235,127.08683,37.536575,127.082581,OK,8.3,1.1,811.0,,2026-05-09T16:18:38.392288+00:00
ST-113,ST-2544,37.530235,127.08683,37.545006,127.083374,OK,13.2,6.5,1921.0,,2026-05-09T16:18:38.983126+00:00
ST-113,ST-2545,37.530235,127.08683,37.53521,127.069,OK,16.2,12.2,2992.0,,2026-05-09T16:18:39.116799+00:00
ST-113,ST-2546,37.530235,127.08683,37.52927,127.077866,OK,15.5,0.9,923.0,,2026-05-09T16:18:39.120541+00:00
ST-113,ST-258,37.530235,127.08683,37.52977,127.07486,OK,10.2,5.6,2068.0,,2026-05-09T16:18:39.516517+00:00
ST-113,ST-255,37.530235,127.08683,37.535988,127.094627,OK,14.8,4.8,1259.0,,2026-05-09T16:18:39.674290+00:00
ST-113,ST-256,37.530235,127.08683,37.54073,127.102905,OK,17.9,7.8,2630.0,,2026-05-09T16:18:39.834211+00:00
ST-113,ST-2865,37.530235,127.08683,37.532936,127.075806,OK,11.9,3.2,1035.0,,2026-05-09T16:18:39.954206+00:00
ST-113,ST-3012,37.530235,127.08683,37.539192,127.098015,OK,17.2,5.1,2070.0,,2026-05-09T16:18:40.156377+00:00
ST-113,ST-3351,37.530235,127.08683,37.540886,127.079285,OK,18.4,3.1,1584.0,,2026-05-09T16:18:40.373412+00:00
ST-113,ST-3188,37.530235,127.08683,37.538033,127.083557,OK,9.9,2.1,1049.0,,2026-05-09T16:18:40.485053+00:00
ST-113,ST-3367,37.530235,127.08683,37.541637,127.095085,OK,14.4,5.1,1951.0,,2026-05-09T16:18:40.879503+00:00
ST-113,ST-3400,37.530235,127.08683,37.536766,127.087006,OK,9.3,3.7,1328.0,,2026-05-09T16:18:40.915564+00:00
ST-113,ST-3390,37.530235,127.08683,37.529613,127.066261,OK,28.8,11.0,3481.0,,2026-05-09T16:18:41.010714+00:00
ST-113,ST-3422,37.530235,127.08683,37.543007,127.084274,OK,14.8,6.5,2114.0,,2026-05-09T16:18:41.206431+00:00
ST-113,ST-377,37.530235,127.08683,37.539841,127.093887,OK,10.4,5.1,1735.0,,2026-05-09T16:18:41.282883+00:00
ST-113,ST-384,37.530235,127.08683,37.545231,127.084732,OK,10.8,6.5,1930.0,,2026-05-09T16:18:41.926187+00:00
ST-113,ST-381,37.530235,127.08683,37.537849,127.092171,OK,13.2,3.7,1519.0,,2026-05-09T16:18:41.942386+00:00
ST-113,ST-972,37.530235,127.08683,37.53989,127.073364,OK,18.2,8.6,2000.0,,2026-05-09T16:18:42.289196+00:00
ST-113,ST-378,37.530235,127.08683,37.536579,127.092972,OK,13.3,4.8,1230.0,,2026-05-09T16:18:42.450890+00:00
ST-113,ST-974,37.530235,127.08683,37.541912,127.077637,OK,19.7,3.1,1696.0,,2026-05-09T16:18:42.784610+00:00
ST-113,ST-973,37.530235,127.08683,37.542778,127.075371,OK,21.8,9.4,3131.0,,2026-05-09T16:18:43.065395+00:00
ST-113,ST-483,37.530235,127.08683,37.532688,127.067497,OK,21.2,12.2,3298.0,,2026-05-09T16:18:43.303724+00:00
ST-113,ST-98,37.530235,127.08683,37.537308,127.070351,OK,24.9,12.2,2811.0,,2026-05-09T16:18:43.349733+00:00
ST-113,ST-987,37.530235,127.08683,37.538052,127.076599,OK,10.0,3.1,1410.0,,2026-05-09T16:18:43.699451+00:00
ST-113,ST-984,37.530235,127.08683,37.539501,127.083,OK,7.8,2.9,1099.0,,2026-05-09T16:18:44.028155+00:00
ST-113,ST-988,37.530235,127.08683,37.535221,127.068398,OK,18.0,12.2,3033.0,,2026-05-09T16:18:44.068430+00:00
ST-113,ST-99,37.530235,127.08683,37.53186,127.067192,OK,24.0,10.2,2024.0,,2026-05-09T16:18:44.355829+00:00
ST-114,ST-1191,37.548405,127.069366,37.537014,127.061096,OK,11.7,5.4,1585.0,,2026-05-09T16:18:44.407027+00:00
ST-113,ST-980,37.530235,127.08683,37.528454,127.078033,OK,12.1,3.2,1618.0,,2026-05-09T16:18:44.441425+00:00
ST-114,ST-1266,37.548405,127.069366,37.562527,127.082275,OK,16.3,9.2,2166.0,,2026-05-09T16:18:45.110039+00:00
ST-114,ST-1263,37.548405,127.069366,37.556862,127.07914,OK,12.7,5.1,1516.0,,2026-05-09T16:18:45.132516+00:00
