a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1218,ST-1219,37.51001,126.88205,37.493401,126.874329,OK,18.7,5.8,3222.0,,2026-05-09T16:19:14.365822+00:00
ST-1218,ST-1220,37.51001,126.88205,37.495781,126.890121,OK,18.8,12.4,3232.0,,2026-05-09T16:19:14.546571+00:00
ST-1218,ST-1221,37.51001,126.88205,37.496513,126.889572,OK,17.9,5.5,2579.0,,2026-05-09T16:19:14.851934+00:00
ST-1218,ST-1223,37.51001,126.88205,37.508183,126.891335,OK,11.8,2.9,1281.0,,2026-05-09T16:19:15.205402+00:00
ST-1218,ST-1222,37.51001,126.88205,37.50285,126.889481,OK,14.4,2.1,1134.0,,2026-05-09T16:19:15.239597+00:00
ST-1218,ST-1275,37.51001,126.88205,37.498516,126.891991,OK,13.8,3.1,1608.0,,2026-05-09T16:19:15.568925+00:00
ST-1218,ST-1273,37.51001,126.88205,37.502548,126.883881,OK,19.7,0.6,1039.0,,2026-05-09T16:19:15.579765+00:00
ST-1218,ST-1523,37.51001,126.88205,37.50605,126.860786,OK,17.5,6.4,3438.0,,2026-05-09T16:19:15.862088+00:00
ST-1218,ST-1529,37.51001,126.88205,37.496998,126.87178,OK,16.9,7.1,3139.0,,2026-05-09T16:19:16.393458+00:00
ST-1218,ST-1696,37.51001,126.88205,37.498569,126.871521,OK,15.8,2.0,1854.0,,2026-05-09T16:19:16.531129+00:00
ST-1218,ST-1961,37.51001,126.88205,37.50119,126.863533,OK,14.6,10.5,4035.0,,2026-05-09T16:19:17.014742+00:00
ST-1218,ST-1962,37.51001,126.88205,37.50452,126.870552,OK,21.8,1.6,1267.0,,2026-05-09T16:19:17.233322+00:00
ST-1218,ST-1531,37.51001,126.88205,37.495399,126.87101,OK,22.7,8.7,3917.0,,2026-05-09T16:19:17.318300+00:00
ST-1218,ST-1963,37.51001,126.88205,37.499813,126.874313,OK,10.2,7.1,2759.0,,2026-05-09T16:19:17.638266+00:00
ST-1218,ST-2464,37.51001,126.88205,37.506241,126.891144,OK,15.7,2.9,1452.0,,2026-05-09T16:19:17.976031+00:00
ST-1218,ST-2465,37.51001,126.88205,37.501915,126.889244,OK,12.3,2.1,1160.0,,2026-05-09T16:19:17.987444+00:00
ST-1218,ST-1965,37.51001,126.88205,37.495453,126.880394,OK,19.9,9.8,3590.0,,2026-05-09T16:19:18.042530+00:00
ST-1218,ST-2892,37.51001,126.88205,37.501263,126.891182,OK,16.8,3.1,1646.0,,2026-05-09T16:19:18.326369+00:00
ST-1218,ST-3013,37.51001,126.88205,37.500965,126.88237,OK,12.3,4.7,2020.0,,2026-05-09T16:19:18.338015+00:00
ST-1218,ST-3088,37.51001,126.88205,37.500755,126.877083,OK,13.8,2.0,1740.0,,2026-05-09T16:19:18.405261+00:00
ST-1218,ST-3124,37.51001,126.88205,37.50127,126.876785,OK,15.7,5.1,1860.0,,2026-05-09T16:19:18.666377+00:00
ST-1218,ST-3182,37.51001,126.88205,37.505196,126.87619,OK,11.1,2.9,962.0,,2026-05-09T16:19:18.984951+00:00
