a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1111,ST-1740,37.617367,127.075211,37.628189,127.082108,OK,12.5,4.5,1513.0,,2026-05-09T16:24:33.361823+00:00
ST-1111,ST-1349,37.617367,127.075211,37.623165,127.0905,OK,10.3,5.0,2045.0,,2026-05-09T16:24:33.365013+00:00
ST-1111,ST-1280,37.617367,127.075211,37.619381,127.057854,OK,13.1,8.4,2681.0,,2026-05-09T16:24:33.453953+00:00
ST-1111,ST-2068,37.617367,127.075211,37.62862,127.06691,API_ERROR,,,,http_status=429,2026-05-09T16:24:33.522981+00:00
ST-1111,ST-2067,37.617367,127.075211,37.629814,127.066505,API_ERROR,,,,http_status=429,2026-05-09T16:24:33.527375+00:00
ST-1111,ST-2074,37.617367,127.075211,37.620003,127.058563,API_ERROR,,,,http_status=429,2026-05-09T16:24:33.610754+00:00
ST-1111,ST-2075,37.617367,127.075211,37.615459,127.067451,API_ERROR,,,,http_status=429,2026-05-09T16:24:33.683380+00:00
ST-1111,ST-2080,37.617367,127.075211,37.629509,127.081039,API_ERROR,,,,http_status=429,2026-05-09T16:24:33.689670+00:00
ST-1111,ST-2703,37.617367,127.075211,37.633415,127.06916,OK,13.6,3.7,2206.0,,2026-05-09T16:24:34.058194+00:00
ST-1111,ST-2081,37.617367,127.075211,37.634899,127.077675,OK,18.3,8.4,2307.0,,2026-05-09T16:24:34.221056+00:00
ST-1111,ST-2714,37.617367,127.075211,37.620453,127.054451,OK,14.5,8.8,2745.0,,2026-05-09T16:24:34.426715+00:00
ST-1111,ST-2715,37.617367,127.075211,37.625336,127.07019,OK,11.9,3.3,1247.0,,2026-05-09T16:24:34.676292+00:00
ST-1111,ST-2791,37.617367,127.075211,37.627411,127.062141,OK,15.5,6.5,2900.0,,2026-05-09T16:24:34.738645+00:00
ST-1111,ST-3060,37.617367,127.075211,37.627861,127.076378,OK,13.1,5.3,1646.0,,2026-05-09T16:24:35.356293+00:00
ST-1111,ST-2896,37.617367,127.075211,37.625275,127.072884,OK,5.7,1.4,951.0,,2026-05-09T16:24:35.516928+00:00
ST-1111,ST-2955,37.617367,127.075211,37.628136,127.086258,OK,10.3,5.0,2332.0,,2026-05-09T16:24:36.019165+00:00
ST-1111,ST-3122,37.617367,127.075211,37.61985,127.063103,OK,12.4,2.0,1540.0,,2026-05-09T16:24:36.031253+00:00
ST-1111,ST-3167,37.617367,127.075211,37.627808,127.069618,OK,13.1,3.9,1463.0,,2026-05-09T16:24:36.137205+00:00
ST-1111,ST-3282,37.617367,127.075211,37.628193,127.067879,API_ERROR,,,,http_status=429,2026-05-09T16:24:36.171152+00:00
ST-1111,ST-3290,37.617367,127.075211,37.620632,127.083839,API_ERROR,,,,http_status=429,2026-05-09T16:24:36.201085+00:00
ST-1111,ST-3357,37.617367,127.075211,37.623562,127.081383,API_ERROR,,,,http_status=429,2026-05-09T16:24:36.290371+00:00
ST-1111,ST-600,37.617367,127.075211,37.615181,127.064644,API_ERROR,,,,http_status=429,2026-05-09T16:24:36.313828+00:00
ST-1111,ST-603,37.617367,127.075211,37.620369,127.083641,API_ERROR,,,,http_status=429,2026-05-09T16:24:36.375759+00:00
ST-1111,ST-735,37.617367,127.075211,37.626614,127.072754,API_ERROR,,,,http_status=429,2026-05-09T16:24:36.464429+00:00
ST-1111,ST-604,37.617367,127.075211,37.629574,127.07679,OK,12.2,8.4,1941.0,,2026-05-09T16:24:36.599733+00:00
ST-1111,ST-913,37.617367,127.075211,37.622662,127.061897,OK,9.1,4.9,2032.0,,2026-05-09T16:24:36.803450+00:00
ST-1111,ST-866,37.617367,127.075211,37.631622,127.061615,OK,14.1,8.6,3544.0,,2026-05-09T16:24:37.031900+00:00
ST-1111,ST-964,37.617367,127.075211,37.625317,127.088135,OK,11.8,3.8,1927.0,,2026-05-09T16:24:37.239178+00:00
ST-1111,ST-971,37.617367,127.075211,37.623863,127.068489,OK,13.3,1.6,1077.0,,2026-05-09T16:24:37.325219+00:00
ST-1118,ST-1121,37.63958,127.065102,37.6562,127.063622,OK,10.4,7.2,2320.0,,2026-05-09T16:24:37.615310+00:00
ST-1114,ST-3293,37.638489,127.107903,37.629665,127.097237,OK,4.3,2.3,1489.0,,2026-05-09T16:24:37.620001+00:00
ST-1118,ST-1124,37.63958,127.065102,37.655018,127.067505,OK,10.4,6.9,2297.0,,2026-05-09T16:24:37.651195+00:00
ST-1118,ST-1125,37.63958,127.065102,37.654049,127.057327,OK,10.3,5.5,2180.0,,2026-05-09T16:24:37.947262+00:00
ST-1118,ST-1278,37.63958,127.065102,37.649639,127.065605,API_ERROR,,,,http_status=429,2026-05-09T16:24:38.114785+00:00
ST-1118,ST-1127,37.63958,127.065102,37.65033,127.071602,OK,8.1,4.7,1789.0,,2026-05-09T16:24:38.222891+00:00
ST-1118,ST-1128,37.63958,127.065102,37.642071,127.076622,OK,17.0,7.2,2447.0,,2026-05-09T16:24:38.253696+00:00
ST-1118,ST-1279,37.63958,127.065102,37.654217,127.059212,API_ERROR,,,,http_status=429,2026-05-09T16:24:38.283873+00:00
ST-1118,ST-1281,37.63958,127.065102,37.649361,127.070442,API_ERROR,,,,http_status=429,2026-05-09T16:24:38.378075+00:00
ST-1118,ST-1282,37.63958,127.065102,37.646996,127.076401,API_ERROR,,,,http_status=429,2026-05-09T16:24:38.423573+00:00
ST-1118,ST-1284,37.63958,127.065102,37.654499,127.074387,API_ERROR,,,,http_status=429,2026-05-09T16:24:38.535914+00:00
ST-1118,ST-1283,37.63958,127.065102,37.655781,127.071777,OK,12.6,6.6,2366.0,,2026-05-09T16:24:38.594676+00:00
ST-1118,ST-1287,37.63958,127.065102,37.64341,127.071838,OK,8.9,3.7,1302.0,,2026-05-09T16:24:38.728973+00:00
ST-1118,ST-1291,37.63958,127.065102,37.653549,127.058083,OK,10.2,5.5,2144.0,,2026-05-09T16:24:38.913991+00:00
ST-1118,ST-1288,37.63958,127.065102,37.629349,127.054825,OK,17.4,10.6,2127.0,,2026-05-09T16:24:39.154506+00:00
ST-1118,ST-1348,37.63958,127.065102,37.626942,127.05513,OK,17.0,10.6,2075.0,,2026-05-09T16:24:39.374112+00:00
ST-1118,ST-1473,37.63958,127.065102,37.650459,127.080887,API_ERROR,,,,http_status=429,2026-05-09T16:24:39.546119+00:00
ST-1118,ST-1475,37.63958,127.065102,37.64819,127.080482,API_ERROR,,,,http_status=429,2026-05-09T16:24:39.715093+00:00
ST-1118,ST-1425,37.63958,127.065102,37.645802,127.08226,OK,19.0,14.0,3318.0,,2026-05-09T16:24:39.758250+00:00
ST-1118,ST-2063,37.63958,127.065102,37.650249,127.057152,OK,14.5,3.2,1866.0,,2026-05-09T16:24:40.155086+00:00
ST-1118,ST-1394,37.63958,127.065102,37.648438,127.064446,OK,10.5,2.4,1293.0,,2026-05-09T16:24:40.245466+00:00
ST-1118,ST-2067,37.63958,127.065102,37.629814,127.066505,OK,17.3,5.3,1257.0,,2026-05-09T16:24:40.775505+00:00
ST-1118,ST-2068,37.63958,127.065102,37.62862,127.06691,OK,18.1,10.4,2438.0,,2026-05-09T16:24:40.897501+00:00
ST-1118,ST-1740,37.63958,127.065102,37.628189,127.082108,OK,20.8,11.4,2504.0,,2026-05-09T16:24:41.026875+00:00
ST-1118,ST-2070,37.63958,127.065102,37.650505,127.073982,API_ERROR,,,,http_status=429,2026-05-09T16:24:41.050214+00:00
ST-1118,ST-2073,37.63958,127.065102,37.630749,127.053108,API_ERROR,,,,http_status=429,2026-05-09T16:24:41.185709+00:00
ST-1118,ST-2069,37.63958,127.065102,37.633728,127.044365,OK,26.8,19.4,5865.0,,2026-05-09T16:24:41.391131+00:00
ST-1118,ST-2076,37.63958,127.065102,37.62289,127.073654,OK,12.8,9.2,2055.0,,2026-05-09T16:24:41.653405+00:00
ST-1118,ST-2080,37.63958,127.065102,37.629509,127.081039,OK,19.9,10.2,2245.0,,2026-05-09T16:24:41.702098+00:00
ST-1118,ST-2078,37.63958,127.065102,37.638157,127.073265,OK,16.0,6.2,1372.0,,2026-05-09T16:24:41.791567+00:00
ST-1118,ST-2086,37.63958,127.065102,37.651035,127.06871,OK,9.9,4.3,1735.0,,2026-05-09T16:24:42.038735+00:00
ST-1118,ST-2081,37.63958,127.065102,37.634899,127.077675,OK,28.0,1.4,1681.0,,2026-05-09T16:24:42.256153+00:00
ST-1118,ST-2703,37.63958,127.065102,37.633415,127.06916,OK,10.4,6.0,819.0,,2026-05-09T16:24:42.408319+00:00
ST-1118,ST-2705,37.63958,127.065102,37.629173,127.056931,OK,15.1,8.4,1867.0,,2026-05-09T16:24:42.595231+00:00
ST-1118,ST-2704,37.63958,127.065102,37.632843,127.052132,OK,26.2,19.4,4077.0,,2026-05-09T16:24:42.615490+00:00
ST-1118,ST-2708,37.63958,127.065102,37.634594,127.052063,API_ERROR,,,,http_status=429,2026-05-09T16:24:42.749014+00:00
ST-1118,ST-2711,37.63958,127.065102,37.651161,127.076591,API_ERROR,,,,http_status=429,2026-05-09T16:24:42.781633+00:00
ST-1118,ST-2713,37.63958,127.065102,37.634411,127.058868,API_ERROR,,,,http_status=429,2026-05-09T16:24:42.953790+00:00
ST-1118,ST-2706,37.63958,127.065102,37.645596,127.071358,OK,8.4,3.7,1192.0,,2026-05-09T16:24:43.033368+00:00
ST-1118,ST-2715,37.63958,127.065102,37.625336,127.07019,API_ERROR,,,,http_status=429,2026-05-09T16:24:43.129400+00:00
ST-1118,ST-2716,37.63958,127.065102,37.647953,127.057938,API_ERROR,,,,http_status=429,2026-05-09T16:24:43.186950+00:00
