a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1129,ST-1130,37.651653,127.028488,37.64463,127.044609,OK,15.1,12.9,3142.0,,2026-05-09T16:27:07.743549+00:00
ST-1129,ST-1132,37.651653,127.028488,37.654202,127.050728,OK,12.9,9.1,2706.0,,2026-05-09T16:27:07.794166+00:00
ST-1129,ST-1293,37.651653,127.028488,37.662079,127.027718,OK,5.2,4.4,1240.0,,2026-05-09T16:27:08.023830+00:00
ST-1129,ST-1131,37.651653,127.028488,37.653179,127.012787,OK,14.9,6.5,2230.0,,2026-05-09T16:27:08.100179+00:00
ST-1129,ST-1465,37.651653,127.028488,37.662979,127.041939,API_ERROR,,,,http_status=429,2026-05-09T16:27:08.246394+00:00
ST-1129,ST-1466,37.651653,127.028488,37.65815,127.032669,OK,8.7,1.3,996.0,,2026-05-09T16:27:08.595036+00:00
ST-1129,ST-1296,37.651653,127.028488,37.658588,127.03521,OK,7.4,2.7,1343.0,,2026-05-09T16:27:08.650568+00:00
ST-1129,ST-1468,37.651653,127.028488,37.652241,127.037064,OK,8.7,3.1,902.0,,2026-05-09T16:27:08.896498+00:00
ST-1129,ST-1469,37.651653,127.028488,37.639702,127.038834,OK,16.8,15.1,3924.0,,2026-05-09T16:27:08.945015+00:00
ST-1129,ST-1295,37.651653,127.028488,37.647503,127.043312,OK,14.9,8.3,2340.0,,2026-05-09T16:27:09.077763+00:00
ST-1129,ST-2089,37.651653,127.028488,37.664803,127.04303,OK,11.7,10.2,2873.0,,2026-05-09T16:27:09.254683+00:00
ST-1129,ST-2096,37.651653,127.028488,37.652123,127.041702,OK,10.6,4.4,1289.0,,2026-05-09T16:27:09.374568+00:00
ST-1129,ST-1638,37.651653,127.028488,37.645199,127.032982,OK,14.5,1.9,1018.0,,2026-05-09T16:27:09.499795+00:00
ST-1129,ST-2101,37.651653,127.028488,37.651485,127.044319,API_ERROR,,,,http_status=429,2026-05-09T16:27:09.535451+00:00
ST-1129,ST-2102,37.651653,127.028488,37.655685,127.013382,API_ERROR,,,,http_status=429,2026-05-09T16:27:09.667413+00:00
ST-1129,ST-2097,37.651653,127.028488,37.645481,127.048576,OK,13.3,11.8,2783.0,,2026-05-09T16:27:09.857068+00:00
ST-1129,ST-2107,37.651653,127.028488,37.655338,127.042419,OK,14.6,7.0,1729.0,,2026-05-09T16:27:10.162002+00:00
ST-1129,ST-2103,37.651653,127.028488,37.65728,127.013756,OK,12.6,7.4,2364.0,,2026-05-09T16:27:10.174608+00:00
ST-1129,ST-2106,37.651653,127.028488,37.665623,127.03109,OK,10.2,5.5,1686.0,,2026-05-09T16:27:10.271500+00:00
ST-1129,ST-2113,37.651653,127.028488,37.662083,127.028748,OK,6.8,4.2,1228.0,,2026-05-09T16:27:10.521400+00:00
ST-1129,ST-2116,37.651653,127.028488,37.657967,127.03009,OK,6.0,1.3,791.0,,2026-05-09T16:27:10.569624+00:00
ST-1129,ST-2112,37.651653,127.028488,37.66251,127.033279,OK,8.6,5.0,1627.0,,2026-05-09T16:27:10.752285+00:00
ST-1129,ST-2117,37.651653,127.028488,37.658051,127.035759,OK,7.5,2.7,1358.0,,2026-05-09T16:27:11.129620+00:00
ST-1129,ST-2120,37.651653,127.028488,37.651287,127.045547,OK,11.6,5.2,1565.0,,2026-05-09T16:27:11.244296+00:00
ST-1129,ST-2722,37.651653,127.028488,37.646019,127.035271,OK,7.5,6.0,1551.0,,2026-05-09T16:27:11.458136+00:00
ST-1129,ST-2724,37.651653,127.028488,37.662521,127.042709,OK,15.9,7.5,2457.0,,2026-05-09T16:27:11.482097+00:00
ST-1129,ST-2730,37.651653,127.028488,37.669273,127.032433,OK,17.3,13.0,3014.0,,2026-05-09T16:27:11.779335+00:00
ST-1129,ST-2725,37.651653,127.028488,37.640511,127.040825,OK,17.3,13.8,3639.0,,2026-05-09T16:27:11.838369+00:00
ST-1129,ST-2726,37.651653,127.028488,37.653736,127.049294,OK,15.4,8.4,2159.0,,2026-05-09T16:27:12.068485+00:00
ST-1129,ST-2849,37.651653,127.028488,37.658546,127.027679,OK,4.5,2.7,913.0,,2026-05-09T16:27:12.150797+00:00
