a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1300,ST-1447,37.5667,127.062424,37.57653,127.065941,OK,7.2,3.1,1294.0,,2026-05-09T16:32:26.151057+00:00
ST-1300,ST-1449,37.5667,127.062424,37.577621,127.052109,OK,14.2,8.3,2667.0,,2026-05-09T16:32:26.590108+00:00
ST-1300,ST-1758,37.5667,127.062424,37.584129,127.057938,OK,18.7,10.5,3191.0,,2026-05-09T16:32:26.621774+00:00
ST-1300,ST-1629,37.5667,127.062424,37.575546,127.048813,OK,15.9,11.0,3203.0,,2026-05-09T16:32:26.633996+00:00
ST-1300,ST-2269,37.5667,127.062424,37.572147,127.044609,OK,8.5,5.7,2132.0,,2026-05-09T16:32:26.955362+00:00
ST-1300,ST-2278,37.5667,127.062424,37.576557,127.07431,OK,10.4,5.3,1823.0,,2026-05-09T16:32:27.269324+00:00
ST-1300,ST-2279,37.5667,127.062424,37.577877,127.061684,OK,7.9,5.9,2152.0,,2026-05-09T16:32:27.314993+00:00
ST-1300,ST-2281,37.5667,127.062424,37.579838,127.056374,OK,11.8,10.6,3543.0,,2026-05-09T16:32:27.600508+00:00
ST-1300,ST-2500,37.5667,127.062424,37.576771,127.071892,OK,8.7,5.3,1756.0,,2026-05-09T16:32:27.923998+00:00
ST-1300,ST-2509,37.5667,127.062424,37.578468,127.066895,OK,8.1,3.9,1477.0,,2026-05-09T16:32:27.937554+00:00
ST-1300,ST-262,37.5667,127.062424,37.572174,127.071388,OK,6.4,4.0,1221.0,,2026-05-09T16:32:28.242682+00:00
ST-1300,ST-270,37.5667,127.062424,37.573086,127.052162,API_ERROR,,,,http_status=429,2026-05-09T16:32:28.399509+00:00
ST-1300,ST-275,37.5667,127.062424,37.582561,127.054367,API_ERROR,,,,http_status=429,2026-05-09T16:32:28.560129+00:00
ST-1300,ST-2560,37.5667,127.062424,37.583923,127.068275,OK,8.6,6.0,2051.0,,2026-05-09T16:32:28.804277+00:00
ST-1300,ST-268,37.5667,127.062424,37.58131,127.055344,OK,15.2,10.5,3043.0,,2026-05-09T16:32:29.191132+00:00
ST-1300,ST-3316,37.5667,127.062424,37.566002,127.054314,OK,7.1,3.2,1073.0,,2026-05-09T16:32:29.490642+00:00
ST-1300,ST-276,37.5667,127.062424,37.574203,127.057693,OK,7.0,6.2,1701.0,,2026-05-09T16:32:29.735190+00:00
ST-1300,ST-3328,37.5667,127.062424,37.573055,127.057213,OK,7.2,4.8,1594.0,,2026-05-09T16:32:29.880615+00:00
ST-1300,ST-389,37.5667,127.062424,37.57489,127.053535,OK,9.4,8.9,2562.0,,2026-05-09T16:32:30.412048+00:00
ST-1300,ST-3382,37.5667,127.062424,37.578728,127.049301,OK,14.4,10.6,3381.0,,2026-05-09T16:32:30.572033+00:00
ST-1300,ST-390,37.5667,127.062424,37.577793,127.057831,OK,10.6,7.0,2101.0,,2026-05-09T16:32:31.093470+00:00
ST-1300,ST-392,37.5667,127.062424,37.574188,127.045891,OK,12.8,5.7,2364.0,,2026-05-09T16:32:31.339832+00:00
