a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1150,ST-1356,37.513523,126.943527,37.51199,126.927086,API_ERROR,,,,http_status=429,2026-05-09T16:36:40.879096+00:00
ST-1150,ST-2350,37.513523,126.943527,37.511936,126.954163,OK,5.1,2.2,987.0,,2026-05-09T16:36:41.054743+00:00
ST-1150,ST-2352,37.513523,126.943527,37.506672,126.957779,OK,13.7,12.9,2541.0,,2026-05-09T16:36:41.201926+00:00
ST-1150,ST-2351,37.513523,126.943527,37.510838,126.961632,OK,6.3,4.1,1727.0,,2026-05-09T16:36:41.465169+00:00
ST-1150,ST-2353,37.513523,126.943527,37.512135,126.925438,OK,10.6,4.8,2093.0,,2026-05-09T16:36:41.967961+00:00
ST-1150,ST-2361,37.513523,126.943527,37.500248,126.94973,API_ERROR,,,,http_status=429,2026-05-09T16:36:42.146866+00:00
ST-1150,ST-2366,37.513523,126.943527,37.503212,126.954597,API_ERROR,,,,http_status=429,2026-05-09T16:36:42.306874+00:00
ST-1150,ST-2356,37.513523,126.943527,37.504704,126.960732,OK,17.6,16.0,3232.0,,2026-05-09T16:36:42.457992+00:00
ST-1150,ST-2369,37.513523,126.943527,37.502514,126.940651,OK,11.6,6.7,1851.0,,2026-05-09T16:36:42.657731+00:00
ST-1150,ST-2357,37.513523,126.943527,37.504688,126.946648,OK,9.3,7.3,1270.0,,2026-05-09T16:36:42.659626+00:00
ST-1150,ST-2651,37.513523,126.943527,37.506805,126.928505,OK,11.9,6.7,2199.0,,2026-05-09T16:36:43.000030+00:00
ST-1150,ST-2649,37.513523,126.943527,37.505432,126.941513,OK,10.8,9.3,1806.0,,2026-05-09T16:36:43.158816+00:00
ST-1150,ST-2650,37.513523,126.943527,37.511204,126.961281,OK,5.1,4.1,1676.0,,2026-05-09T16:36:43.387699+00:00
ST-1150,ST-2652,37.513523,126.943527,37.507858,126.947136,OK,8.0,4.5,844.0,,2026-05-09T16:36:43.675316+00:00
ST-1150,ST-2803,37.513523,126.943527,37.512627,126.927414,OK,7.6,4.0,1694.0,,2026-05-09T16:36:43.868928+00:00
ST-1150,ST-3064,37.513523,126.943527,37.501575,126.945908,OK,13.2,11.2,2298.0,,2026-05-09T16:36:44.027307+00:00
ST-1150,ST-2827,37.513523,126.943527,37.504444,126.950256,OK,10.1,9.7,1764.0,,2026-05-09T16:36:44.102939+00:00
ST-1150,ST-685,37.513523,126.943527,37.512939,126.934242,OK,8.8,3.2,1136.0,,2026-05-09T16:36:44.360619+00:00
ST-1150,ST-683,37.513523,126.943527,37.512844,126.952469,OK,8.6,2.1,856.0,,2026-05-09T16:36:44.585443+00:00
ST-1150,ST-690,37.513523,126.943527,37.504498,126.938988,API_ERROR,,,,http_status=429,2026-05-09T16:36:44.749605+00:00
ST-1150,ST-687,37.513523,126.943527,37.505852,126.939362,OK,11.3,5.7,1583.0,,2026-05-09T16:36:44.770261+00:00
ST-1150,ST-691,37.513523,126.943527,37.502178,126.948204,API_ERROR,,,,http_status=429,2026-05-09T16:36:44.914535+00:00
ST-1150,ST-692,37.513523,126.943527,37.50938,126.963615,API_ERROR,,,,http_status=429,2026-05-09T16:36:44.937120+00:00
ST-1150,ST-693,37.513523,126.943527,37.507042,126.959152,API_ERROR,,,,http_status=429,2026-05-09T16:36:45.091487+00:00
ST-1150,ST-701,37.513523,126.943527,37.500881,126.94175,API_ERROR,,,,http_status=429,2026-05-09T16:36:45.092217+00:00
ST-1150,ST-728,37.513523,126.943527,37.499855,126.929565,API_ERROR,,,,http_status=429,2026-05-09T16:36:45.246166+00:00
ST-1150,ST-686,37.513523,126.943527,37.509369,126.92807,OK,11.6,7.0,2225.0,,2026-05-09T16:36:45.375297+00:00
ST-1150,ST-932,37.513523,126.943527,37.508587,126.963493,OK,8.9,6.5,2450.0,,2026-05-09T16:36:45.409576+00:00
ST-1151,ST-1542,37.497078,126.917793,37.489399,126.907112,OK,18.7,8.8,2038.0,,2026-05-09T16:36:46.052994+00:00
ST-1151,ST-2353,37.497078,126.917793,37.512135,126.925438,OK,9.8,5.2,2367.0,,2026-05-09T16:36:46.118496+00:00
ST-1151,ST-2358,37.497078,126.917793,37.502743,126.921577,OK,8.8,5.0,1317.0,,2026-05-09T16:36:46.412345+00:00
ST-1151,ST-2651,37.497078,126.917793,37.506805,126.928505,OK,13.8,6.8,1875.0,,2026-05-09T16:36:46.440183+00:00
ST-1151,ST-1356,37.497078,126.917793,37.51199,126.927086,OK,11.7,7.4,2378.0,,2026-05-09T16:36:46.501862+00:00
ST-1151,ST-2653,37.497078,126.917793,37.485008,126.903503,OK,17.2,10.0,2491.0,,2026-05-09T16:36:46.808583+00:00
ST-1151,ST-2803,37.497078,126.917793,37.512627,126.927414,OK,12.0,7.4,2381.0,,2026-05-09T16:36:46.942110+00:00
ST-1151,ST-3392,37.497078,126.917793,37.492657,126.9245,API_ERROR,,,,http_status=429,2026-05-09T16:36:46.960144+00:00
ST-1151,ST-2654,37.497078,126.917793,37.498455,126.927979,OK,12.8,6.5,1461.0,,2026-05-09T16:36:47.233223+00:00
ST-1151,ST-686,37.497078,126.917793,37.509369,126.92807,OK,12.6,8.7,2364.0,,2026-05-09T16:36:47.304089+00:00
ST-1151,ST-688,37.497078,126.917793,37.499645,126.927094,OK,9.4,6.5,1324.0,,2026-05-09T16:36:47.359871+00:00
ST-1151,ST-727,37.497078,126.917793,37.488361,126.906227,OK,16.4,8.8,1899.0,,2026-05-09T16:36:47.574435+00:00
ST-1152,ST-2362,37.484631,126.97155,37.479107,126.981506,OK,11.7,5.3,1699.0,,2026-05-09T16:36:47.938053+00:00
ST-1151,ST-728,37.497078,126.917793,37.499855,126.929565,OK,11.1,1.5,1231.0,,2026-05-09T16:36:48.010879+00:00
ST-1152,ST-2355,37.484631,126.97155,37.484608,126.981796,OK,4.6,2.0,1184.0,,2026-05-09T16:36:48.029876+00:00
ST-1152,ST-2364,37.484631,126.97155,37.484703,126.980591,API_ERROR,,,,http_status=429,2026-05-09T16:36:48.097215+00:00
ST-1152,ST-2368,37.484631,126.97155,37.491501,126.982407,API_ERROR,,,,http_status=429,2026-05-09T16:36:48.202456+00:00
