a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-10,ST-1692,37.552746,126.918617,37.56472,126.906769,OK,16.4,8.3,2497.0,,2026-05-09T16:38:34.045361+00:00
ST-10,ST-19,37.552746,126.918617,37.547733,126.931763,OK,14.9,2.0,1541.0,,2026-05-09T16:38:34.272046+00:00
ST-10,ST-1494,37.552746,126.918617,37.563339,126.908203,OK,16.1,7.3,2233.0,,2026-05-09T16:38:34.304945+00:00
ST-10,ST-20,37.552746,126.918617,37.55706,126.924423,OK,7.5,3.1,705.0,,2026-05-09T16:38:34.470285+00:00
ST-10,ST-210,37.552746,126.918617,37.564697,126.912613,OK,9.1,7.3,1832.0,,2026-05-09T16:38:34.815989+00:00
ST-10,ST-211,37.552746,126.918617,37.560909,126.905495,API_ERROR,,,,http_status=429,2026-05-09T16:38:34.971667+00:00
ST-10,ST-21,37.552746,126.918617,37.545208,126.931465,OK,19.2,2.0,1760.0,,2026-05-09T16:38:35.022248+00:00
ST-10,ST-212,37.552746,126.918617,37.568295,126.915047,API_ERROR,,,,http_status=429,2026-05-09T16:38:35.126617+00:00
ST-10,ST-2153,37.552746,126.918617,37.547245,126.935028,API_ERROR,,,,http_status=429,2026-05-09T16:38:35.287009+00:00
ST-10,ST-2152,37.552746,126.918617,37.556576,126.928856,OK,12.6,5.8,1777.0,,2026-05-09T16:38:35.439860+00:00
ST-10,ST-207,37.552746,126.918617,37.552956,126.934341,OK,13.2,7.7,2328.0,,2026-05-09T16:38:35.618762+00:00
ST-10,ST-2168,37.552746,126.918617,37.558296,126.925385,API_ERROR,,,,http_status=429,2026-05-09T16:38:35.784287+00:00
ST-10,ST-2160,37.552746,126.918617,37.565044,126.903603,OK,15.0,7.7,2723.0,,2026-05-09T16:38:35.785111+00:00
ST-10,ST-2157,37.552746,126.918617,37.564651,126.922127,OK,19.9,10.3,2546.0,,2026-05-09T16:38:36.022753+00:00
ST-10,ST-22,37.552746,126.918617,37.545242,126.934113,OK,22.6,8.4,3230.0,,2026-05-09T16:38:36.141156+00:00
ST-10,ST-24,37.552746,126.918617,37.547459,126.938377,OK,15.6,8.4,2830.0,,2026-05-09T16:38:36.443810+00:00
ST-10,ST-2530,37.552746,126.918617,37.547379,126.931633,OK,14.4,2.0,1541.0,,2026-05-09T16:38:36.576520+00:00
ST-10,ST-23,37.552746,126.918617,37.549767,126.933174,OK,17.4,9.1,2677.0,,2026-05-09T16:38:36.642218+00:00
ST-10,ST-2536,37.552746,126.918617,37.564156,126.90815,OK,14.9,7.3,2214.0,,2026-05-09T16:38:36.956138+00:00
ST-10,ST-26,37.552746,126.918617,37.55114,126.936989,OK,11.7,7.8,2402.0,,2026-05-09T16:38:37.107147+00:00
ST-10,ST-2874,37.552746,126.918617,37.550068,126.9048,API_ERROR,,,,http_status=429,2026-05-09T16:38:37.118076+00:00
ST-10,ST-2533,37.552746,126.918617,37.569492,126.911842,OK,13.7,10.9,2997.0,,2026-05-09T16:38:37.177856+00:00
ST-10,ST-29,37.552746,126.918617,37.55352,126.936951,API_ERROR,,,,http_status=429,2026-05-09T16:38:37.252729+00:00
ST-10,ST-2905,37.552746,126.918617,37.555576,126.896889,OK,16.8,9.7,2828.0,,2026-05-09T16:38:37.429670+00:00
ST-10,ST-2975,37.552746,126.918617,37.549854,126.932037,OK,19.6,7.2,1808.0,,2026-05-09T16:38:37.556555+00:00
ST-10,ST-3017,37.552746,126.918617,37.545296,126.917648,API_ERROR,,,,http_status=429,2026-05-09T16:38:37.578065+00:00
ST-10,ST-2979,37.552746,126.918617,37.563065,126.921494,OK,12.2,6.3,1492.0,,2026-05-09T16:38:37.694915+00:00
ST-10,ST-3019,37.552746,126.918617,37.547588,126.924644,API_ERROR,,,,http_status=429,2026-05-09T16:38:37.708867+00:00
ST-10,ST-3021,37.552746,126.918617,37.556011,126.940346,API_ERROR,,,,http_status=429,2026-05-09T16:38:37.732070+00:00
ST-10,ST-32,37.552746,126.918617,37.55505,126.936264,API_ERROR,,,,http_status=429,2026-05-09T16:38:37.875051+00:00
ST-10,ST-339,37.552746,126.918617,37.551342,126.902672,OK,18.4,9.6,2435.0,,2026-05-09T16:38:38.027821+00:00
ST-10,ST-340,37.552746,126.918617,37.551365,126.903061,API_ERROR,,,,http_status=429,2026-05-09T16:38:38.053651+00:00
ST-10,ST-342,37.552746,126.918617,37.558949,126.907753,OK,12.0,4.2,1755.0,,2026-05-09T16:38:38.405305+00:00
ST-10,ST-31,37.552746,126.918617,37.555054,126.937569,OK,13.3,7.3,2233.0,,2026-05-09T16:38:38.498487+00:00
ST-10,ST-343,37.552746,126.918617,37.542545,126.934296,API_ERROR,,,,http_status=429,2026-05-09T16:38:38.564173+00:00
ST-10,ST-341,37.552746,126.918617,37.565388,126.919327,OK,16.4,7.9,2004.0,,2026-05-09T16:38:38.734152+00:00
