a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1188,ST-2198,37.557396,126.952164,37.560463,126.965523,OK,7.4,3.0,1499.0,,2026-05-09T16:42:15.704809+00:00
ST-1188,ST-219,37.557396,126.952164,37.566261,126.946671,OK,9.2,6.8,2363.0,,2026-05-09T16:42:15.860493+00:00
ST-1188,ST-2199,37.557396,126.952164,37.572205,126.959747,OK,14.7,7.1,2943.0,,2026-05-09T16:42:16.454614+00:00
ST-1188,ST-2201,37.557396,126.952164,37.555504,126.937202,OK,5.8,4.1,1630.0,,2026-05-09T16:42:16.561861+00:00
ST-1188,ST-2202,37.557396,126.952164,37.564068,126.945328,OK,9.8,6.8,2467.0,,2026-05-09T16:42:16.623485+00:00
ST-1188,ST-228,37.557396,126.952164,37.564724,126.967278,OK,8.3,4.4,2059.0,,2026-05-09T16:42:17.084682+00:00
ST-1188,ST-2219,37.557396,126.952164,37.561317,126.966583,OK,11.5,4.3,2011.0,,2026-05-09T16:42:17.319044+00:00
ST-1188,ST-230,37.557396,126.952164,37.564777,126.966148,OK,8.3,4.4,2040.0,,2026-05-09T16:42:17.413919+00:00
ST-1188,ST-30,37.557396,126.952164,37.555496,126.93634,OK,6.7,4.1,1648.0,,2026-05-09T16:42:17.825278+00:00
ST-1188,ST-233,37.557396,126.952164,37.559967,126.962463,OK,8.6,3.2,1573.0,,2026-05-09T16:42:18.030212+00:00
ST-1188,ST-3051,37.557396,126.952164,37.56599,126.966072,OK,7.9,4.4,2022.0,,2026-05-09T16:42:18.324322+00:00
ST-1188,ST-3027,37.557396,126.952164,37.561848,126.964149,OK,6.3,3.2,1495.0,,2026-05-09T16:42:18.379935+00:00
ST-1188,ST-3107,37.557396,126.952164,37.559425,126.963058,OK,8.9,3.0,1509.0,,2026-05-09T16:42:18.868699+00:00
ST-1188,ST-3140,37.557396,126.952164,37.556877,126.936035,OK,7.9,4.1,1656.0,,2026-05-09T16:42:19.089466+00:00
ST-1188,ST-3202,37.557396,126.952164,37.562336,126.969093,OK,8.3,5.2,2381.0,,2026-05-09T16:42:19.272807+00:00
ST-1188,ST-354,37.557396,126.952164,37.563908,126.964973,OK,10.7,4.4,2177.0,,2026-05-09T16:42:19.538222+00:00
ST-1188,ST-36,37.557396,126.952164,37.557892,126.93808,OK,7.5,4.1,1751.0,,2026-05-09T16:42:19.554573+00:00
ST-1188,ST-37,37.557396,126.952164,37.559227,126.939842,OK,8.8,3.3,1377.0,,2026-05-09T16:42:19.993091+00:00
ST-1188,ST-39,37.557396,126.952164,37.556812,126.943184,OK,3.4,2.1,884.0,,2026-05-09T16:42:20.334520+00:00
ST-1188,ST-41,37.557396,126.952164,37.560009,126.940735,OK,9.0,3.3,1355.0,,2026-05-09T16:42:20.423164+00:00
ST-1188,ST-40,37.557396,126.952164,37.559177,126.934525,OK,11.0,4.5,2043.0,,2026-05-09T16:42:20.515699+00:00
ST-1188,ST-42,37.557396,126.952164,37.562382,126.932648,OK,16.2,12.8,2681.0,,2026-05-09T16:42:20.757731+00:00
ST-1189,ST-1190,37.578381,126.936096,37.567997,126.931656,OK,6.2,4.0,1328.0,,2026-05-09T16:42:21.176584+00:00
ST-1188,ST-43,37.557396,126.952164,37.559864,126.934418,OK,12.4,4.5,2119.0,,2026-05-09T16:42:21.281961+00:00
ST-1189,ST-1491,37.578381,126.936096,37.5867,126.94677,OK,8.1,5.4,2436.0,,2026-05-09T16:42:21.515781+00:00
ST-1189,ST-17,37.578381,126.936096,37.59116,126.94133,OK,9.9,6.1,2014.0,,2026-05-09T16:42:21.527695+00:00
ST-1189,ST-2194,37.578381,126.936096,37.592934,126.941292,OK,6.8,6.1,1928.0,,2026-05-09T16:42:21.870747+00:00
ST-1189,ST-219,37.578381,126.936096,37.566261,126.946671,OK,15.2,11.1,3919.0,,2026-05-09T16:42:21.883216+00:00
ST-1189,ST-218,37.578381,126.936096,37.582245,126.950645,OK,11.0,6.5,3184.0,,2026-05-09T16:42:22.028693+00:00
ST-1189,ST-220,37.578381,126.936096,37.583698,126.924965,OK,12.6,5.7,1628.0,,2026-05-09T16:42:22.348279+00:00
ST-1189,ST-2195,37.578381,126.936096,37.589283,126.936943,OK,4.9,2.6,1295.0,,2026-05-09T16:42:22.556685+00:00
ST-1189,ST-2196,37.578381,126.936096,37.582211,126.950165,OK,11.2,6.5,3182.0,,2026-05-09T16:42:22.677062+00:00
ST-1189,ST-2204,37.578381,126.936096,37.565197,126.929855,OK,8.7,4.8,1682.0,,2026-05-09T16:42:22.904566+00:00
ST-1189,ST-2205,37.578381,126.936096,37.569836,126.918091,OK,11.9,8.9,2810.0,,2026-05-09T16:42:23.141447+00:00
ST-1189,ST-2202,37.578381,126.936096,37.564068,126.945328,OK,15.8,11.1,4023.0,,2026-05-09T16:42:23.204245+00:00
ST-1189,ST-2210,37.578381,126.936096,37.575642,126.927826,OK,9.1,3.7,1491.0,,2026-05-09T16:42:23.477437+00:00
ST-1189,ST-2208,37.578381,126.936096,37.572254,126.9151,OK,11.4,8.9,2843.0,,2026-05-09T16:42:23.699731+00:00
ST-1189,ST-2215,37.578381,126.936096,37.574551,126.918266,OK,15.4,10.6,2388.0,,2026-05-09T16:42:23.998526+00:00
