a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1158,ST-1309,37.490536,127.008049,37.486526,126.989166,OK,10.2,5.2,1889.0,,2026-05-09T16:40:15.842238+00:00
ST-1158,ST-1163,37.490536,127.008049,37.488022,126.994118,OK,10.2,3.2,1664.0,,2026-05-09T16:40:16.179459+00:00
ST-1158,ST-1404,37.490536,127.008049,37.485672,127.015923,OK,10.2,3.2,1187.0,,2026-05-09T16:40:16.199181+00:00
ST-1158,ST-1406,37.490536,127.008049,37.486469,127.028061,OK,16.5,13.4,2827.0,,2026-05-09T16:40:16.700675+00:00
ST-1158,ST-1306,37.490536,127.008049,37.484161,127.010971,OK,5.7,3.0,1120.0,,2026-05-09T16:40:16.701560+00:00
ST-1158,ST-1554,37.490536,127.008049,37.503601,127.020782,OK,20.6,8.1,3367.0,,2026-05-09T16:40:17.225069+00:00
ST-1158,ST-1557,37.490536,127.008049,37.479092,126.990677,OK,12.7,9.3,3128.0,,2026-05-09T16:40:17.460686+00:00
ST-1158,ST-1655,37.490536,127.008049,37.498363,126.99115,API_ERROR,,,,http_status=429,2026-05-09T16:40:17.467983+00:00
ST-1158,ST-1556,37.490536,127.008049,37.493259,127.029533,OK,12.1,9.4,2434.0,,2026-05-09T16:40:17.577292+00:00
ST-1158,ST-1899,37.490536,127.008049,37.503643,127.016022,API_ERROR,,,,http_status=429,2026-05-09T16:40:17.634952+00:00
ST-1158,ST-1735,37.490536,127.008049,37.48304,127.021461,OK,12.2,5.4,2110.0,,2026-05-09T16:40:17.814447+00:00
ST-1158,ST-1903,37.490536,127.008049,37.487316,127.024895,API_ERROR,,,,http_status=429,2026-05-09T16:40:18.009237+00:00
ST-1158,ST-1900,37.490536,127.008049,37.498928,127.024727,OK,17.5,4.3,2092.0,,2026-05-09T16:40:18.096120+00:00
ST-1158,ST-1902,37.490536,127.008049,37.487682,127.024788,OK,14.3,6.2,2058.0,,2026-05-09T16:40:18.468202+00:00
ST-1158,ST-1904,37.490536,127.008049,37.491009,127.023521,OK,9.3,6.2,1836.0,,2026-05-09T16:40:18.469911+00:00
ST-1158,ST-1905,37.490536,127.008049,37.495934,127.021774,OK,9.4,2.8,1400.0,,2026-05-09T16:40:18.540837+00:00
ST-1158,ST-1906,37.490536,127.008049,37.495564,127.01918,OK,11.9,2.1,1174.0,,2026-05-09T16:40:19.201450+00:00
ST-1158,ST-1909,37.490536,127.008049,37.507351,127.008018,OK,13.8,8.8,2516.0,,2026-05-09T16:40:19.223551+00:00
ST-1158,ST-1910,37.490536,127.008049,37.505608,127.002159,OK,14.4,5.6,2114.0,,2026-05-09T16:40:19.322686+00:00
ST-1158,ST-1914,37.490536,127.008049,37.489918,126.992081,OK,13.4,3.7,2009.0,,2026-05-09T16:40:19.592389+00:00
ST-1158,ST-1918,37.490536,127.008049,37.480877,127.014526,API_ERROR,,,,http_status=429,2026-05-09T16:40:19.739419+00:00
ST-1158,ST-1920,37.490536,127.008049,37.503624,126.997322,API_ERROR,,,,http_status=429,2026-05-09T16:40:19.911274+00:00
ST-1158,ST-1916,37.490536,127.008049,37.494205,126.989357,OK,19.2,12.0,4006.0,,2026-05-09T16:40:19.932521+00:00
ST-1158,ST-1917,37.490536,127.008049,37.478203,127.008781,OK,9.3,4.4,1754.0,,2026-05-09T16:40:20.059642+00:00
