a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-103,ST-108,37.549061,127.057793,37.544582,127.044609,OK,17.3,6.5,2418.0,,2026-05-09T16:37:37.729243+00:00
ST-103,ST-107,37.549061,127.057793,37.541222,127.0438,OK,14.8,7.6,2473.0,,2026-05-09T16:37:37.793724+00:00
ST-103,ST-111,37.549061,127.057793,37.546307,127.049805,OK,13.2,1.2,1242.0,,2026-05-09T16:37:38.035540+00:00
ST-103,ST-112,37.549061,127.057793,37.54258,127.063309,OK,16.4,4.4,1375.0,,2026-05-09T16:37:38.281086+00:00
ST-103,ST-109,37.549061,127.057793,37.548561,127.045006,OK,10.7,1.9,1423.0,,2026-05-09T16:37:38.334545+00:00
ST-103,ST-2326,37.549061,127.057793,37.554539,127.043777,OK,7.9,3.6,2139.0,,2026-05-09T16:37:38.666401+00:00
ST-103,ST-1199,37.549061,127.057793,37.542816,127.042084,OK,15.9,7.2,2599.0,,2026-05-09T16:37:38.741269+00:00
ST-103,ST-2330,37.549061,127.057793,37.546959,127.047668,OK,15.7,1.2,1232.0,,2026-05-09T16:37:38.981006+00:00
ST-103,ST-2327,37.549061,127.057793,37.55658,127.043358,OK,5.2,3.6,1909.0,,2026-05-09T16:37:39.010691+00:00
ST-103,ST-2331,37.549061,127.057793,37.555141,127.071106,OK,15.8,6.1,2392.0,,2026-05-09T16:37:39.395227+00:00
ST-103,ST-2339,37.549061,127.057793,37.55653,127.039131,OK,11.5,5.5,2623.0,,2026-05-09T16:37:39.728874+00:00
ST-103,ST-2334,37.549061,127.057793,37.541958,127.04277,OK,19.0,7.2,2562.0,,2026-05-09T16:37:39.743533+00:00
ST-103,ST-2342,37.549061,127.057793,37.563709,127.05645,OK,21.1,16.2,6605.0,,2026-05-09T16:37:40.094009+00:00
ST-103,ST-242,37.549061,127.057793,37.563511,127.056725,OK,20.7,16.2,6578.0,,2026-05-09T16:37:40.412292+00:00
