a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1200,ST-1208,37.591713,127.013557,37.600288,127.013702,OK,7.2,5.8,1463.0,,2026-05-09T16:33:20.213268+00:00
ST-1200,ST-1206,37.591713,127.013557,37.592617,126.997932,OK,11.6,6.9,2094.0,,2026-05-09T16:33:20.952614+00:00
ST-1200,ST-1211,37.591713,127.013557,37.607105,127.0215,OK,15.8,7.1,2935.0,,2026-05-09T16:33:20.958915+00:00
ST-1200,ST-1202,37.591713,127.013557,37.586933,127.020683,OK,8.6,3.1,1135.0,,2026-05-09T16:33:21.005981+00:00
ST-1200,ST-1212,37.591713,127.013557,37.604752,127.022758,OK,16.9,9.5,2197.0,,2026-05-09T16:33:21.420791+00:00
ST-1200,ST-1215,37.591713,127.013557,37.579365,127.024361,OK,11.8,4.1,1723.0,,2026-05-09T16:33:21.560243+00:00
ST-1200,ST-1216,37.591713,127.013557,37.583881,127.017097,OK,10.1,2.2,1095.0,,2026-05-09T16:33:21.714010+00:00
ST-1200,ST-1217,37.591713,127.013557,37.60083,127.023552,OK,10.0,2.9,1737.0,,2026-05-09T16:33:22.121445+00:00
ST-1200,ST-1384,37.591713,127.013557,37.60479,127.010582,OK,14.5,7.2,2265.0,,2026-05-09T16:33:22.484625+00:00
ST-1200,ST-1317,37.591713,127.013557,37.590714,127.036194,OK,13.9,8.6,4513.0,,2026-05-09T16:33:22.630310+00:00
ST-1200,ST-1424,37.591713,127.013557,37.592968,127.002235,OK,7.3,4.5,1643.0,,2026-05-09T16:33:22.837956+00:00
ST-1200,ST-1386,37.591713,127.013557,37.603096,127.013504,OK,9.5,7.5,1862.0,,2026-05-09T16:33:22.881657+00:00
ST-1200,ST-1456,37.591713,127.013557,37.590172,127.004089,OK,8.1,3.9,1467.0,,2026-05-09T16:33:23.247177+00:00
ST-1200,ST-1454,37.591713,127.013557,37.585197,127.019669,OK,6.6,3.1,1043.0,,2026-05-09T16:33:23.369742+00:00
ST-1200,ST-1455,37.591713,127.013557,37.583752,127.02195,OK,10.0,3.1,1221.0,,2026-05-09T16:33:23.537412+00:00
ST-1200,ST-1457,37.591713,127.013557,37.593361,126.999092,OK,10.1,6.9,2159.0,,2026-05-09T16:33:23.889408+00:00
ST-1200,ST-1634,37.591713,127.013557,37.59454,126.995209,OK,11.4,8.2,2351.0,,2026-05-09T16:33:24.137843+00:00
ST-1200,ST-1636,37.591713,127.013557,37.586445,127.031601,OK,12.4,7.9,1997.0,,2026-05-09T16:33:24.614662+00:00
ST-1200,ST-1459,37.591713,127.013557,37.604298,127.022614,OK,16.4,9.5,2155.0,,2026-05-09T16:33:24.817545+00:00
ST-1200,ST-2234,37.591713,127.013557,37.598183,127.021179,OK,7.8,2.9,1445.0,,2026-05-09T16:33:25.198007+00:00
ST-1200,ST-2233,37.591713,127.013557,37.597099,127.022629,OK,7.1,2.9,1489.0,,2026-05-09T16:33:25.345297+00:00
ST-1200,ST-2221,37.591713,127.013557,37.609295,127.018478,OK,20.3,12.0,3310.0,,2026-05-09T16:33:25.401918+00:00
ST-1200,ST-2935,37.591713,127.013557,37.58625,127.030952,OK,10.9,7.9,1937.0,,2026-05-09T16:33:25.796838+00:00
ST-1200,ST-2235,37.591713,127.013557,37.602425,127.019981,OK,18.6,9.5,2310.0,,2026-05-09T16:33:25.941390+00:00
ST-1200,ST-2274,37.591713,127.013557,37.586552,127.033142,OK,16.3,8.6,2256.0,,2026-05-09T16:33:26.154375+00:00
ST-1200,ST-3378,37.591713,127.013557,37.602547,127.02562,OK,11.4,2.0,1915.0,,2026-05-09T16:33:26.610697+00:00
ST-1200,ST-560,37.591713,127.013557,37.607761,127.003281,OK,18.1,10.2,2745.0,,2026-05-09T16:33:26.672940+00:00
ST-1200,ST-559,37.591713,127.013557,37.60244,127.011688,OK,8.4,6.9,1929.0,,2026-05-09T16:33:26.781037+00:00
ST-1200,ST-562,37.591713,127.013557,37.607262,127.002838,OK,19.2,10.2,2732.0,,2026-05-09T16:33:27.037889+00:00
ST-1200,ST-563,37.591713,127.013557,37.603085,127.024788,OK,9.7,2.0,1851.0,,2026-05-09T16:33:27.097877+00:00
ST-1200,ST-826,37.591713,127.013557,37.594402,126.99231,OK,12.7,9.6,2743.0,,2026-05-09T16:33:27.355751+00:00
ST-1200,ST-825,37.591713,127.013557,37.588764,127.00631,OK,5.0,1.2,725.0,,2026-05-09T16:33:27.481318+00:00
ST-1200,ST-827,37.591713,127.013557,37.582592,127.028976,OK,19.3,10.8,2942.0,,2026-05-09T16:33:28.102198+00:00
ST-1200,ST-842,37.591713,127.013557,37.588448,127.006706,OK,7.0,1.2,721.0,,2026-05-09T16:33:28.103104+00:00
ST-1201,ST-1206,37.590393,127.017166,37.592617,126.997932,OK,13.5,6.9,2177.0,,2026-05-09T16:33:28.136295+00:00
ST-1201,ST-1208,37.590393,127.017166,37.600288,127.013702,OK,8.1,5.4,1209.0,,2026-05-09T16:33:28.501833+00:00
ST-1201,ST-1207,37.590393,127.017166,37.589249,127.007378,OK,6.8,2.2,1041.0,,2026-05-09T16:33:28.583526+00:00
ST-1201,ST-1215,37.590393,127.017166,37.579365,127.024361,OK,12.6,5.4,1832.0,,2026-05-09T16:33:29.086195+00:00
ST-1201,ST-1212,37.590393,127.017166,37.604752,127.022758,OK,11.0,2.0,2032.0,,2026-05-09T16:33:29.308408+00:00
ST-1201,ST-1216,37.590393,127.017166,37.583881,127.017097,OK,10.8,3.6,1204.0,,2026-05-09T16:33:29.447317+00:00
ST-1201,ST-1211,37.590393,127.017166,37.607105,127.0215,OK,17.8,7.1,3018.0,,2026-05-09T16:33:29.568385+00:00
ST-1201,ST-1317,37.590393,127.017166,37.590714,127.036194,OK,13.3,5.6,2306.0,,2026-05-09T16:33:29.893988+00:00
ST-1201,ST-1217,37.590393,127.017166,37.60083,127.023552,OK,13.9,2.0,2104.0,,2026-05-09T16:33:30.126623+00:00
ST-1201,ST-1386,37.590393,127.017166,37.603096,127.013504,OK,6.4,2.0,1458.0,,2026-05-09T16:33:30.237390+00:00
ST-1201,ST-1384,37.590393,127.017166,37.60479,127.010582,OK,13.4,6.4,1863.0,,2026-05-09T16:33:30.261007+00:00
ST-1201,ST-1455,37.590393,127.017166,37.583752,127.02195,OK,11.7,3.8,1280.0,,2026-05-09T16:33:30.563170+00:00
