a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1070,ST-1072,37.505932,127.10775,37.501652,127.128181,OK,19.1,11.9,3411.0,,2026-05-09T16:30:22.414487+00:00
ST-1070,ST-1078,37.505932,127.10775,37.508984,127.126595,OK,17.9,10.5,3067.0,,2026-05-09T16:30:22.416645+00:00
ST-1070,ST-1076,37.505932,127.10775,37.4921,127.117752,OK,8.9,3.9,1890.0,,2026-05-09T16:30:22.457204+00:00
ST-1070,ST-1079,37.505932,127.10775,37.506302,127.121399,OK,10.9,5.5,1587.0,,2026-05-09T16:30:22.767238+00:00
ST-1070,ST-1087,37.505932,127.10775,37.517288,127.114197,OK,8.9,4.1,2449.0,,2026-05-09T16:30:22.800092+00:00
ST-1070,ST-1086,37.505932,127.10775,37.51424,127.12307,OK,19.1,11.9,3198.0,,2026-05-09T16:30:23.060685+00:00
ST-1070,ST-1409,37.505932,127.10775,37.515862,127.107048,OK,11.7,2.9,1781.0,,2026-05-09T16:30:23.148296+00:00
ST-1070,ST-1088,37.505932,127.10775,37.511944,127.091217,OK,10.3,5.7,1887.0,,2026-05-09T16:30:23.432212+00:00
ST-1070,ST-1582,37.505932,127.10775,37.506561,127.096558,OK,11.8,2.0,1502.0,,2026-05-09T16:30:23.731200+00:00
ST-1070,ST-1590,37.505932,127.10775,37.506748,127.098831,OK,13.0,6.4,2288.0,,2026-05-09T16:30:23.741555+00:00
ST-1070,ST-1584,37.505932,127.10775,37.513962,127.100304,OK,12.2,6.3,1347.0,,2026-05-09T16:30:23.849464+00:00
ST-1070,ST-1685,37.505932,127.10775,37.48872,127.109825,API_ERROR,,,,http_status=429,2026-05-09T16:30:23.919572+00:00
ST-1070,ST-1705,37.505932,127.10775,37.516781,127.090492,API_ERROR,,,,http_status=429,2026-05-09T16:30:23.996569+00:00
ST-1070,ST-1706,37.505932,127.10775,37.501862,127.117233,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.073108+00:00
ST-1070,ST-1681,37.505932,127.10775,37.514992,127.106117,OK,10.0,2.9,1667.0,,2026-05-09T16:30:24.099603+00:00
ST-1070,ST-1719,37.505932,127.10775,37.516659,127.116257,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.148942+00:00
ST-1070,ST-1728,37.505932,127.10775,37.504711,127.087563,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.235297+00:00
ST-1070,ST-1729,37.505932,127.10775,37.502338,127.096443,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.256768+00:00
ST-1070,ST-1852,37.505932,127.10775,37.495537,127.107201,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.334107+00:00
ST-1070,ST-1857,37.505932,127.10775,37.507866,127.116989,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.493750+00:00
ST-1070,ST-1858,37.505932,127.10775,37.497414,127.096306,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.651565+00:00
ST-1070,ST-1793,37.505932,127.10775,37.50005,127.111511,OK,6.0,1.9,998.0,,2026-05-09T16:30:24.809920+00:00
ST-1070,ST-1859,37.505932,127.10775,37.502644,127.097397,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.823672+00:00
ST-1070,ST-1862,37.505932,127.10775,37.511295,127.086739,API_ERROR,,,,http_status=429,2026-05-09T16:30:24.977749+00:00
ST-1070,ST-1868,37.505932,127.10775,37.511009,127.101143,OK,11.2,3.5,1329.0,,2026-05-09T16:30:25.505805+00:00
ST-1070,ST-1867,37.505932,127.10775,37.507759,127.091293,OK,15.9,7.3,2280.0,,2026-05-09T16:30:25.554629+00:00
ST-1070,ST-1853,37.505932,127.10775,37.495693,127.123856,OK,15.9,5.8,2380.0,,2026-05-09T16:30:25.607939+00:00
ST-1070,ST-1869,37.505932,127.10775,37.494698,127.104645,OK,12.8,4.2,1892.0,,2026-05-09T16:30:26.096639+00:00
ST-1070,ST-1874,37.505932,127.10775,37.51202,127.128647,OK,13.4,5.0,3795.0,,2026-05-09T16:30:26.248354+00:00
ST-1070,ST-2409,37.505932,127.10775,37.495358,127.115692,API_ERROR,,,,http_status=429,2026-05-09T16:30:26.408181+00:00
ST-1070,ST-1876,37.505932,127.10775,37.50058,127.118843,OK,12.8,4.3,1654.0,,2026-05-09T16:30:26.690680+00:00
ST-1070,ST-1872,37.505932,127.10775,37.496124,127.124802,OK,11.9,6.2,2747.0,,2026-05-09T16:30:26.918585+00:00
ST-1070,ST-2410,37.505932,127.10775,37.494209,127.104927,OK,13.8,4.2,1900.0,,2026-05-09T16:30:27.029235+00:00
ST-1070,ST-2571,37.505932,127.10775,37.516338,127.099854,OK,12.7,7.3,1701.0,,2026-05-09T16:30:27.098125+00:00
ST-1070,ST-2577,37.505932,127.10775,37.505852,127.121941,OK,11.4,5.5,1637.0,,2026-05-09T16:30:27.350401+00:00
ST-1070,ST-2579,37.505932,127.10775,37.508015,127.125946,API_ERROR,,,,http_status=429,2026-05-09T16:30:27.496416+00:00
ST-1070,ST-2575,37.505932,127.10775,37.499176,127.125893,OK,17.3,11.2,3636.0,,2026-05-09T16:30:27.593722+00:00
ST-1070,ST-2578,37.505932,127.10775,37.502235,127.117287,OK,11.6,6.6,1881.0,,2026-05-09T16:30:27.740486+00:00
ST-1070,ST-2591,37.505932,127.10775,37.492016,127.117455,API_ERROR,,,,http_status=429,2026-05-09T16:30:27.751722+00:00
ST-1070,ST-2594,37.505932,127.10775,37.520809,127.103622,API_ERROR,,,,http_status=429,2026-05-09T16:30:27.892648+00:00
ST-1070,ST-2595,37.505932,127.10775,37.519886,127.10434,API_ERROR,,,,http_status=429,2026-05-09T16:30:27.917215+00:00
ST-1070,ST-2596,37.505932,127.10775,37.51614,127.103508,API_ERROR,,,,http_status=429,2026-05-09T16:30:28.054690+00:00
ST-1070,ST-2583,37.505932,127.10775,37.495792,127.108116,OK,11.9,3.2,1561.0,,2026-05-09T16:30:28.104593+00:00
ST-1070,ST-2606,37.505932,127.10775,37.492733,127.117989,API_ERROR,,,,http_status=429,2026-05-09T16:30:28.219699+00:00
ST-1070,ST-2601,37.505932,127.10775,37.519211,127.107941,OK,17.2,10.1,2563.0,,2026-05-09T16:30:28.271775+00:00
ST-1070,ST-2609,37.505932,127.10775,37.521484,127.100281,OK,21.9,8.4,2506.0,,2026-05-09T16:30:28.584850+00:00
ST-1070,ST-2757,37.505932,127.10775,37.50227,127.121956,API_ERROR,,,,http_status=429,2026-05-09T16:30:28.744106+00:00
ST-1070,ST-2608,37.505932,127.10775,37.520218,127.114571,OK,12.2,4.1,2651.0,,2026-05-09T16:30:28.868230+00:00
ST-1070,ST-2621,37.505932,127.10775,37.512756,127.126297,OK,10.0,6.0,3966.0,,2026-05-09T16:30:28.970719+00:00
ST-1070,ST-2797,37.505932,127.10775,37.516479,127.114983,OK,11.2,5.9,1729.0,,2026-05-09T16:30:29.110072+00:00
ST-1070,ST-2876,37.505932,127.10775,37.517078,127.112328,OK,7.5,4.1,2370.0,,2026-05-09T16:30:29.433149+00:00
ST-1070,ST-2957,37.505932,127.10775,37.48996,127.111961,OK,14.8,5.4,2473.0,,2026-05-09T16:30:29.436701+00:00
ST-1070,ST-2798,37.505932,127.10775,37.500027,127.118431,OK,11.4,4.3,1585.0,,2026-05-09T16:30:29.586285+00:00
ST-1070,ST-2991,37.505932,127.10775,37.516335,127.093803,API_ERROR,,,,http_status=429,2026-05-09T16:30:29.595862+00:00
ST-1070,ST-3153,37.505932,127.10775,37.497555,127.114944,API_ERROR,,,,http_status=429,2026-05-09T16:30:29.749618+00:00
ST-1070,ST-3162,37.505932,127.10775,37.503017,127.09214,API_ERROR,,,,http_status=429,2026-05-09T16:30:29.760131+00:00
ST-1070,ST-3230,37.505932,127.10775,37.494286,127.121704,API_ERROR,,,,http_status=429,2026-05-09T16:30:29.917638+00:00
ST-1070,ST-2986,37.505932,127.10775,37.497932,127.096756,OK,12.5,2.0,1552.0,,2026-05-09T16:30:30.064315+00:00
ST-1070,ST-3242,37.505932,127.10775,37.492538,127.119446,OK,8.1,3.9,1881.0,,2026-05-09T16:30:30.287093+00:00
ST-1070,ST-3214,37.505932,127.10775,37.512375,127.108223,OK,12.9,3.9,1288.0,,2026-05-09T16:30:30.430138+00:00
