a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1000,ST-1497,37.51038,126.866798,37.52668,126.876167,OK,18.4,11.4,3389.0,,2026-05-09T16:26:55.480201+00:00
ST-1000,ST-1503,37.51038,126.866798,37.524742,126.877663,OK,19.9,14.6,3625.0,,2026-05-09T16:26:55.878113+00:00
ST-1000,ST-1499,37.51038,126.866798,37.514721,126.8592,OK,17.0,0.9,949.0,,2026-05-09T16:26:56.324312+00:00
ST-1000,ST-1005,37.51038,126.866798,37.51395,126.856056,OK,16.2,5.2,1825.0,,2026-05-09T16:26:56.353605+00:00
ST-1000,ST-1731,37.51038,126.866798,37.524776,126.875481,OK,15.5,8.8,3364.0,,2026-05-09T16:26:56.523331+00:00
ST-1000,ST-1996,37.51038,126.866798,37.525715,126.864868,OK,9.6,6.8,2325.0,,2026-05-09T16:26:56.983706+00:00
ST-1000,ST-2005,37.51038,126.866798,37.518543,126.853882,OK,13.5,3.0,2278.0,,2026-05-09T16:26:57.001368+00:00
ST-1000,ST-2006,37.51038,126.866798,37.517338,126.877647,OK,21.4,3.2,1467.0,,2026-05-09T16:26:57.132228+00:00
ST-1000,ST-2007,37.51038,126.866798,37.517593,126.876556,API_ERROR,,,,http_status=429,2026-05-09T16:26:57.141834+00:00
ST-1000,ST-2011,37.51038,126.866798,37.517475,126.866325,OK,14.5,2.7,1295.0,,2026-05-09T16:26:57.358594+00:00
ST-1000,ST-2012,37.51038,126.866798,37.520069,126.868317,OK,15.1,6.9,2148.0,,2026-05-09T16:26:57.477904+00:00
ST-1000,ST-2395,37.51038,126.866798,37.516865,126.862961,API_ERROR,,,,http_status=429,2026-05-09T16:26:57.636945+00:00
ST-1000,ST-2017,37.51038,126.866798,37.525372,126.870926,OK,14.8,7.0,2781.0,,2026-05-09T16:26:57.776775+00:00
ST-1000,ST-2016,37.51038,126.866798,37.524902,126.869804,OK,13.0,7.0,2692.0,,2026-05-09T16:26:57.796632+00:00
ST-1000,ST-2398,37.51038,126.866798,37.515156,126.87249,OK,10.1,2.3,864.0,,2026-05-09T16:26:57.962349+00:00
ST-1000,ST-2761,37.51038,126.866798,37.52198,126.859283,API_ERROR,,,,http_status=429,2026-05-09T16:26:58.115366+00:00
ST-1000,ST-2762,37.51038,126.866798,37.521759,126.852287,API_ERROR,,,,http_status=429,2026-05-09T16:26:58.266795+00:00
ST-1000,ST-2759,37.51038,126.866798,37.521225,126.854996,OK,17.2,3.0,2375.0,,2026-05-09T16:26:58.598380+00:00
ST-1000,ST-2760,37.51038,126.866798,37.521095,126.873207,OK,14.1,6.4,1742.0,,2026-05-09T16:26:58.618812+00:00
ST-1000,ST-2764,37.51038,126.866798,37.523197,126.869301,OK,13.0,5.1,2095.0,,2026-05-09T16:26:58.627295+00:00
ST-1000,ST-2879,37.51038,126.866798,37.522141,126.878059,OK,18.2,6.4,2110.0,,2026-05-09T16:26:58.964910+00:00
ST-1000,ST-3059,37.51038,126.866798,37.526245,126.865784,OK,13.0,6.8,2340.0,,2026-05-09T16:26:59.017788+00:00
ST-1000,ST-3047,37.51038,126.866798,37.521641,126.865555,OK,9.1,5.1,1797.0,,2026-05-09T16:26:59.032767+00:00
ST-1000,ST-3104,37.51038,126.866798,37.526531,126.864456,OK,11.7,6.8,2386.0,,2026-05-09T16:26:59.331698+00:00
ST-1000,ST-311,37.51038,126.866798,37.523628,126.875244,OK,18.9,7.9,2340.0,,2026-05-09T16:26:59.668313+00:00
ST-1000,ST-312,37.51038,126.866798,37.523254,126.864906,OK,10.7,6.1,2080.0,,2026-05-09T16:26:59.689046+00:00
ST-1000,ST-313,37.51038,126.866798,37.521881,126.851753,OK,14.7,12.7,3820.0,,2026-05-09T16:26:59.966756+00:00
ST-1000,ST-315,37.51038,126.866798,37.51897,126.869965,OK,11.3,3.9,1283.0,,2026-05-09T16:26:59.989061+00:00
ST-1000,ST-317,37.51038,126.866798,37.509712,126.84417,OK,15.9,7.3,2561.0,,2026-05-09T16:27:00.370224+00:00
ST-1000,ST-3163,37.51038,126.866798,37.52367,126.875671,OK,16.3,7.9,2346.0,,2026-05-09T16:27:00.398999+00:00
ST-1000,ST-318,37.51038,126.866798,37.517059,126.848488,OK,20.0,3.0,2620.0,,2026-05-09T16:27:00.648224+00:00
ST-1000,ST-3304,37.51038,126.866798,37.526497,126.864067,OK,11.9,6.8,2411.0,,2026-05-09T16:27:00.774370+00:00
ST-1000,ST-428,37.51038,126.866798,37.517319,126.864319,OK,14.1,2.2,1122.0,,2026-05-09T16:27:00.998553+00:00
ST-1000,ST-993,37.51038,126.866798,37.521511,126.857384,OK,19.8,3.0,2567.0,,2026-05-09T16:27:01.037155+00:00
ST-1002,ST-1015,37.5299,126.876541,37.543842,126.882545,OK,10.3,8.9,2599.0,,2026-05-09T16:27:01.390071+00:00
ST-1000,ST-995,37.51038,126.866798,37.510597,126.857323,OK,14.9,2.8,1044.0,,2026-05-09T16:27:01.403641+00:00
ST-1002,ST-1350,37.5299,126.876541,37.537228,126.886612,API_ERROR,,,,http_status=429,2026-05-09T16:27:01.556968+00:00
ST-1002,ST-1006,37.5299,126.876541,37.536377,126.871513,OK,13.4,5.4,1618.0,,2026-05-09T16:27:01.606688+00:00
ST-1002,ST-1495,37.5299,126.876541,37.541142,126.876678,API_ERROR,,,,http_status=429,2026-05-09T16:27:01.765055+00:00
ST-1002,ST-1496,37.5299,126.876541,37.537869,126.881409,API_ERROR,,,,http_status=429,2026-05-09T16:27:01.919433+00:00
ST-1002,ST-1400,37.5299,126.876541,37.542183,126.863304,OK,19.8,12.6,3330.0,,2026-05-09T16:27:02.179618+00:00
ST-1002,ST-1736,37.5299,126.876541,37.543949,126.883461,OK,8.0,6.4,2293.0,,2026-05-09T16:27:02.264478+00:00
ST-1002,ST-1996,37.5299,126.876541,37.525715,126.864868,API_ERROR,,,,http_status=429,2026-05-09T16:27:02.422450+00:00
ST-1002,ST-1994,37.5299,126.876541,37.535667,126.881584,OK,8.0,2.9,1053.0,,2026-05-09T16:27:02.521670+00:00
ST-1002,ST-1017,37.5299,126.876541,37.536503,126.877747,OK,7.5,2.1,938.0,,2026-05-09T16:27:02.683203+00:00
ST-1002,ST-2001,37.5299,126.876541,37.538376,126.863831,OK,19.5,11.7,2994.0,,2026-05-09T16:27:02.856289+00:00
ST-1002,ST-1999,37.5299,126.876541,37.546707,126.874573,OK,13.6,8.4,3270.0,,2026-05-09T16:27:03.052407+00:00
ST-1002,ST-2006,37.5299,126.876541,37.517338,126.877647,OK,22.2,9.1,2385.0,,2026-05-09T16:27:03.173111+00:00
ST-1002,ST-2002,37.5299,126.876541,37.538742,126.885681,OK,9.9,3.8,1561.0,,2026-05-09T16:27:03.280141+00:00
ST-1002,ST-2011,37.5299,126.876541,37.517475,126.866325,API_ERROR,,,,http_status=429,2026-05-09T16:27:03.328244+00:00
ST-1002,ST-2012,37.5299,126.876541,37.520069,126.868317,API_ERROR,,,,http_status=429,2026-05-09T16:27:03.440747+00:00
ST-1002,ST-2016,37.5299,126.876541,37.524902,126.869804,API_ERROR,,,,http_status=429,2026-05-09T16:27:03.483551+00:00
ST-1002,ST-2017,37.5299,126.876541,37.525372,126.870926,API_ERROR,,,,http_status=429,2026-05-09T16:27:03.514535+00:00
ST-1002,ST-2395,37.5299,126.876541,37.516865,126.862961,API_ERROR,,,,http_status=429,2026-05-09T16:27:03.656168+00:00
ST-1002,ST-2396,37.5299,126.876541,37.515842,126.864113,API_ERROR,,,,http_status=429,2026-05-09T16:27:03.672250+00:00
ST-1002,ST-2397,37.5299,126.876541,37.514664,126.871941,OK,18.1,10.9,2904.0,,2026-05-09T16:27:04.336567+00:00
ST-1002,ST-2007,37.5299,126.876541,37.517593,126.876556,OK,19.3,9.1,2374.0,,2026-05-09T16:27:04.357060+00:00
ST-1002,ST-2760,37.5299,126.876541,37.521095,126.873207,OK,12.2,6.5,1378.0,,2026-05-09T16:27:04.991219+00:00
ST-1002,ST-2398,37.5299,126.876541,37.515156,126.87249,OK,17.5,10.9,2870.0,,2026-05-09T16:27:05.029771+00:00
ST-1002,ST-2761,37.5299,126.876541,37.52198,126.859283,OK,15.7,8.0,2588.0,,2026-05-09T16:27:05.759562+00:00
ST-1002,ST-2764,37.5299,126.876541,37.523197,126.869301,OK,12.6,2.0,1278.0,,2026-05-09T16:27:06.364494+00:00
ST-1002,ST-2773,37.5299,126.876541,37.539688,126.874985,OK,16.2,2.1,1358.0,,2026-05-09T16:27:06.370359+00:00
ST-1002,ST-2763,37.5299,126.876541,37.514069,126.869987,OK,19.4,10.0,4035.0,,2026-05-09T16:27:06.390278+00:00
ST-1002,ST-2774,37.5299,126.876541,37.536846,126.88475,API_ERROR,,,,http_status=429,2026-05-09T16:27:06.528395+00:00
ST-1002,ST-2879,37.5299,126.876541,37.522141,126.878059,API_ERROR,,,,http_status=429,2026-05-09T16:27:06.539482+00:00
ST-1002,ST-2844,37.5299,126.876541,37.533157,126.884087,OK,11.1,2.9,1404.0,,2026-05-09T16:27:06.959477+00:00
ST-1002,ST-308,37.5299,126.876541,37.546848,126.872772,API_ERROR,,,,http_status=429,2026-05-09T16:27:07.116294+00:00
ST-1002,ST-3047,37.5299,126.876541,37.521641,126.865555,OK,15.7,6.1,2149.0,,2026-05-09T16:27:07.169528+00:00
ST-1002,ST-3059,37.5299,126.876541,37.526245,126.865784,OK,12.7,2.3,1385.0,,2026-05-09T16:27:07.249516+00:00
ST-1002,ST-309,37.5299,126.876541,37.532803,126.86393,API_ERROR,,,,http_status=429,2026-05-09T16:27:07.271431+00:00
ST-1002,ST-310,37.5299,126.876541,37.532543,126.868729,OK,11.2,5.4,1491.0,,2026-05-09T16:27:07.793086+00:00
ST-1002,ST-3104,37.5299,126.876541,37.526531,126.864456,OK,16.2,4.6,1938.0,,2026-05-09T16:27:08.049220+00:00
ST-1002,ST-315,37.5299,126.876541,37.51897,126.869965,API_ERROR,,,,http_status=429,2026-05-09T16:27:08.205028+00:00
ST-1002,ST-3304,37.5299,126.876541,37.526497,126.864067,API_ERROR,,,,http_status=429,2026-05-09T16:27:08.360448+00:00
ST-1002,ST-312,37.5299,126.876541,37.523254,126.864906,OK,13.1,4.6,1844.0,,2026-05-09T16:27:08.442991+00:00
ST-1002,ST-3407,37.5299,126.876541,37.544704,126.882515,OK,12.8,8.9,2674.0,,2026-05-09T16:27:08.720190+00:00
ST-1002,ST-311,37.5299,126.876541,37.523628,126.875244,OK,10.2,4.6,1048.0,,2026-05-09T16:27:08.772756+00:00
ST-1002,ST-428,37.5299,126.876541,37.517319,126.864319,OK,15.7,5.4,2137.0,,2026-05-09T16:27:09.059009+00:00
ST-1002,ST-993,37.5299,126.876541,37.521511,126.857384,OK,17.1,8.0,2635.0,,2026-05-09T16:27:09.151353+00:00
ST-1002,ST-431,37.5299,126.876541,37.531097,126.864029,OK,14.9,8.3,1989.0,,2026-05-09T16:27:09.356889+00:00
ST-1004,ST-1008,37.514099,126.831001,37.522312,126.849045,API_ERROR,,,,http_status=429,2026-05-09T16:27:09.527952+00:00
ST-1002,ST-997,37.5299,126.876541,37.53439,126.869598,OK,10.9,5.4,1478.0,,2026-05-09T16:27:09.666520+00:00
ST-1004,ST-1014,37.514099,126.831001,37.5089,126.842682,API_ERROR,,,,http_status=429,2026-05-09T16:27:09.689009+00:00
ST-1004,ST-1007,37.514099,126.831001,37.52219,126.8367,OK,13.8,6.2,1675.0,,2026-05-09T16:27:09.789656+00:00
ST-1004,ST-1016,37.514099,126.831001,37.522282,126.839699,API_ERROR,,,,http_status=429,2026-05-09T16:27:09.815777+00:00
ST-1004,ST-1500,37.514099,126.831001,37.524071,126.8386,API_ERROR,,,,http_status=429,2026-05-09T16:27:09.856527+00:00
ST-1004,ST-1501,37.514099,126.831001,37.506821,126.844299,API_ERROR,,,,http_status=429,2026-05-09T16:27:09.984241+00:00
ST-1004,ST-2003,37.514099,126.831001,37.529888,126.835007,API_ERROR,,,,http_status=429,2026-05-09T16:27:10.014310+00:00
ST-1004,ST-1993,37.514099,126.831001,37.505745,126.836311,OK,18.0,6.2,2170.0,,2026-05-09T16:27:10.453825+00:00
ST-1004,ST-2768,37.514099,126.831001,37.520111,126.844749,OK,8.6,5.6,1544.0,,2026-05-09T16:27:10.654946+00:00
ST-1004,ST-2770,37.514099,126.831001,37.520916,126.840958,OK,11.8,4.8,1536.0,,2026-05-09T16:27:10.773219+00:00
ST-1004,ST-2771,37.514099,126.831001,37.517796,126.841614,OK,6.2,4.8,1222.0,,2026-05-09T16:27:11.006022+00:00
ST-1004,ST-3048,37.514099,126.831001,37.50922,126.837158,OK,9.8,4.7,1389.0,,2026-05-09T16:27:11.135853+00:00
ST-1004,ST-2767,37.514099,126.831001,37.528938,126.833122,OK,13.9,12.3,2531.0,,2026-05-09T16:27:11.431113+00:00
ST-1004,ST-317,37.514099,126.831001,37.509712,126.84417,OK,12.2,5.8,1921.0,,2026-05-09T16:27:11.503917+00:00
ST-1004,ST-316,37.514099,126.831001,37.511585,126.84156,OK,13.8,4.6,1364.0,,2026-05-09T16:27:11.654810+00:00
ST-1004,ST-319,37.514099,126.831001,37.516998,126.838318,API_ERROR,,,,http_status=429,2026-05-09T16:27:11.660751+00:00
ST-1004,ST-3224,37.514099,126.831001,37.510612,126.842613,OK,10.1,5.8,1816.0,,2026-05-09T16:27:12.019737+00:00
ST-1004,ST-3215,37.514099,126.831001,37.523994,126.842133,OK,17.9,7.7,2113.0,,2026-05-09T16:27:12.267247+00:00
ST-1005,ST-1007,37.51395,126.856056,37.52219,126.8367,OK,16.1,9.7,2830.0,,2026-05-09T16:27:12.411939+00:00
ST-1005,ST-1014,37.51395,126.856056,37.5089,126.842682,API_ERROR,,,,http_status=429,2026-05-09T16:27:12.580519+00:00
ST-1005,ST-1016,37.51395,126.856056,37.522282,126.839699,API_ERROR,,,,http_status=429,2026-05-09T16:27:12.732610+00:00
ST-1004,ST-318,37.514099,126.831001,37.517059,126.848488,OK,14.2,5.6,1907.0,,2026-05-09T16:27:12.748607+00:00
ST-1005,ST-1500,37.51395,126.856056,37.524071,126.8386,OK,21.9,12.5,4372.0,,2026-05-09T16:27:13.108512+00:00
ST-1005,ST-1398,37.51395,126.856056,37.51223,126.835785,OK,10.7,6.9,2381.0,,2026-05-09T16:27:13.372577+00:00
ST-1005,ST-1993,37.51395,126.856056,37.505745,126.836311,API_ERROR,,,,http_status=429,2026-05-09T16:27:13.529914+00:00
ST-1005,ST-1996,37.51395,126.856056,37.525715,126.864868,API_ERROR,,,,http_status=429,2026-05-09T16:27:13.688630+00:00
ST-1005,ST-1008,37.51395,126.856056,37.522312,126.849045,OK,9.5,3.4,1279.0,,2026-05-09T16:27:13.723860+00:00
ST-1005,ST-1501,37.51395,126.856056,37.506821,126.844299,OK,9.9,3.3,1576.0,,2026-05-09T16:27:13.745582+00:00
ST-1005,ST-2006,37.51395,126.856056,37.517338,126.877647,OK,21.1,12.2,3430.0,,2026-05-09T16:27:14.002529+00:00
ST-1005,ST-2007,37.51395,126.856056,37.517593,126.876556,OK,13.8,4.3,2050.0,,2026-05-09T16:27:14.362407+00:00
ST-1005,ST-2012,37.51395,126.856056,37.520069,126.868317,OK,8.5,6.3,2020.0,,2026-05-09T16:27:14.376478+00:00
ST-1005,ST-2014,37.51395,126.856056,37.512287,126.86528,OK,8.8,3.6,1246.0,,2026-05-09T16:27:14.710776+00:00
ST-1005,ST-2013,37.51395,126.856056,37.507904,126.862648,OK,7.5,3.2,1153.0,,2026-05-09T16:27:14.972698+00:00
ST-1005,ST-2016,37.51395,126.856056,37.524902,126.869804,OK,12.0,4.1,2160.0,,2026-05-09T16:27:15.061839+00:00
ST-1005,ST-2011,37.51395,126.856056,37.517475,126.866325,OK,7.9,2.1,1167.0,,2026-05-09T16:27:15.076405+00:00
ST-1005,ST-2396,37.51395,126.856056,37.515842,126.864113,API_ERROR,,,,http_status=429,2026-05-09T16:27:15.221114+00:00
ST-1005,ST-2397,37.51395,126.856056,37.514664,126.871941,API_ERROR,,,,http_status=429,2026-05-09T16:27:15.237642+00:00
ST-1005,ST-2017,37.51395,126.856056,37.525372,126.870926,OK,12.1,4.1,2189.0,,2026-05-09T16:27:15.335368+00:00
ST-1005,ST-2398,37.51395,126.856056,37.515156,126.87249,API_ERROR,,,,http_status=429,2026-05-09T16:27:15.372947+00:00
ST-1005,ST-2692,37.51395,126.856056,37.51292,126.866798,API_ERROR,,,,http_status=429,2026-05-09T16:27:15.399901+00:00
ST-1005,ST-2759,37.51395,126.856056,37.521225,126.854996,OK,8.0,2.0,900.0,,2026-05-09T16:27:15.965084+00:00
ST-1005,ST-2761,37.51395,126.856056,37.52198,126.859283,OK,9.3,3.5,1470.0,,2026-05-09T16:27:16.035954+00:00
ST-1005,ST-2762,37.51395,126.856056,37.521759,126.852287,API_ERROR,,,,http_status=429,2026-05-09T16:27:16.121509+00:00
ST-1005,ST-2763,37.51395,126.856056,37.514069,126.869987,API_ERROR,,,,http_status=429,2026-05-09T16:27:16.192675+00:00
ST-1005,ST-2764,37.51395,126.856056,37.523197,126.869301,API_ERROR,,,,http_status=429,2026-05-09T16:27:16.296647+00:00
ST-1005,ST-2768,37.51395,126.856056,37.520111,126.844749,API_ERROR,,,,http_status=429,2026-05-09T16:27:16.346117+00:00
ST-1005,ST-2770,37.51395,126.856056,37.520916,126.840958,API_ERROR,,,,http_status=429,2026-05-09T16:27:16.455665+00:00
ST-1005,ST-2771,37.51395,126.856056,37.517796,126.841614,OK,9.5,6.4,2112.0,,2026-05-09T16:27:16.694795+00:00
ST-1005,ST-2760,37.51395,126.856056,37.521095,126.873207,OK,9.3,5.7,1921.0,,2026-05-09T16:27:16.720943+00:00
ST-1005,ST-2961,37.51395,126.856056,37.511742,126.873833,OK,12.5,6.3,2285.0,,2026-05-09T16:27:16.802124+00:00
ST-1005,ST-3059,37.51395,126.856056,37.526245,126.865784,OK,15.7,10.1,2555.0,,2026-05-09T16:27:17.147005+00:00
ST-1005,ST-3047,37.51395,126.856056,37.521641,126.865555,OK,12.0,7.6,2634.0,,2026-05-09T16:27:17.336421+00:00
