a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1320,ST-1539,37.522697,126.885681,37.532101,126.89444,OK,12.3,8.0,1682.0,,2026-05-09T16:24:14.233712+00:00
ST-1320,ST-1323,37.522697,126.885681,37.507931,126.895233,OK,18.3,9.0,2986.0,,2026-05-09T16:24:14.588589+00:00
ST-1320,ST-1353,37.522697,126.885681,37.513229,126.904465,OK,19.6,6.8,2507.0,,2026-05-09T16:24:14.625652+00:00
ST-1320,ST-1649,37.522697,126.885681,37.522518,126.907219,OK,12.3,3.0,2219.0,,2026-05-09T16:24:14.936176+00:00
ST-1320,ST-1650,37.522697,126.885681,37.518211,126.902229,OK,11.9,7.2,1796.0,,2026-05-09T16:24:15.464743+00:00
ST-1320,ST-1677,37.522697,126.885681,37.528099,126.893387,OK,10.1,5.6,1258.0,,2026-05-09T16:24:15.610455+00:00
ST-1320,ST-1653,37.522697,126.885681,37.525768,126.905739,OK,14.3,10.8,2803.0,,2026-05-09T16:24:16.064543+00:00
ST-1320,ST-1698,37.522697,126.885681,37.531509,126.897827,OK,13.5,10.2,2102.0,,2026-05-09T16:24:16.125786+00:00
ST-1320,ST-1699,37.522697,126.885681,37.51413,126.899391,OK,13.0,10.4,2816.0,,2026-05-09T16:24:16.291722+00:00
ST-1320,ST-1973,37.522697,126.885681,37.52869,126.903862,OK,14.5,9.5,2710.0,,2026-05-09T16:24:16.656232+00:00
ST-1320,ST-1972,37.522697,126.885681,37.530735,126.89917,OK,15.3,10.2,2243.0,,2026-05-09T16:24:16.793997+00:00
ST-1320,ST-1968,37.522697,126.885681,37.526302,126.90538,OK,13.9,10.0,2572.0,,2026-05-09T16:24:16.850530+00:00
ST-1320,ST-1977,37.522697,126.885681,37.517071,126.899086,OK,8.4,5.9,1771.0,,2026-05-09T16:24:17.369038+00:00
ST-1320,ST-1975,37.522697,126.885681,37.511242,126.898186,OK,16.0,9.0,2916.0,,2026-05-09T16:24:17.442727+00:00
ST-1320,ST-1985,37.522697,126.885681,37.512024,126.901054,OK,23.8,10.4,3038.0,,2026-05-09T16:24:17.510729+00:00
ST-1320,ST-1992,37.522697,126.885681,37.519333,126.895302,OK,10.0,5.4,1182.0,,2026-05-09T16:24:17.771217+00:00
ST-1320,ST-2564,37.522697,126.885681,37.512882,126.890266,OK,15.2,3.9,1966.0,,2026-05-09T16:24:17.915453+00:00
ST-1320,ST-2563,37.522697,126.885681,37.513748,126.888512,OK,12.0,2.2,1201.0,,2026-05-09T16:24:18.067302+00:00
ST-1320,ST-278,37.522697,126.885681,37.53846,126.894508,OK,17.1,10.2,3609.0,,2026-05-09T16:24:18.452088+00:00
ST-1320,ST-279,37.522697,126.885681,37.535873,126.892181,OK,18.8,8.0,2134.0,,2026-05-09T16:24:18.576110+00:00
ST-1320,ST-2807,37.522697,126.885681,37.527622,126.898636,API_ERROR,,,,http_status=429,2026-05-09T16:24:18.613462+00:00
ST-1320,ST-2811,37.522697,126.885681,37.534191,126.893013,API_ERROR,,,,http_status=429,2026-05-09T16:24:18.735852+00:00
ST-1320,ST-2815,37.522697,126.885681,37.518036,126.903648,API_ERROR,,,,http_status=429,2026-05-09T16:24:18.761721+00:00
ST-1320,ST-2806,37.522697,126.885681,37.526176,126.901978,OK,12.9,10.0,2564.0,,2026-05-09T16:24:18.838506+00:00
ST-1320,ST-282,37.522697,126.885681,37.528488,126.891647,API_ERROR,,,,http_status=429,2026-05-09T16:24:18.902749+00:00
ST-1320,ST-2822,37.522697,126.885681,37.523415,126.905403,OK,9.8,3.0,2115.0,,2026-05-09T16:24:19.483312+00:00
ST-1320,ST-287,37.522697,126.885681,37.526386,126.902756,OK,13.7,10.0,2516.0,,2026-05-09T16:24:19.588589+00:00
ST-1320,ST-285,37.522697,126.885681,37.516155,126.894615,OK,8.1,3.9,1476.0,,2026-05-09T16:24:19.738334+00:00
ST-1320,ST-288,37.522697,126.885681,37.525852,126.903282,OK,10.9,10.0,2444.0,,2026-05-09T16:24:20.243860+00:00
ST-1320,ST-2920,37.522697,126.885681,37.539726,126.890366,OK,21.2,16.2,3738.0,,2026-05-09T16:24:20.245789+00:00
ST-1320,ST-293,37.522697,126.885681,37.530079,126.905708,OK,15.8,10.6,3040.0,,2026-05-09T16:24:20.613651+00:00
ST-1320,ST-289,37.522697,126.885681,37.518738,126.895576,OK,9.7,5.4,1206.0,,2026-05-09T16:24:20.616399+00:00
ST-1320,ST-294,37.522697,126.885681,37.528263,126.896629,OK,14.2,10.4,2022.0,,2026-05-09T16:24:20.892223+00:00
ST-1320,ST-295,37.522697,126.885681,37.533421,126.902237,OK,17.3,13.3,2627.0,,2026-05-09T16:24:21.014460+00:00
ST-1320,ST-3011,37.522697,126.885681,37.529152,126.894478,OK,12.6,8.0,1819.0,,2026-05-09T16:24:21.126099+00:00
ST-1320,ST-304,37.522697,126.885681,37.509476,126.8993,OK,12.8,9.0,2696.0,,2026-05-09T16:24:21.232224+00:00
ST-1320,ST-3241,37.522697,126.885681,37.526684,126.900192,OK,9.9,9.0,2083.0,,2026-05-09T16:24:21.617323+00:00
ST-1320,ST-3187,37.522697,126.885681,37.53363,126.901459,OK,14.3,13.3,2581.0,,2026-05-09T16:24:21.696611+00:00
ST-1320,ST-3212,37.522697,126.885681,37.521954,126.895508,OK,6.7,2.4,1109.0,,2026-05-09T16:24:21.772494+00:00
ST-1320,ST-3322,37.522697,126.885681,37.524567,126.902,OK,13.9,10.0,2603.0,,2026-05-09T16:24:22.168978+00:00
ST-1320,ST-3313,37.522697,126.885681,37.515209,126.897629,OK,12.0,5.9,1966.0,,2026-05-09T16:24:22.337949+00:00
