a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1324,ST-1325,37.541515,126.979515,37.544079,126.972,OK,23.6,9.4,1947.0,,2026-05-09T16:22:36.733584+00:00
ST-1324,ST-1341,37.541515,126.979515,37.539001,126.961815,OK,33.6,16.4,3775.0,,2026-05-09T16:22:36.741279+00:00
ST-1324,ST-1342,37.541515,126.979515,37.541981,126.971542,OK,25.5,9.4,2051.0,,2026-05-09T16:22:37.018825+00:00
ST-1324,ST-1376,37.541515,126.979515,37.544647,126.972343,OK,23.9,7.6,1677.0,,2026-05-09T16:22:37.105325+00:00
ST-1324,ST-1443,37.541515,126.979515,37.52961,126.968872,OK,30.2,10.6,3772.0,,2026-05-09T16:22:37.180573+00:00
ST-1324,ST-1445,37.541515,126.979515,37.533798,126.98867,OK,26.9,8.7,2412.0,,2026-05-09T16:22:37.685678+00:00
ST-1324,ST-2172,37.541515,126.979515,37.534889,126.975624,OK,29.9,13.4,3075.0,,2026-05-09T16:22:37.844921+00:00
ST-1324,ST-2174,37.541515,126.979515,37.537399,126.968925,API_ERROR,,,,http_status=429,2026-05-09T16:22:38.011487+00:00
ST-1324,ST-2173,37.541515,126.979515,37.536079,126.973419,OK,27.3,12.2,2860.0,,2026-05-09T16:22:38.066508+00:00
ST-1324,ST-2178,37.541515,126.979515,37.538509,127.00148,API_ERROR,,,,http_status=429,2026-05-09T16:22:38.226967+00:00
ST-1324,ST-1615,37.541515,126.979515,37.5327,126.964378,OK,31.0,13.5,3914.0,,2026-05-09T16:22:38.475426+00:00
ST-1324,ST-2177,37.541515,126.979515,37.528416,126.96595,OK,33.0,18.0,3894.0,,2026-05-09T16:22:38.683388+00:00
ST-1324,ST-2446,37.541515,126.979515,37.5303,126.991379,API_ERROR,,,,http_status=429,2026-05-09T16:22:38.851485+00:00
ST-1324,ST-2190,37.541515,126.979515,37.551548,126.97686,OK,12.0,1.2,1143.0,,2026-05-09T16:22:38.866443+00:00
ST-1324,ST-2451,37.541515,126.979515,37.535286,126.974083,API_ERROR,,,,http_status=429,2026-05-09T16:22:39.033342+00:00
ST-1324,ST-2453,37.541515,126.979515,37.534531,126.996193,API_ERROR,,,,http_status=429,2026-05-09T16:22:39.209862+00:00
ST-1324,ST-2182,37.541515,126.979515,37.534409,126.986893,OK,23.8,8.7,2304.0,,2026-05-09T16:22:39.541913+00:00
ST-1324,ST-2447,37.541515,126.979515,37.532482,126.964119,OK,31.2,13.5,3901.0,,2026-05-09T16:22:39.555888+00:00
ST-1324,ST-2455,37.541515,126.979515,37.538513,126.963554,OK,33.0,13.1,3501.0,,2026-05-09T16:22:39.880443+00:00
ST-1324,ST-2924,37.541515,126.979515,37.527035,126.966179,OK,34.2,18.0,3940.0,,2026-05-09T16:22:39.989321+00:00
ST-1324,ST-3054,37.541515,126.979515,37.552406,126.982018,OK,17.8,1.2,1425.0,,2026-05-09T16:22:40.139650+00:00
ST-1324,ST-3080,37.541515,126.979515,37.537861,126.965652,API_ERROR,,,,http_status=429,2026-05-09T16:22:40.143094+00:00
ST-1324,ST-3056,37.541515,126.979515,37.53439,126.994972,OK,31.9,5.8,2379.0,,2026-05-09T16:22:40.204284+00:00
ST-1324,ST-3082,37.541515,126.979515,37.547337,126.970383,API_ERROR,,,,http_status=429,2026-05-09T16:22:40.293457+00:00
ST-1324,ST-3159,37.541515,126.979515,37.539303,126.970505,API_ERROR,,,,http_status=429,2026-05-09T16:22:40.360805+00:00
