a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1023,ST-1480,37.645851,126.923798,37.643185,126.915092,OK,8.6,2.5,860.0,,2026-05-09T16:19:08.731061+00:00
ST-1023,ST-1027,37.645851,126.923798,37.637222,126.933304,OK,14.8,9.0,3334.0,,2026-05-09T16:19:08.994887+00:00
ST-1023,ST-1031,37.645851,126.923798,37.63414,126.932343,OK,13.7,10.3,3596.0,,2026-05-09T16:19:09.015023+00:00
ST-1023,ST-1481,37.645851,126.923798,37.638252,126.919456,OK,13.3,8.1,1455.0,,2026-05-09T16:19:09.044508+00:00
ST-1023,ST-1490,37.645851,126.923798,37.643394,126.932137,OK,14.4,3.0,1205.0,,2026-05-09T16:19:09.299719+00:00
ST-1023,ST-2245,37.645851,126.923798,37.633102,126.931503,OK,13.6,11.1,3712.0,,2026-05-09T16:19:09.748613+00:00
ST-1023,ST-1483,37.645851,126.923798,37.639259,126.918907,OK,8.7,4.0,995.0,,2026-05-09T16:19:09.854617+00:00
ST-1023,ST-2261,37.645851,126.923798,37.630287,126.919563,OK,16.3,13.7,2249.0,,2026-05-09T16:19:10.059344+00:00
ST-1023,ST-2263,37.645851,126.923798,37.631409,126.925407,OK,19.1,13.7,2745.0,,2026-05-09T16:19:10.158461+00:00
ST-1023,ST-2241,37.645851,126.923798,37.637348,126.935844,OK,13.7,9.0,3354.0,,2026-05-09T16:19:10.432775+00:00
ST-1023,ST-2781,37.645851,126.923798,37.633907,126.931778,OK,13.5,10.3,3621.0,,2026-05-09T16:19:10.752704+00:00
ST-1023,ST-3058,37.645851,126.923798,37.634701,126.917358,OK,13.4,8.1,1561.0,,2026-05-09T16:19:10.864657+00:00
ST-1023,ST-3126,37.645851,126.923798,37.634068,126.925392,OK,16.4,10.2,2081.0,,2026-05-09T16:19:11.179402+00:00
ST-1023,ST-2780,37.645851,126.923798,37.629627,126.930115,OK,19.5,14.1,4489.0,,2026-05-09T16:19:11.380349+00:00
ST-1023,ST-453,37.645851,126.923798,37.636234,126.918999,OK,10.2,8.1,1386.0,,2026-05-09T16:19:11.471016+00:00
ST-1023,ST-469,37.645851,126.923798,37.630016,126.919029,OK,15.9,13.7,2268.0,,2026-05-09T16:19:11.475923+00:00
ST-1024,ST-1027,37.644684,126.918457,37.637222,126.933304,OK,15.5,9.9,3604.0,,2026-05-09T16:19:12.069917+00:00
ST-1024,ST-1028,37.644684,126.918457,37.644081,126.929283,OK,14.0,5.0,1668.0,,2026-05-09T16:19:12.173447+00:00
ST-1024,ST-1031,37.644684,126.918457,37.63414,126.932343,OK,14.4,11.2,3866.0,,2026-05-09T16:19:12.379101+00:00
ST-1023,ST-476,37.645851,126.923798,37.641315,126.938042,OK,10.0,6.5,2623.0,,2026-05-09T16:19:12.660322+00:00
ST-1024,ST-1489,37.644684,126.918457,37.64209,126.929413,OK,17.4,5.0,1873.0,,2026-05-09T16:19:12.735381+00:00
ST-1024,ST-1481,37.644684,126.918457,37.638252,126.919456,OK,9.7,2.9,1054.0,,2026-05-09T16:19:12.778126+00:00
ST-1024,ST-1490,37.644684,126.918457,37.643394,126.932137,OK,18.3,5.0,1931.0,,2026-05-09T16:19:12.951115+00:00
ST-1024,ST-2245,37.644684,126.918457,37.633102,126.931503,OK,14.2,12.0,3982.0,,2026-05-09T16:19:13.122095+00:00
ST-1024,ST-2241,37.644684,126.918457,37.637348,126.935844,OK,14.3,9.9,3624.0,,2026-05-09T16:19:13.343633+00:00
ST-1024,ST-2263,37.644684,126.918457,37.631409,126.925407,OK,16.9,15.0,2802.0,,2026-05-09T16:19:13.422981+00:00
ST-1024,ST-2261,37.644684,126.918457,37.630287,126.919563,OK,16.8,12.5,2248.0,,2026-05-09T16:19:13.550926+00:00
ST-1024,ST-2780,37.644684,126.918457,37.629627,126.930115,OK,20.2,14.9,4759.0,,2026-05-09T16:19:14.108921+00:00
