a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-117,ST-130,37.575794,126.971451,37.579708,126.980858,OK,13.9,5.5,2115.0,,2026-05-09T16:15:06.635441+00:00
ST-117,ST-121,37.575794,126.971451,37.572559,126.978333,OK,8.9,2.0,1026.0,,2026-05-09T16:15:06.906893+00:00
ST-117,ST-132,37.575794,126.971451,37.570396,126.981789,OK,10.9,5.5,1674.0,,2026-05-09T16:15:07.264472+00:00
ST-117,ST-1373,37.575794,126.971451,37.56749,126.965919,OK,13.1,4.9,2001.0,,2026-05-09T16:15:07.429663+00:00
ST-117,ST-1374,37.575794,126.971451,37.568855,126.964561,OK,9.7,3.9,1919.0,,2026-05-09T16:15:07.846936+00:00
ST-117,ST-125,37.575794,126.971451,37.569962,126.976158,OK,9.5,3.3,1539.0,,2026-05-09T16:15:08.039142+00:00
ST-117,ST-143,37.575794,126.971451,37.573357,126.987465,OK,12.8,2.0,1656.0,,2026-05-09T16:15:08.479385+00:00
ST-117,ST-142,37.575794,126.971451,37.576241,126.98616,OK,8.7,2.0,1336.0,,2026-05-09T16:15:09.003699+00:00
ST-117,ST-145,37.575794,126.971451,37.568485,126.987885,OK,16.9,8.2,2270.0,,2026-05-09T16:15:09.169808+00:00
ST-117,ST-144,37.575794,126.971451,37.570396,126.98819,OK,15.6,8.2,2235.0,,2026-05-09T16:15:09.585954+00:00
ST-117,ST-150,37.575794,126.971451,37.570599,126.991791,OK,11.0,4.0,2457.0,,2026-05-09T16:15:10.573802+00:00
ST-117,ST-151,37.575794,126.971451,37.570194,126.991653,OK,12.2,4.0,2503.0,,2026-05-09T16:15:10.662103+00:00
ST-117,ST-167,37.575794,126.971451,37.584969,126.970413,OK,10.3,3.9,1251.0,,2026-05-09T16:15:10.987088+00:00
ST-117,ST-1611,37.575794,126.971451,37.569893,126.97757,OK,11.3,3.3,1537.0,,2026-05-09T16:15:11.143665+00:00
ST-117,ST-1607,37.575794,126.971451,37.570358,126.986382,OK,13.1,8.2,2078.0,,2026-05-09T16:15:11.156570+00:00
ST-117,ST-169,37.575794,126.971451,37.579388,126.984947,OK,12.7,2.0,1582.0,,2026-05-09T16:15:11.626585+00:00
ST-117,ST-170,37.575794,126.971451,37.579155,126.98896,OK,13.9,2.0,1693.0,,2026-05-09T16:15:11.686487+00:00
ST-117,ST-1759,37.575794,126.971451,37.587605,126.983597,OK,17.9,7.2,2515.0,,2026-05-09T16:15:12.041436+00:00
ST-117,ST-168,37.575794,126.971451,37.583416,126.985237,OK,12.4,4.9,2105.0,,2026-05-09T16:15:12.351336+00:00
ST-117,ST-180,37.575794,126.971451,37.574158,126.958519,OK,7.8,2.8,1438.0,,2026-05-09T16:15:12.724100+00:00
ST-117,ST-1756,37.575794,126.971451,37.58419,126.981697,OK,14.3,4.1,1776.0,,2026-05-09T16:15:12.974434+00:00
ST-117,ST-1807,37.575794,126.971451,37.572468,126.99189,OK,10.1,4.0,2418.0,,2026-05-09T16:15:13.737193+00:00
ST-117,ST-1804,37.575794,126.971451,37.575806,126.983391,OK,13.9,5.9,1408.0,,2026-05-09T16:15:13.778596+00:00
ST-117,ST-1823,37.575794,126.971451,37.575016,126.95755,OK,8.6,3.9,1757.0,,2026-05-09T16:15:14.250592+00:00
ST-117,ST-1805,37.575794,126.971451,37.570705,126.983238,OK,14.4,5.5,1806.0,,2026-05-09T16:15:14.344535+00:00
ST-117,ST-181,37.575794,126.971451,37.569248,126.980537,OK,9.8,5.8,2108.0,,2026-05-09T16:15:14.357166+00:00
ST-117,ST-1824,37.575794,126.971451,37.576668,126.955849,OK,9.2,3.9,1804.0,,2026-05-09T16:15:14.668086+00:00
ST-117,ST-183,37.575794,126.971451,37.572105,126.960953,OK,7.4,2.7,1195.0,,2026-05-09T16:15:15.044706+00:00
ST-117,ST-1829,37.575794,126.971451,37.570019,126.988808,OK,16.2,8.2,2288.0,,2026-05-09T16:15:15.123602+00:00
ST-117,ST-2472,37.575794,126.971451,37.572182,126.982834,OK,11.3,7.2,1558.0,,2026-05-09T16:15:15.300242+00:00
ST-117,ST-2513,37.575794,126.971451,37.568558,126.992119,OK,13.7,5.1,3129.0,,2026-05-09T16:15:15.503453+00:00
ST-117,ST-2565,37.575794,126.971451,37.57753,126.989128,OK,17.1,9.5,2329.0,,2026-05-09T16:15:15.966215+00:00
ST-117,ST-2623,37.575794,126.971451,37.575283,126.990623,OK,15.0,2.0,1744.0,,2026-05-09T16:15:16.247492+00:00
ST-117,ST-3075,37.575794,126.971451,37.569931,126.976433,OK,9.2,3.3,1527.0,,2026-05-09T16:15:16.866239+00:00
ST-117,ST-2923,37.575794,126.971451,37.568836,126.969551,OK,12.3,6.1,2086.0,,2026-05-09T16:15:17.001668+00:00
ST-117,ST-978,37.575794,126.971451,37.583603,126.972549,OK,11.6,2.0,1106.0,,2026-05-09T16:15:17.389190+00:00
ST-117,ST-336,37.575794,126.971451,37.569836,126.982658,OK,11.8,5.5,1748.0,,2026-05-09T16:15:17.743166+00:00
ST-117,ST-3090,37.575794,126.971451,37.575714,126.980507,OK,13.0,5.9,1502.0,,2026-05-09T16:15:17.915048+00:00
ST-118,ST-130,37.575615,126.972893,37.579708,126.980858,OK,11.8,5.5,2013.0,,2026-05-09T16:15:18.518982+00:00
ST-118,ST-132,37.575615,126.972893,37.570396,126.981789,OK,11.0,5.5,1689.0,,2026-05-09T16:15:18.524976+00:00
ST-117,ST-979,37.575794,126.971451,37.583515,126.979668,OK,11.1,4.1,1606.0,,2026-05-09T16:15:18.713523+00:00
ST-118,ST-1373,37.575615,126.972893,37.56749,126.965919,OK,13.5,3.8,1919.0,,2026-05-09T16:15:18.964487+00:00
ST-118,ST-1374,37.575615,126.972893,37.568855,126.964561,OK,10.5,4.3,2208.0,,2026-05-09T16:15:18.972773+00:00
ST-118,ST-142,37.575615,126.972893,37.576241,126.98616,OK,6.6,2.0,1211.0,,2026-05-09T16:15:19.492737+00:00
