a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-116,ST-126,37.56805,126.969231,37.568878,126.97747,OK,10.9,1.4,881.0,,2026-05-09T15:54:00.017600+00:00
ST-116,ST-134,37.56805,126.969231,37.568634,126.982315,OK,10.2,4.9,1654.0,,2026-05-09T15:54:00.681382+00:00
ST-116,ST-136,37.56805,126.969231,37.566223,126.983589,OK,13.2,4.9,1723.0,,2026-05-09T15:54:01.338976+00:00
ST-116,ST-137,37.56805,126.969231,37.565464,126.984138,OK,15.6,4.9,1821.0,,2026-05-09T15:54:02.846640+00:00
ST-116,ST-138,37.56805,126.969231,37.564476,126.986969,OK,16.0,11.7,2356.0,,2026-05-09T15:54:03.736039+00:00
ST-116,ST-140,37.56805,126.969231,37.561344,126.980507,OK,14.0,8.9,2416.0,,2026-05-09T15:54:04.390657+00:00
ST-116,ST-1436,37.56805,126.969231,37.554108,126.965408,OK,16.5,7.6,2393.0,,2026-05-09T15:54:05.324977+00:00
ST-116,ST-1437,37.56805,126.969231,37.5644,126.991432,OK,21.4,11.7,2642.0,,2026-05-09T15:54:05.966126+00:00
ST-116,ST-147,37.56805,126.969231,37.566383,126.987206,OK,13.9,9.6,2276.0,,2026-05-09T15:54:06.640161+00:00
ST-116,ST-148,37.56805,126.969231,37.56599,126.987793,OK,17.9,11.7,2405.0,,2026-05-09T15:54:07.561259+00:00
ST-116,ST-1668,37.56805,126.969231,37.566345,126.982292,OK,10.1,4.9,1690.0,,2026-05-09T15:54:08.160500+00:00
ST-116,ST-1670,37.56805,126.969231,37.556862,126.975616,OK,17.2,9.3,2836.0,,2026-05-09T15:54:09.132214+00:00
ST-116,ST-1761,37.56805,126.969231,37.559891,126.971497,OK,9.8,1.5,1102.0,,2026-05-09T15:54:10.531797+00:00
ST-116,ST-1768,37.56805,126.969231,37.556416,126.969193,OK,10.9,5.9,1703.0,,2026-05-09T15:54:11.513298+00:00
ST-116,ST-1771,37.56805,126.969231,37.560154,126.974106,OK,12.3,4.6,1652.0,,2026-05-09T15:54:12.171722+00:00
