a_id,b_id,a_lat,a_lon,b_lat,b_lon,transit_status,transit_total_min_1dp,transit_riding_min_1dp,transit_total_dist_m,api_detail,written_at_utc
ST-1093,ST-1097,37.598591,127.079819,37.591301,127.08033,OK,4.0,1.5,860.0,,2026-05-09T15:27:06.338806+00:00
ST-1093,ST-1098,37.598591,127.079819,37.588902,127.08728,OK,12.8,4.4,1539.0,,2026-05-09T15:27:07.794200+00:00
ST-1093,ST-1099,37.598591,127.079819,37.597321,127.089798,OK,11.8,4.6,1855.0,,2026-05-09T15:27:09.200118+00:00
ST-1093,ST-1334,37.598591,127.079819,37.592758,127.07267,OK,7.8,1.8,1152.0,,2026-05-09T15:27:09.725340+00:00
ST-1093,ST-1335,37.598591,127.079819,37.585655,127.07505,OK,7.7,5.8,1802.0,,2026-05-09T15:27:10.247143+00:00
ST-1093,ST-1346,37.598591,127.079819,37.607349,127.07859,OK,6.6,2.5,988.0,,2026-05-09T15:27:11.515894+00:00
ST-1093,ST-1380,37.598591,127.079819,37.595112,127.100327,OK,12.4,8.0,2730.0,,2026-05-09T15:27:11.981921+00:00
ST-1093,ST-1381,37.598591,127.079819,37.58976,127.093239,OK,15.2,9.2,2621.0,,2026-05-09T15:27:13.392302+00:00
ST-1093,ST-1451,37.598591,127.079819,37.59734,127.093086,OK,12.6,5.2,2412.0,,2026-05-09T15:27:14.718502+00:00
ST-1093,ST-2289,37.598591,127.079819,37.611477,127.077393,OK,10.6,3.8,1555.0,,2026-05-09T15:27:16.097901+00:00
ST-1093,ST-2290,37.598591,127.079819,37.609821,127.078133,OK,8.9,3.8,1717.0,,2026-05-09T15:27:16.539320+00:00
ST-1093,ST-2291,37.598591,127.079819,37.605202,127.078583,OK,7.6,2.5,948.0,,2026-05-09T15:27:17.282337+00:00
ST-1093,ST-2292,37.598591,127.079819,37.615353,127.078491,OK,9.2,5.4,1968.0,,2026-05-09T15:27:18.638963+00:00
ST-1093,ST-2299,37.598591,127.079819,37.598328,127.09227,OK,14.0,4.6,1966.0,,2026-05-09T15:27:19.942093+00:00
ST-1093,ST-2300,37.598591,127.079819,37.581055,127.082092,OK,8.0,7.3,2174.0,,2026-05-09T15:27:20.396945+00:00
ST-1093,ST-2301,37.598591,127.079819,37.581112,127.080101,OK,10.8,7.0,2195.0,,2026-05-09T15:27:20.830019+00:00
ST-1093,ST-2632,37.598591,127.079819,37.606411,127.094048,OK,10.6,3.7,1646.0,,2026-05-09T15:27:21.339310+00:00
ST-1093,ST-2633,37.598591,127.079819,37.610226,127.096283,OK,18.1,8.4,3016.0,,2026-05-09T15:27:21.897494+00:00
ST-1093,ST-2635,37.598591,127.079819,37.613216,127.077347,OK,7.4,4.4,1737.0,,2026-05-09T15:27:22.599272+00:00
ST-1093,ST-2636,37.598591,127.079819,37.598827,127.096634,OK,12.1,6.8,2743.0,,2026-05-09T15:27:24.050216+00:00
ST-1093,ST-2846,37.598591,127.079819,37.583332,127.08355,OK,12.3,5.2,1946.0,,2026-05-09T15:27:24.636417+00:00
ST-1093,ST-2860,37.598591,127.079819,37.600254,127.091713,OK,13.3,2.0,1189.0,,2026-05-09T15:27:25.460191+00:00
ST-1093,ST-2906,37.598591,127.079819,37.603043,127.100502,OK,18.2,10.9,3680.0,,2026-05-09T15:27:25.977769+00:00
ST-1093,ST-2921,37.598591,127.079819,37.597809,127.088448,OK,15.0,4.6,1972.0,,2026-05-09T15:27:27.370692+00:00
ST-1093,ST-2922,37.598591,127.079819,37.593544,127.08979,OK,8.5,4.1,1795.0,,2026-05-09T15:27:27.907340+00:00
ST-1093,ST-2952,37.598591,127.079819,37.604286,127.097366,OK,14.4,8.9,3476.0,,2026-05-09T15:27:28.426161+00:00
ST-1093,ST-2953,37.598591,127.079819,37.604462,127.097412,OK,15.2,8.9,3490.0,,2026-05-09T15:27:29.249498+00:00
ST-1093,ST-2969,37.598591,127.079819,37.586864,127.095322,OK,14.8,12.7,3895.0,,2026-05-09T15:27:29.859456+00:00
ST-1093,ST-3025,37.598591,127.079819,37.589737,127.094193,OK,15.5,9.2,2699.0,,2026-05-09T15:27:31.074180+00:00
ST-1093,ST-3168,37.598591,127.079819,37.603184,127.074135,OK,9.8,2.6,849.0,,2026-05-09T15:27:31.799844+00:00
ST-1093,ST-3233,37.598591,127.079819,37.582676,127.07766,OK,8.6,6.0,1945.0,,2026-05-09T15:27:33.170982+00:00
ST-1093,ST-558,37.598591,127.079819,37.614738,127.076363,OK,9.2,5.0,1947.0,,2026-05-09T15:27:33.904700+00:00
ST-1093,ST-561,37.598591,127.079819,37.600071,127.102333,OK,14.2,10.9,3662.0,,2026-05-09T15:27:35.237767+00:00
ST-1093,ST-568,37.598591,127.079819,37.599098,127.092949,OK,16.4,4.0,2076.0,,2026-05-09T15:27:36.606724+00:00
ST-1093,ST-570,37.598591,127.079819,37.610722,127.077477,OK,11.6,3.8,1622.0,,2026-05-09T15:27:36.996819+00:00
ST-1093,ST-589,37.598591,127.079819,37.58746,127.09597,OK,14.4,12.7,3974.0,,2026-05-09T15:27:37.717249+00:00
ST-1093,ST-595,37.598591,127.079819,37.58342,127.079926,OK,8.0,6.0,1809.0,,2026-05-09T15:27:38.987240+00:00
ST-1093,ST-847,37.598591,127.079819,37.611511,127.077888,OK,6.6,3.8,1528.0,,2026-05-09T15:27:39.367130+00:00
ST-1093,ST-855,37.598591,127.079819,37.606152,127.092598,OK,12.2,3.7,1703.0,,2026-05-09T15:27:40.764027+00:00
ST-1093,ST-856,37.598591,127.079819,37.606499,127.095451,OK,13.0,3.7,1768.0,,2026-05-09T15:27:42.054696+00:00
ST-1093,ST-912,37.598591,127.079819,37.592541,127.086739,OK,7.7,3.6,1670.0,,2026-05-09T15:27:42.564689+00:00
ST-1093,ST-942,37.598591,127.079819,37.586372,127.080071,OK,6.7,4.1,1405.0,,2026-05-09T15:27:43.074653+00:00
ST-1095,ST-1097,37.574028,127.080544,37.591301,127.08033,OK,8.8,5.3,2101.0,,2026-05-09T15:27:43.631604+00:00
ST-1095,ST-1098,37.574028,127.080544,37.588902,127.08728,OK,13.1,10.1,2357.0,,2026-05-09T15:27:44.134529+00:00
ST-1095,ST-1335,37.574028,127.080544,37.585655,127.07505,OK,11.9,7.0,2574.0,,2026-05-09T15:27:46.134225+00:00
ST-1095,ST-1452,37.574028,127.080544,37.579845,127.092766,OK,9.5,5.0,2060.0,,2026-05-09T15:27:46.603918+00:00
ST-1095,ST-2300,37.574028,127.080544,37.581055,127.082092,OK,7.2,1.4,893.0,,2026-05-09T15:27:46.989438+00:00
ST-1095,ST-2301,37.574028,127.080544,37.581112,127.080101,OK,3.2,0.8,808.0,,2026-05-09T15:27:47.471423+00:00
ST-1095,ST-2634,37.574028,127.080544,37.580322,127.094154,OK,11.2,5.0,2192.0,,2026-05-09T15:27:48.724870+00:00
ST-1095,ST-2846,37.574028,127.080544,37.583332,127.08355,OK,8.1,3.6,1362.0,,2026-05-09T15:27:49.977251+00:00
ST-1095,ST-2969,37.574028,127.080544,37.586864,127.095322,OK,10.9,7.1,2499.0,,2026-05-09T15:27:51.259849+00:00
ST-1095,ST-3233,37.574028,127.080544,37.582676,127.07766,OK,7.3,1.7,1211.0,,2026-05-09T15:27:52.557931+00:00
ST-1095,ST-573,37.574028,127.080544,37.577782,127.090187,OK,12.6,3.3,1644.0,,2026-05-09T15:27:53.872128+00:00
