기준년,시군구,공원종류별,상세 도시공원,공원수,중복,면적
yr,signgu,park_knd,dtl_city_park,park_cnt,dpcn,ar
2020,강남구,기타,기타,13,,1289.7
2020,강남구,도시공원,근린공원,60,,2143.5
2020,강남구,도시공원,도시자연공원구역,5,1,4065.7
2020,강남구,도시공원,문화공원,2,,38.4
2020,강남구,도시공원,소공원,16,,21.7
2020,강남구,도시공원,수변공원,2,,14.1
2020,강남구,도시공원,어린이공원,62,,99.5
2020,강남구,도시공원,역사공원,2,,96.1
2020,강동구,기타,기타,9,,542.2
2020,강동구,도시공원,근린공원,30,1,1753.9
2020,강동구,도시공원,도시자연공원구역,3,,758.2
2020,강동구,도시공원,문화공원,1,,0.8
2020,강동구,도시공원,소공원,16,,21.5
2020,강동구,도시공원,수변공원,3,,41.5
2020,강동구,도시공원,어린이공원,62,,134.0
2020,강동구,도시공원,역사공원,1,,110.2
2020,강북구,기타,기타,19,,155.9
2020,강북구,도시공원,근린공원,4,,1849.0
2020,강북구,도시공원,도시자연공원구역,1,1,412.4
2020,강북구,도시공원,문화공원,3,,22.6
2020,강북구,도시공원,소공원,12,,9.5
2020,강북구,도시공원,어린이공원,44,,76.2
2020,강북구,자연공원(국립),자연공원(국립),1,,11899.0
2020,강서구,기타,기타,12,,1084.4
2020,강서구,도시공원,가로공원,1,,2.6
2020,강서구,도시공원,근린공원,23,,2235.2
2020,강서구,도시공원,도시자연공원구역,5,,975.0
2020,강서구,도시공원,문화공원,6,,24.2
2020,강서구,도시공원,소공원,6,,5.9
2020,강서구,도시공원,어린이공원,122,,184.7
2020,관악구,기타,기타,12,,6.5
2020,관악구,도시공원,근린공원,5,2,1858.8
2020,관악구,도시공원,도시자연공원구역,3,1,10418.5
2020,관악구,도시공원,문화공원,1,,4.3
2020,관악구,도시공원,소공원,17,,22.6
2020,관악구,도시공원,수변공원,4,,33.5
2020,관악구,도시공원,어린이공원,71,,87.2
2020,광진구,기타,기타,17,1,465.8
2020,광진구,도시공원,근린공원,1,1,837.7
2020,광진구,도시공원,도시자연공원구역,1,,2097.5
2020,광진구,도시공원,소공원,9,,11.0
2020,광진구,도시공원,어린이공원,35,,39.0
2020,구로구,기타,기타,40,,321.7
2020,구로구,도시공원,가로공원,2,,7.2
2020,구로구,도시공원,근린공원,16,2,1205.4
2020,구로구,도시공원,도시자연공원구역,6,,2003.1
2020,구로구,도시공원,문화공원,3,,14.4
2020,구로구,도시공원,소공원,14,,23.5
2020,구로구,도시공원,어린이공원,26,,53.3
2020,구로구,도시공원,체육공원,1,,12.8
2020,금천구,기타,기타,8,,164.0
2020,금천구,도시공원,근린공원,2,1,335.8
2020,금천구,도시공원,도시자연공원구역,,1,2210.6
2020,금천구,도시공원,문화공원,2,,17.3
2020,금천구,도시공원,소공원,2,,5.2
2020,금천구,도시공원,어린이공원,41,,41.4
2020,노원구,기타,기타,52,,335.1
2020,노원구,도시공원,근린공원,26,1,1272.9
2020,노원구,도시공원,도시자연공원구역,4,,12798.8
2020,노원구,도시공원,문화공원,6,,89.1
2020,노원구,도시공원,소공원,6,,8.1
2020,노원구,도시공원,어린이공원,93,,170.6
2020,노원구,도시공원,체육공원,1,,67.1
2020,도봉구,기타,기타,28,,207.2
2020,도봉구,도시공원,근린공원,3,,755.1
