"행정구역별",2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"서울 종로구",135,76,73,3,-,58,56.6,54.1,61.5,4.4,-
"서울 중구",118,71,69,3,-,46,60.5,58.4,66.7,3.5,-
"서울 용산구",184,116,113,3,-,69,62.8,61.1,71.3,2.7,-
"서울 성동구",251,154,150,4,-,97,61.5,59.9,68.1,2.6,-
"서울 광진구",319,204,196,8,-,115,63.9,61.6,68.8,3.7,-
"서울 동대문구",329,185,179,7,-,144,56.2,54.2,61.2,3.6,-
"서울 중랑구",342,208,200,8,-,134,60.8,58.4,68.6,4.0,-
"서울 성북구",392,229,220,9,-,163,58.4,56.0,63.7,4.0,-
"서울 강북구",256,137,134,3,*,119,53.4,52.1,62.5,2.3,*
"서울 도봉구",269,160,154,6,-,109,59.4,57.3,68.6,3.6,-
"서울 노원구",430,251,243,8,-,179,58.3,56.4,65.6,3.3,-
"서울 은평구",404,247,241,6,-,157,61.2,59.6,69.7,2.6,-
"서울 서대문구",289,172,164,8,-,117,59.4,56.7,62.9,4.6,-
"서울 마포구",326,209,200,9,-,117,64.1,61.4,69.0,4.2,-
"서울 양천구",361,225,217,9,-,136,62.4,59.9,68.4,3.9,-
"서울 강서구",489,312,301,11,-,178,63.7,61.5,70.5,3.5,-
"서울 구로구",369,240,230,11,-,129,65.1,62.2,71.4,4.4,-
"서울 금천구",220,137,132,5,-,83,62.3,59.9,68.7,3.8,-
"서울 영등포구",356,243,234,9,-,114,68.0,65.6,73.8,3.5,-
"서울 동작구",349,220,213,7,-,129,63.1,61.0,70.0,3.3,-
"서울 관악구",465,284,268,16,-,181,61.1,57.6,65.1,5.7,-
"서울 서초구",343,206,200,6,-,137,60.1,58.5,67.1,2.7,-
"서울 강남구",463,284,273,11,-,180,61.2,58.9,66.8,3.7,-
"서울 송파구",554,352,343,9,-,203,63.5,61.8,71.8,2.5,-
"서울 강동구",431,263,253,10,-,168,61.1,58.8,68.7,3.8,-
"부산 중구",36,22,21,1,-,14,60.5,58.2,66.8,3.8,-
"부산 서구",94,53,51,2,-,41,56.4,54.0,64.9,4.1,-
"부산 동구",77,46,44,1,-,31,59.5,57.8,68.2,2.9,-
"부산 영도구",97,48,46,2,-,49,49.3,47.2,55.3,4.3,-
"부산 부산진구",331,196,188,8,-,135,59.2,56.8,66.3,4.0,-
"부산 동래구",234,131,126,5,-,103,56.1,54.0,63.2,3.7,-
"부산 남구",232,130,126,4,-,102,56.1,54.3,63.5,3.3,-
"부산 북구",232,136,132,4,-,97,58.5,56.7,66.0,3.1,-
"부산 해운대구",322,178,171,6,-,144,55.2,53.2,62.9,3.6,-
"부산 사하구",263,149,144,5,-,114,56.7,54.8,65.0,3.2,-
"부산 금정구",197,105,101,5,-,91,53.6,51.2,60.4,4.5,-
"부산 강서구",122,87,84,2,-,35,71.2,69.3,73.3,2.6,-
"부산 연제구",185,110,106,5,-,75,59.6,57.2,67.6,4.1,-
"부산 수영구",151,88,84,4,-,63,58.2,55.9,67.5,3.9,-
"부산 사상구",185,108,104,4,-,77,58.2,56.2,64.4,3.4,-
"부산 기장군",148,87,83,4,-,61,58.8,56.3,63.5,4.3,-
"대구 중구",87,56,54,2,-,31,64.6,62.2,70.3,3.6,-
"대구 동구",297,170,165,5,-,127,57.3,55.4,66.4,3.2,-
"대구 서구",149,81,77,4,-,68,54.6,52.0,61.7,4.7,-
"대구 남구",128,71,69,2,*,57,55.6,53.7,64.8,3.4,*
"대구 북구",376,219,214,6,-,157,58.3,56.9,64.4,2.5,-
"대구 수성구",345,191,185,5,-,155,55.2,53.7,62.2,2.7,-
"대구 달서구",473,273,265,8,-,200,57.8,56.1,63.8,2.9,-
"대구 달성군",222,139,135,4,-,83,62.8,61.1,66.7,2.7,-
"대구 군위군",20,15,15,0,*,4,77.5,76.3,83.1,1.5,*
"인천 중구",153,102,99,3,-,51,66.5,64.5,70.3,2.9,-
"인천 동구",52,33,31,2,-,19,63.2,60.0,67.3,5.0,-
"인천 연수구",363,230,222,9,-,132,63.6,61.1,65.7,3.9,-
"인천 남동구",434,275,263,12,-,159,63.3,60.5,68.4,4.5,-
"인천 부평구",445,285,269,16,-,160,64.1,60.5,68.1,5.6,-
"인천 계양구",249,160,154,7,-,89,64.3,61.7,68.8,4.1,-
"인천 서구",561,375,361,15,-,185,67.0,64.3,69.2,4.0,-
"인천 미추홀구",389,240,230,10,-,149,61.7,59.0,66.8,4.3,-
"인천 강화군",61,41,40,0,*,20,67.0,66.3,72.6,1.0,*
"인천 옹진군",15,12,12,0,*,3,79.3,79.0,82.4,0.3,*
