gu,factor,value,unit,source,year
강남구,population_total,545809,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강남구,area_km2,39.51,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강남구,population_density_per_km2,13814.5,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강남구,centroid_lat,37.487902,deg,frontend/public/seoul_gu_simple.geojson,2013
강남구,centroid_lon,127.075020,deg,frontend/public/seoul_gu_simple.geojson,2013
강남구,dist_to_cityhall_km,12.221,km,computed_from_centroid,2013
강남구,registered_foreigners_total,6058,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
강남구,registered_foreigners_ratio_pct,1.110,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
강동구,population_total,432168,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강동구,area_km2,24.58,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강동구,population_density_per_km2,17582.1,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강동구,centroid_lat,37.548510,deg,frontend/public/seoul_gu_simple.geojson,2013
강동구,centroid_lon,127.153334,deg,frontend/public/seoul_gu_simple.geojson,2013
강동구,dist_to_cityhall_km,15.590,km,computed_from_centroid,2013
강동구,registered_foreigners_total,4801,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
강동구,registered_foreigners_ratio_pct,1.111,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
강북구,population_total,321757,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강북구,area_km2,23.61,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강북구,population_density_per_km2,13628.0,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강북구,centroid_lat,37.642827,deg,frontend/public/seoul_gu_simple.geojson,2013
강북구,centroid_lon,127.012427,deg,frontend/public/seoul_gu_simple.geojson,2013
강북구,dist_to_cityhall_km,9.037,km,computed_from_centroid,2013
강북구,registered_foreigners_total,6539,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
강북구,registered_foreigners_ratio_pct,2.032,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
강서구,population_total,599501,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강서구,area_km2,41.43,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강서구,population_density_per_km2,14470.2,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
강서구,centroid_lat,37.557711,deg,frontend/public/seoul_gu_simple.geojson,2013
강서구,centroid_lon,126.818969,deg,frontend/public/seoul_gu_simple.geojson,2013
강서구,dist_to_cityhall_km,14.041,km,computed_from_centroid,2013
강서구,registered_foreigners_total,6508,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
강서구,registered_foreigners_ratio_pct,1.086,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
관악구,population_total,503900,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
관악구,area_km2,29.57,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
관악구,population_density_per_km2,17040.9,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
관악구,centroid_lat,37.464788,deg,frontend/public/seoul_gu_simple.geojson,2013
관악구,centroid_lon,126.945904,deg,frontend/public/seoul_gu_simple.geojson,2013
관악구,dist_to_cityhall_km,11.635,km,computed_from_centroid,2013
관악구,registered_foreigners_total,19189,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
관악구,registered_foreigners_ratio_pct,3.808,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
광진구,population_total,355352,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
