gu,value
종로구,46.06685952075244
중구,48.40181122491604
용산구,43.260848637836794
성동구,39.417709570849674
광진구,45.98288873897446
동대문구,45.00612687927249
중랑구,39.8953417259961
성북구,38.12124107084699
강북구,41.01841456056336
도봉구,33.38467818331652
노원구,32.66558400513454
은평구,35.47628144543425
서대문구,41.143942194102
마포구,43.655599016473474
양천구,28.32753602612338
강서구,41.69257448171351
구로구,36.54398207575793
금천구,47.79899889949945
영등포구,45.13242764189889
동작구,43.28427843216312
관악구,58.15111225525085
서초구,31.21716840084857
강남구,35.025382953435866
송파구,33.50048727302599
강동구,33.750752434801846
