자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-53756,2025.12.1 0:05,2184,구암초등학교 버스정류장,0,2025.12.1 0:08,2187,현대시장사거리,0,3,370.0,1995,M,내국인,ST-1702,ST-2371,일반자전거
SPB-39467,2025.12.1 0:09,2115,관악구시설관리공단,0,2025.12.1 0:11,2110,조원동 미성아파트,0,1,0.0,1986,\N,내국인,ST-883,ST-950,일반자전거
SPB-43626,2025.12.1 0:05,2185,대학동 고시촌,0,2025.12.1 0:20,2185,대학동 고시촌,0,14,463.65,1992,\N,내국인,ST-1757,ST-1757,일반자전거
SPB-72704,2025.12.1 0:16,2190,도원맨션,0,2025.12.1 0:20,2109,은천로입구 가로공원,0,3,408.01,1998,F,내국인,ST-2374,ST-882,일반자전거
SPB-59438,2025.12.1 0:17,2190,도원맨션,0,2025.12.1 0:20,2109,은천로입구 가로공원,0,3,461.73,1997,M,내국인,ST-2374,ST-882,일반자전거
SPB-53973,2025.12.1 0:17,2136,신림역 8번출구,0,2025.12.1 0:22,2136,신림역 8번출구,0,5,88.9,1988,M,내국인,ST-976,ST-976,일반자전거
SPB-43574,2025.12.1 0:22,2156,신림푸르지오아파트,0,2025.12.1 0:25,2105,미성동 신림체육센터,0,3,464.15,\N,\N,\N,ST-952,ST-704,일반자전거
SPB-36961,2025.12.1 0:23,2129,낙성대 과학전시관,0,2025.12.1 0:26,2122,낙성대로 입구,0,3,1117.34,1969,,내국인,ST-721,ST-719,일반자전거
SPB-66238,2025.12.1 0:23,2159,인헌초교,0,2025.12.1 0:29,2119,중앙동 동진빌딩,0,6,1221.31,1999,M,내국인,ST-1156,ST-884,일반자전거
SPB-74561,2025.12.1 0:20,2136,신림역 8번출구,0,2025.12.1 0:30,2176,보라매공원 보도육교,0,10,1638.47,2000,M,내국인,ST-976,ST-1357,일반자전거
SPB-45057,2025.12.1 0:20,2136,신림역 8번출구,0,2025.12.1 0:32,2171,서울대입구역 5번출구,0,11,2003.83,\N,\N,\N,ST-976,ST-1337,일반자전거
SPB-37967,2025.12.1 0:24,2119,중앙동 동진빌딩,0,2025.12.1 0:32,2108,은천치안센터,0,8,1019.86,2000,M,내국인,ST-884,ST-714,일반자전거
SPB-38804,2025.12.1 0:28,2140,신림1교 교차로,0,2025.12.1 0:34,2136,신림역 8번출구,0,5,694.27,1978,M,내국인,ST-724,ST-976,일반자전거
SPB-38972,2025.12.1 0:20,2136,신림역 8번출구,0,2025.12.1 0:35,2145,은천초등학교 육교,0,15,1152.32,\N,\N,\N,ST-976,ST-725,일반자전거
