대여소_번호,대여소_ID,대여소명,자치구,Capa,일평균_순유입량,순유입량_표준편차,n_days,t_statistic,p_value_two_sided,net_flow_group,반납_우세_비율(%),대여_우세_비율(%),매핑상태
996,ST-2264,응암역2번출구 국민은행 앞,은평구,10,112.68,83.46,304,23.53993448157983,2.1722045589567186e-70,+_순유입/과적,97.97,1.01,매핑완료
113,ST-18,홍대입구역 2번출구 앞,마포구,25,98.59,104.01,304,16.527020357414674,3.464597995518669e-44,+_순유입/과적,85.14,13.18,매핑완료
2717,ST-2033,LG유플러스 마곡사옥,강서구,62,68.52,101.35,304,11.787735791274079,1.1843674710608835e-26,+_순유입/과적,79.39,17.57,매핑완료
907,ST-455,CJ 드림시티,은평구,10,66.04,56.07,304,20.535879167570975,2.511711880388599e-59,+_순유입/과적,93.58,5.41,매핑완료
4096,ST-3368,창동역2번출구 하나은행365 앞,도봉구,8,65.08,55.31,304,20.515432525447626,2.994996669153083e-59,+_순유입/과적,89.27,8.47,매핑완료
4383,ST-3044,푸조비즈타워 앞,성동구,4,57.47,67.95,304,14.746485491407359,1.7964865806456673e-37,+_순유입/과적,81.42,14.86,매핑완료
1008,ST-492,암사역 3번출구(국민은행앞),강동구,9,56.94,51.29,304,19.35626483487666,6.73256734888673e-55,+_순유입/과적,88.18,10.47,매핑완료
147,ST-205,마포역 4번출구 뒤,마포구,7,53.49,46.51,304,20.052247214791716,1.6256150270730626e-57,+_순유입/과적,93.58,5.07,매핑완료
502,ST-99,뚝섬유원지역 1번출구 앞,광진구,33,52.7,75.32,304,12.199361355528069,4.07197143214481e-28,+_순유입/과적,76.35,21.62,매핑완료
5858,ST-3142,영등포역5번출구,영등포구,10,52.15,71.78,304,12.66740484288917,8.429200852291064e-30,+_순유입/과적,75.0,22.97,매핑완료
5082,ST-3094,가양역 7번출구,강서구,9,50.33,67.28,304,13.043007361973967,3.638039639853222e-31,+_순유입/과적,79.73,18.92,매핑완료
4522,ST-2771,신곡시장,양천구,10,50.22,41.38,304,21.160358138676912,1.1808677124106135e-61,+_순유입/과적,95.95,2.36,매핑완료
1004,ST-488,삼성광나루아파트 버스정류장,강동구,10,50.17,42.52,304,20.57252681067127,1.8323923396358143e-59,+_순유입/과적,93.58,5.41,매핑완료
2701,ST-1718,마곡나루역 5번출구 뒤편,강서구,26,48.95,57.67,304,14.799244202276123,1.1396467184038203e-37,+_순유입/과적,83.45,13.85,매핑완료
5096,ST-3251,LG사이언스파크 E14동,강서구,57,48.16,81.36,304,10.32077547300486,1.344182304516991e-21,+_순유입/과적,76.69,18.92,매핑완료
2050,ST-699,노량진역 5번출구,동작구,15,45.2,42.02,304,18.755091123087904,1.2512236865059118e-52,+_순유입/과적,89.86,8.45,매핑완료
4544,ST-3215,경창시장,양천구,8,43.76,34.06,304,22.40110602106164,3.0805779565101075e-66,+_순유입/과적,94.59,3.38,매핑완료
2719,ST-2035,마곡문화공원,강서구,40,43.51,64.03,304,11.847927098763373,7.25343265593079e-27,+_순유입/과적,82.43,15.54,매핑완료
1952,ST-875,천왕연지타운2단지 앞,구로구,20,43.44,33.43,304,22.656364954520715,3.574366885992436e-67,+_순유입/과적,94.93,3.72,매핑완료
956,ST-1331,응암시장교차로,은평구,9,42.72,38.95,304,19.123200294537362,5.094143363777664e-54,+_순유입/과적,89.86,8.45,매핑완료
931,ST-479,역촌파출소,은평구,19,41.55,46.88,304,15.453263746084897,3.967474581490833e-40,+_순유입/과적,83.11,15.54,매핑완료
2715,ST-2031,마곡나루역 2번 출구,강서구,25,41.41,144.45,304,4.998324825254947,9.798635758960989e-07,+_순유입/과적,71.28,26.35,매핑완료
4964,ST-3372,암사역사공원역1번출구 A,강동구,10,41.27,49.65,304,14.492790283981762,1.5968966321732698e-36,+_순유입/과적,77.78,20.37,매핑완료
2222,ST-753,사당역 12번출구 뒤,서초구,10,40.36,38.3,304,18.37338499856936,3.477365201664413e-51,+_순유입/과적,89.53,8.78,매핑완료
4457,ST-2574,아산병원 기숙사 부근,송파구,50,39.98,92.98,304,7.497043655098134,7.250093362138133e-13,+_순유입/과적,68.58,27.36,매핑완료
1118,ST-516,증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,10,39.85,42.58,304,16.31771938939369,2.14943809233634e-43,+_순유입/과적,87.16,10.14,매핑완료
145,ST-203,공덕역 5번출구,마포구,9,39.06,34.56,304,19.70585564059013,3.2516299818128316e-56,+_순유입/과적,91.22,6.76,매핑완료
602,ST-262,장안동 사거리,동대문구,10,39.03,37.85,304,17.979162564480053,1.0823953466390292e-49,+_순유입/과적,86.15,12.16,매핑완료
914,ST-462,새절역 2번출구,은평구,20,38.57,43.17,304,15.577737526278785,1.3464934690720448e-40,+_순유입/과적,83.45,14.53,매핑완료
4142,ST-3353,현대썬앤빌 앞,동대문구,6,38.34,41.92,304,15.946582585434108,5.449922436028979e-42,+_순유입/과적,84.46,13.85,매핑완료
3939,ST-3311,신도림역 3번출구,구로구,15,38.04,66.8,304,9.92889316241241,2.680313345360141e-20,+_순유입/과적,79.05,19.26,매핑완료
989,ST-2257,신응교(가좌로) 앞,은평구,10,37.93,34.48,304,19.180166697041507,3.105613814208043e-54,+_순유입/과적,90.54,7.09,매핑완료
1867,ST-1938,대륭포스트타워6차 앞,금천구,30,37.67,61.31,304,10.71275310410551,6.388475545804687e-23,+_순유입/과적,78.38,20.27,매핑완료
1447,ST-1098,면목역 3번출구,중랑구,15,36.58,37.13,304,17.177325435466503,1.1871314805074861e-46,+_순유입/과적,87.16,11.49,매핑완료
1084,ST-1687,윤선생빌딩(JYP사옥),강동구,20,36.5,44.24,304,14.385154741341283,4.0272087116976567e-36,+_순유입/과적,82.09,15.88,매핑완료
2002,ST-683,노들역 1번출구,동작구,17,36.15,48.44,304,13.011907250949244,4.723943208687826e-31,+_순유입/과적,79.05,19.26,매핑완료
4011,ST-2705,월계 센트럴 아이파크,노원구,10,36.01,27.56,304,22.781415233222013,1.2471942851780292e-67,+_순유입/과적,94.93,2.36,매핑완료
3219,ST-1990,영등포역 1번출구,영등포구,10,35.79,48.24,304,12.93573741204981,8.949951785130593e-31,+_순유입/과적,73.65,25.0,매핑완료
1617,ST-606,하계동 중평어린이공원 앞,노원구,20,35.09,46.72,304,13.095356500757044,2.34293547863511e-31,+_순유입/과적,82.09,15.88,매핑완료
912,ST-460,응암오거리,은평구,20,34.89,37.25,304,16.330951317061384,1.9152625760969337e-43,+_순유입/과적,85.81,11.82,매핑완료
765,ST-1731,오목교역 3번출구,양천구,12,34.7,52.04,304,11.625964130734927,4.4040944940433187e-26,+_순유입/과적,76.69,20.95,매핑완료
4217,ST-2905,한강공원 망원나들목,마포구,20,34.45,56.06,304,10.714525052085353,6.300381271227043e-23,+_순유입/과적,75.68,22.97,매핑완료
770,ST-1996,목동역5번출구 교통정보센터 앞,양천구,15,33.68,51.92,304,11.310301727153306,5.6013781772166395e-25,+_순유입/과적,70.27,21.96,매핑완료
2025,ST-692,흑석역 1번출구,동작구,20,32.94,34.35,304,16.71989882972108,6.438372250170882e-45,+_순유입/과적,87.5,10.81,매핑완료
1444,ST-1095,면목4치안센터,중랑구,10,32.9,29.69,304,19.320683764565597,9.168206010479299e-55,+_순유입/과적,90.88,6.76,매핑완료
2217,ST-749,아크로리버뷰 부지 앞,서초구,20,32.76,44.97,304,12.70158144455348,6.339626674246198e-30,+_순유입/과적,77.36,19.59,매핑완료
3511,ST-1195,응봉역 1번출구,성동구,10,32.54,41.92,304,13.534214849505107,5.754119139465716e-33,+_순유입/과적,80.07,18.92,매핑완료
2032,ST-923,이수역 11번출구쪽,동작구,10,31.87,36.47,304,15.236425481836172,2.6004913544733957e-39,+_순유입/과적,83.11,14.86,매핑완료
154,ST-211,마포구청역,마포구,13,31.73,32.16,304,17.202470581908656,9.531116347731609e-47,+_순유입/과적,86.49,11.82,매핑완료
5765,ST-3162,삼전동주민센터 건너편,송파구,12,31.24,36.83,304,14.789248221146961,1.2423020824453464e-37,+_순유입/과적,80.74,16.55,매핑완료
1019,ST-502,다성이즈빌아파트(호원대 대각선 맞은편),강동구,10,31.09,35.37,304,15.325775307286353,1.19883076122885e-39,+_순유입/과적,81.42,16.22,매핑완료
2819,ST-1959,하늘숲초등학교 앞,구로구,20,31.03,31.97,304,16.922944537762543,1.0941352516331164e-45,+_순유입/과적,84.46,11.15,매핑완료
209,ST-55,유진투자증권빌딩 앞,영등포구,12,30.64,56.9,304,9.388869147984973,1.5067890073587602e-18,+_순유입/과적,76.69,20.61,매핑완료
712,ST-319,강월초교입구 사거리,양천구,14,30.55,27.21,304,19.575797534019493,1.0032064180490965e-55,+_순유입/과적,89.53,7.43,매핑완료
2525,ST-1910,반포쇼핑타운 2동 앞,서초구,20,30.41,47.94,304,11.060001407849137,4.126276281835869e-24,+_순유입/과적,72.97,24.32,매핑완료
1438,ST-596,홈플러스 신내점 앞,중랑구,15,30.29,35.41,304,14.914549449290824,4.211382940207978e-38,+_순유입/과적,82.15,15.15,매핑완료
2106,ST-705,세이브마트,관악구,12,30.0,28.77,304,18.181017491306253,1.8605957888178191e-50,+_순유입/과적,88.18,9.8,매핑완료
143,ST-201,공덕역 2번출구,마포구,9,29.64,27.43,304,18.840359414735047,5.957779750715365e-53,+_순유입/과적,87.16,11.15,매핑완료
1931,ST-920,개봉역2번출구 A,구로구,10,29.33,30.26,304,16.89973641957012,1.3398629628658938e-45,+_순유입/과적,87.5,10.14,매핑완료
4536,ST-2961,양천해누리체육공원,양천구,23,28.98,39.77,304,12.70514371474063,6.1540677670063404e-30,+_순유입/과적,82.09,14.53,매핑완료
643,ST-410,동대문구민체육센터 (육교아래),동대문구,10,28.95,36.09,304,13.986159536215295,1.2282403612090958e-34,+_순유입/과적,79.39,17.91,매핑완료
1991,ST-1526,오류동역 맞은편,구로구,13,28.68,30.51,304,16.389802910619014,1.1465329043574804e-43,+_순유입/과적,83.45,12.84,매핑완료
3681,ST-2749,길동 마루빌딩,강동구,10,28.5,43.05,304,11.542728909724435,8.633655240224502e-26,+_순유입/과적,76.35,20.61,매핑완료
2058,ST-1150,동작경찰서,동작구,14,28.33,32.65,304,15.128650177091245,6.61267006112362e-39,+_순유입/과적,84.46,13.18,매핑완료
3900,ST-3351,건국대학교 신공학관,광진구,10,28.32,41.73,304,11.832640122796251,8.216026171457359e-27,+_순유입/과적,75.68,18.24,매핑완료
1601,ST-600,석계역 문화광장 내 자전거 보관소,노원구,10,28.17,42.18,304,11.644398600240947,3.7932032303260794e-26,+_순유입/과적,79.39,19.93,매핑완료
1452,ST-1335,겸재교 진입부,중랑구,25,28.13,36.1,304,13.58624125006085,3.700697496822042e-33,+_순유입/과적,77.36,18.24,매핑완료
3906,ST-2435,천왕차량사업소 입구,구로구,8,28.12,20.19,304,24.28375201433655,4.5372587069478305e-73,+_순유입/과적,96.28,2.03,매핑완료
703,ST-311,오목교역 7번출구 앞,양천구,12,28.08,42.89,304,11.41505081227532,2.415937800429943e-25,+_순유입/과적,70.95,27.03,매핑완료
