대여소_번호,대여소_ID,자치구,Capa,일평균순유입량
102,ST-4,마포구,15,
103,ST-5,마포구,14,
104,ST-6,마포구,13,
105,ST-7,마포구,5,
106,ST-8,마포구,12,
107,ST-9,마포구,5,
108,ST-10,마포구,10,
111,ST-15,마포구,10,
113,ST-18,마포구,25,
114,ST-20,마포구,15,
115,ST-12,서대문구,15,
117,ST-17,서대문구,23,
118,ST-19,마포구,9,
119,ST-21,마포구,10,
120,ST-22,마포구,5,
121,ST-23,마포구,15,
122,ST-24,마포구,10,
123,ST-25,서대문구,20,
124,ST-26,마포구,35,
126,ST-28,마포구,20,
127,ST-29,마포구,9,
128,ST-30,서대문구,20,
129,ST-31,마포구,10,
130,ST-32,마포구,10,
131,ST-33,서대문구,20,
133,ST-35,서대문구,15,
134,ST-36,서대문구,8,
135,ST-37,서대문구,10,
137,ST-39,서대문구,10,
138,ST-40,서대문구,10,
139,ST-43,서대문구,10,
140,ST-41,서대문구,22,
141,ST-42,서대문구,10,
142,ST-200,마포구,11,
143,ST-201,마포구,9,
145,ST-203,마포구,9,
146,ST-204,마포구,12,
147,ST-205,마포구,7,
148,ST-206,마포구,11,
150,ST-207,마포구,15,
153,ST-210,마포구,10,
154,ST-211,마포구,13,
155,ST-212,마포구,15,
156,ST-213,마포구,10,
157,ST-214,마포구,12,
159,ST-216,서대문구,5,
160,ST-217,서대문구,13,
161,ST-218,서대문구,8,
162,ST-219,서대문구,15,
163,ST-220,서대문구,6,
164,ST-221,서대문구,10,
165,ST-222,서대문구,20,
166,ST-223,서대문구,20,
167,ST-224,서대문구,15,
169,ST-226,서대문구,10,
170,ST-227,서대문구,10,
171,ST-228,서대문구,10,
173,ST-230,서대문구,8,
175,ST-231,서대문구,20,
176,ST-555,서대문구,10,
177,ST-345,서대문구,8,
178,ST-349,서대문구,10,
179,ST-232,서대문구,14,
180,ST-233,서대문구,10,
181,ST-339,마포구,15,
182,ST-340,마포구,9,
183,ST-341,마포구,15,
184,ST-342,마포구,9,
185,ST-343,마포구,15,
186,ST-344,마포구,40,
188,ST-346,서대문구,9,
191,ST-347,서대문구,10,
192,ST-348,서대문구,10,
194,ST-350,서대문구,10,
195,ST-351,서대문구,10,
196,ST-352,서대문구,10,
198,ST-354,서대문구,15,
