대여소_번호,대여소_ID,자치구,Capa,일평균_순유입량,순유입량_표준편차,반납_우세_비율(%),대여_우세_비율(%),과적/고갈_비율
102,ST-4,마포구,15,13.35,28.56,70.61,27.03,
103,ST-5,마포구,14,20.12,33.03,72.3,24.66,
104,ST-6,마포구,13,-16.27,23.97,22.64,71.96,
105,ST-7,마포구,5,-10.82,17.3,19.93,68.58,
106,ST-8,마포구,12,-12.09,25.06,25.68,70.61,
107,ST-9,마포구,5,18.19,25.14,73.31,21.96,
108,ST-10,마포구,10,5.42,16.59,61.82,31.42,
111,ST-15,마포구,10,-3.97,18.5,40.2,56.08,
113,ST-18,마포구,25,98.59,104.01,85.14,13.18,
114,ST-20,마포구,15,4.7,25.82,58.45,37.16,
115,ST-12,서대문구,15,-19.5,22.35,15.54,79.73,
117,ST-17,서대문구,23,0.31,27.66,45.95,48.65,
118,ST-19,마포구,9,-0.72,11.63,44.26,45.61,
119,ST-21,마포구,10,5.73,25.24,56.42,39.86,
120,ST-22,마포구,5,2.2,12.38,56.08,35.14,
121,ST-23,마포구,15,0.27,11.46,44.26,43.92,
122,ST-24,마포구,10,-0.09,12.83,45.27,47.97,
123,ST-25,서대문구,20,-0.94,23.84,45.61,49.66,
124,ST-26,마포구,35,-8.97,17.72,27.7,65.88,
126,ST-28,마포구,20,-1.05,10.66,42.57,48.99,
127,ST-29,마포구,9,-4.09,9.17,20.95,56.08,
128,ST-30,서대문구,20,0.86,14.15,48.99,43.24,
129,ST-31,마포구,10,-1.05,12.07,42.57,45.95,
130,ST-32,마포구,10,-0.92,15.43,41.55,51.69,
131,ST-33,서대문구,20,20.43,31.48,74.66,22.64,
133,ST-35,서대문구,15,20.56,31.51,75.0,21.96,
134,ST-36,서대문구,8,2.58,12.49,53.72,38.85,
135,ST-37,서대문구,10,1.89,9.61,51.69,36.82,
137,ST-39,서대문구,10,-10.76,15.7,12.84,68.92,
138,ST-40,서대문구,10,-0.69,9.81,43.24,43.58,
139,ST-43,서대문구,10,-6.03,12.07,21.96,58.78,
140,ST-41,서대문구,22,1.41,11.5,46.62,41.89,
141,ST-42,서대문구,10,-14.14,16.84,12.5,78.38,
142,ST-200,마포구,11,-1.34,14.78,41.89,50.34,
143,ST-201,마포구,9,29.64,27.43,87.16,11.15,
145,ST-203,마포구,9,39.06,34.56,91.22,6.76,
146,ST-204,마포구,12,17.25,28.61,73.65,22.97,
147,ST-205,마포구,7,53.49,46.51,93.58,5.07,
148,ST-206,마포구,11,4.77,20.39,54.73,40.54,
150,ST-207,마포구,15,1.8,17.78,53.38,39.53,
153,ST-210,마포구,10,-0.58,22.07,48.31,48.99,
154,ST-211,마포구,13,31.73,32.16,86.49,11.82,
155,ST-212,마포구,15,-7.85,20.53,31.42,63.51,
156,ST-213,마포구,10,13.77,22.63,69.59,23.31,
157,ST-214,마포구,12,15.11,27.25,72.3,24.66,
159,ST-216,서대문구,5,-11.0,16.61,12.5,60.47,
160,ST-217,서대문구,13,-9.81,14.21,19.26,69.93,
161,ST-218,서대문구,8,-1.39,6.52,31.08,44.59,
162,ST-219,서대문구,15,-44.39,32.63,1.35,96.96,
163,ST-220,서대문구,6,-3.61,12.49,33.11,47.64,
164,ST-221,서대문구,10,-8.73,14.85,24.66,65.54,
