시작_대여소_ID,시작_대여소_위도,시작_대여소_경도,종료_대여소_ID,종료_대여소_위도,종료_대여소_경도,전체_이용_분,빈도,경로_거리_m
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,8.0,2,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,10.0,4,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,11.0,6,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,12.0,6,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,14.0,8,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,16.0,4,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,17.0,2,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,23.0,2,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,42.0,2,1603.8
ST-1100,37.641739,127.024628,ST-1101,37.627335,127.026054,64.0,2,1603.8
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,7.0,4,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,8.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,10.0,8,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,11.0,8,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,12.0,10,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,13.0,8,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,15.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,16.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,17.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,18.0,8,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,19.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,25.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,30.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,64.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1103,37.63018,127.02491,99.0,2,1283.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,7.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,8.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,9.0,4,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,10.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,11.0,4,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,12.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,13.0,12,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,14.0,8,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,15.0,8,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,16.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,17.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,19.0,6,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,20.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,21.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,22.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,23.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,27.0,4,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,29.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,40.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1107,37.629917,127.040916,73.0,2,1943.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,3.0,2,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,4.0,9,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,5.0,4,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,6.0,4,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,7.0,10,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,8.0,6,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,9.0,2,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,10.0,2,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,11.0,2,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,13.0,4,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,18.0,2,900.3
ST-1100,37.641739,127.024628,ST-1110,37.636261,127.032173,26.0,2,900.3
