시작_대여소_ID,시작_대여소_위도,시작_대여소_경도,종료_대여소_ID,종료_대여소_위도,종료_대여소_경도,전체_이용_분,빈도,경로_거리_m
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,6.0,8,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,7.0,24,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,8.0,24,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,9.0,14,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,11.0,2,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,12.0,2,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,15.0,2,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,24.0,2,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,26.0,2,1223.9
ST-1188,37.557396,126.952164,ST-2198,37.560463,126.965523,36.0,2,1223.9
ST-1188,37.557396,126.952164,ST-2199,37.572205,126.959747,12.0,2,1774.1
ST-1188,37.557396,126.952164,ST-2199,37.572205,126.959747,16.0,2,1774.1
ST-1188,37.557396,126.952164,ST-2199,37.572205,126.959747,46.0,2,1774.1
ST-1188,37.557396,126.952164,ST-2199,37.572205,126.959747,72.0,4,1774.1
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,5.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,6.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,7.0,4,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,8.0,14,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,9.0,6,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,10.0,20,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,11.0,14,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,13.0,8,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,14.0,4,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,16.0,4,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,17.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,19.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,41.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,45.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,63.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2201,37.555504,126.937202,134.0,2,1333.3
ST-1188,37.557396,126.952164,ST-2219,37.561317,126.966583,5.0,2,1341.4
ST-1188,37.557396,126.952164,ST-2219,37.561317,126.966583,10.0,2,1341.4
ST-1188,37.557396,126.952164,ST-2219,37.561317,126.966583,13.0,2,1341.4
ST-1188,37.557396,126.952164,ST-228,37.564724,126.967278,61.0,2,1559.0
ST-1188,37.557396,126.952164,ST-230,37.564777,126.966148,8.0,2,1478.4
ST-1188,37.557396,126.952164,ST-230,37.564777,126.966148,9.0,2,1478.4
ST-1188,37.557396,126.952164,ST-230,37.564777,126.966148,12.0,4,1478.4
ST-1188,37.557396,126.952164,ST-230,37.564777,126.966148,24.0,2,1478.4
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,4.0,6,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,5.0,16,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,6.0,4,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,7.0,14,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,8.0,8,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,10.0,4,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,12.0,2,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,16.0,2,950.2
ST-1188,37.557396,126.952164,ST-233,37.559967,126.962463,81.0,2,950.2
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,4.0,4,1408.4
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,6.0,4,1408.4
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,7.0,4,1408.4
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,8.0,4,1408.4
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,9.0,4,1408.4
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,13.0,2,1408.4
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,19.0,4,1408.4
ST-1188,37.557396,126.952164,ST-30,37.555496,126.93634,23.0,2,1408.4
ST-1188,37.557396,126.952164,ST-3027,37.561848,126.964149,7.0,2,1164.7
ST-1188,37.557396,126.952164,ST-3027,37.561848,126.964149,9.0,6,1164.7
ST-1188,37.557396,126.952164,ST-3027,37.561848,126.964149,76.0,2,1164.7
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,9.0,10,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,10.0,18,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,11.0,8,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,12.0,8,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,13.0,12,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,14.0,6,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,16.0,2,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,31.0,2,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,35.0,2,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,79.0,2,1551.8
ST-1188,37.557396,126.952164,ST-3051,37.56599,126.966072,106.0,2,1551.8
ST-1188,37.557396,126.952164,ST-3107,37.559425,126.963058,5.0,4,984.8
ST-1188,37.557396,126.952164,ST-3107,37.559425,126.963058,6.0,4,984.8
ST-1188,37.557396,126.952164,ST-3107,37.559425,126.963058,7.0,2,984.8
ST-1188,37.557396,126.952164,ST-3107,37.559425,126.963058,8.0,4,984.8
ST-1188,37.557396,126.952164,ST-3107,37.559425,126.963058,9.0,4,984.8
ST-1188,37.557396,126.952164,ST-3107,37.559425,126.963058,10.0,4,984.8
ST-1188,37.557396,126.952164,ST-3107,37.559425,126.963058,41.0,2,984.8
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,7.0,2,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,8.0,4,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,9.0,6,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,10.0,2,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,15.0,2,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,18.0,6,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,21.0,4,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,29.0,2,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,32.0,2,1420.5
ST-1188,37.557396,126.952164,ST-3140,37.556877,126.936035,35.0,2,1420.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,8.0,2,1587.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,9.0,6,1587.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,10.0,8,1587.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,11.0,8,1587.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,12.0,2,1587.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,17.0,2,1587.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,34.0,2,1587.5
ST-1188,37.557396,126.952164,ST-3202,37.562336,126.969093,50.0,2,1587.5
ST-1188,37.557396,126.952164,ST-354,37.563908,126.964973,6.0,2,1339.0
